Sample;Frequency (GHz);LG (mV) mean;HG (mV) mean;LG (mV) std deviation;HG (mV) std deviation;LG (mV) variance;HG (mV) variance;Thickness (mm)
A1;100;51.10685463;0.007460109;28.3635286;0.728658267;804.4897548;0.53094287;0.2
A1;110;34.23082586;-0.005107013;25.71155302;0.736323613;661.0839589;0.542172463;0.2
A1;120;119.3938603;-0.016945955;30.85233802;0.749243649;951.866761;0.561366045;0.2
A1;130;37.16813858;-0.005439354;7.934722292;0.786844435;62.95981785;0.619124164;0.2
A1;140;95.28855852;-0.026514137;12.99738072;0.771449393;168.9319055;0.595134165;0.2
A1;150;63.91255575;-0.035844461;5.849707519;0.760062295;34.21907806;0.577694692;0.2
A1;160;27.96114531;-0.019182432;2.180981638;0.758118874;4.756680903;0.574744228;0.2
A1;170;9.059451488;0.09286047;4.286219779;0.774586261;18.37167999;0.599983876;0.2
A1;180;13.32047811;-0.004887019;3.284729076;0.762730178;10.7894451;0.581757325;0.2
A1;190;11.83808609;-0.0238043;2.624593998;0.773093119;6.888493654;0.59767297;0.2
A1;200;3.05343584;0.086520361;2.568375624;0.773410581;6.596553346;0.598163927;0.2
A1;210;5.578715163;0.176916139;1.047840309;0.778349249;1.097969314;0.605827553;0.2
A1;220;5.628318448;0.144445566;1.049922392;0.786156597;1.102337029;0.618042196;0.2
A1;230;1.137417979;938.2564005;0.938008512;94.61070012;0.879859969;8951.184578;0.2
A1;240;5.73950593;0.125363737;1.455177124;0.777711289;2.117540461;0.604834849;0.2
A1;250;1.905920966;0.093460779;0.962162627;0.968317948;0.92575692;0.937639648;0.2
A1;260;4.963176113;0.130878722;1.094800959;0.776694692;1.19858914;0.603254644;0.2
A1;270;3.15434436;0.222894064;1.014008613;0.773642025;1.028213468;0.598521983;0.2
A1;280;3.358516498;0.197166835;1.038027929;0.772977627;1.077501982;0.597494412;0.2
A1;290;0.849193093;704.0903676;0.992894413;45.31597612;0.985839315;2053.537691;0.2
A1;300;2.940916248;0.177654997;0.943061749;0.780394138;0.889365462;0.609015011;0.2
A1;310;1.178602671;287.0614394;0.978241911;41.37931398;0.956957237;1712.247625;0.2
A1;320;1.433823428;0.099373395;0.991024129;0.784622291;0.982128824;0.61563214;0.2
A1;330;1.296069187;2.381186034;0.915870854;2.982705153;0.838819422;8.896530029;0.2
A1;340;0.88052434;743.2019434;0.987681624;22.31905813;0.975514991;498.1403559;0.2
A1;350;0.588746634;484.5406648;1.064147793;32.39070351;1.132410525;1049.157674;0.2
A1;360;0.811048153;676.7844514;1.025204662;19.63890019;1.051044598;385.6864008;0.2
A1;370;0.313632014;283.0218934;0.943970465;14.49639015;0.891080239;210.1453275;0.2
A1;380;0.366058463;307.0045901;1.030663207;11.93879514;1.062266647;142.5348295;0.2
A1;390;0.550707447;456.0804794;0.988339014;15.32606078;0.976814006;234.8881389;0.2
A1;400;0.277545096;236.4618597;0.95608627;11.81676103;0.914100955;139.6358413;0.2
A1;410;0.307419859;257.8018548;0.905436018;14.64113931;0.819814383;214.3629603;0.2
A1;420;0.161087406;122.6214154;0.956116724;9.346931762;0.91415919;87.36513336;0.2
A1;430;0.217463043;187.3982138;0.923733205;10.71752202;0.853283034;114.8652783;0.2
A1;440;0.206461648;183.6075967;0.921283235;11.19241115;0.848762798;125.2700673;0.2
A1;450;0.165819154;134.3292565;0.94796073;11.32088861;0.898629546;128.1625189;0.2
A1;460;0.053020847;49.88352069;0.94231927;9.540855202;0.887965607;91.02791799;0.2
A1;470;0.096358279;100.9233452;0.929076761;9.894611394;0.863183629;97.90333464;0.2
A1;480;0.04015341;29.30678005;0.899929727;9.63491211;0.809873514;92.83153136;0.2
A1;490;0.090461696;69.48267909;0.933006989;10.07874933;0.870502042;101.5811881;0.2
A1;500;0.065688466;38.4093333;0.919284732;9.112467912;0.845084418;83.03707145;0.2
A1;510;0.011987695;15.23502012;0.910042732;8.789329861;0.828177773;77.25231941;0.2
A1;520;0.03998441;22.12417382;0.892974813;8.896429959;0.797404017;79.14646601;0.2
A1;530;0.058255278;43.02002602;0.893083606;9.072414715;0.797598328;82.30870875;0.2
A1;540;0.004950729;12.23094823;0.916153006;6.763855358;0.839336331;45.74973931;0.2
A1;550;0.0374177;15.75619747;0.867379202;6.789349504;0.752346681;46.09526669;0.2
A1;560;0.017607668;9.803926154;0.902253122;6.652346776;0.814060696;44.25371762;0.2
A1;570;0.016744959;10.87371498;0.888934608;6.689928497;0.790204737;44.7551433;0.2
A1;580;0.028979614;16.95827704;0.88849553;6.818264293;0.789424306;46.48872798;0.2
A1;590;0.008683052;11.94823103;0.896292553;6.627122242;0.803340341;43.91874922;0.2
A1;600;0.461366278;10.9563167;6.239944049;6.862682333;38.93690174;47.0964088;0.2
B1;100;133.7014387;0.033886398;45.55021571;0.723977174;2074.822151;0.524142948;0.57
B1;110;54.8998086;-0.017252215;33.95642084;0.69952932;1153.038516;0.489341269;0.57
B1;120;101.6600969;-0.000935211;24.72042723;0.730234313;611.0995222;0.533242152;0.57
B1;130;37.13386323;-0.018005359;5.866060479;0.754416836;34.41066554;0.569144763;0.57
B1;140;71.72442679;-0.019525688;17.83715018;0.771232633;318.1639264;0.594799775;0.57
B1;150;54.60222443;0.012680683;6.062245143;0.738611029;36.75081618;0.545546253;0.57
B1;160;34.46808142;0.010044783;4.290343754;0.75743784;18.40704953;0.573712081;0.57
B1;170;13.36945412;-0.009763688;4.845724792;0.751148654;23.48104876;0.564224301;0.57
B1;180;18.29172539;-0.012243531;4.305641034;0.738506049;18.53854471;0.545391184;0.57
B1;190;14.15637719;-0.025118087;3.18502031;0.755676689;10.14435437;0.571047258;0.57
B1;200;4.166527398;0.231537219;2.124783108;0.769723478;4.514703254;0.592474232;0.57
B1;210;10.06685704;0.020115379;3.112032307;0.771770867;9.684745077;0.595630272;0.57
B1;220;5.752800843;0.164693395;1.395993325;0.785066075;1.948797362;0.616328742;0.57
B1;230;0.523764101;452.7717215;0.930735254;42.17889223;0.866268113;1779.05895;0.57
B1;240;8.419982566;-0.009981768;1.218313268;0.789541904;1.48428722;0.623376418;0.57
B1;250;1.9402687;-0.001225836;1.133522562;0.785662386;1.284873399;0.617265385;0.57
