Sample;Frequency (GHz);LG (mV);HG (mV);Thickness (mm)
E1;100;27.469173;0.976682;0.1
E1;100;70.931511;-0.366259;0.1
E1;100;1.342937;-0.488353;0.1
E1;100;31.253815;-0.122094;0.1
E1;100;48.46783;0.488353;0.1
E1;100;34.672201;0.4884;0.1
E1;100;25.271639;-0.244164;0.1
E1;100;38.090587;-0.122118;0.1
E1;100;47.735319;1.709151;0.1
E1;100;31.009644;0.366282;0.1
E1;100;59.455501;-1.220846;0.1
E1;100;41.997313;0.488329;0.1
E1;100;67.391039;-2.38E-05;0.1
E1;100;65.55976;0.732541;0.1
E1;100;72.152363;0.366259;0.1
E1;100;38.701013;0.488329;0.1
E1;100;31.497985;0.488305;0.1
E1;100;19.533634;0.366235;0.1
E1;100;41.875228;0.610423;0.1
E1;100;30.155048;0.610447;0.1
E1;100;32.963008;0.73247;0.1
E1;100;22.219509;-0.610471;0.1
E1;100;46.880722;-0.366211;0.1
E1;100;24.294958;0.732493;0.1
E1;100;23.196191;0.366282;0.1
E1;100;79.11122;0.732517;0.1
E1;100;40.166035;0.854588;0.1
E1;100;35.038456;-0.976682;0.1
E1;100;40.654376;1.220822;0.1
E1;100;40.410206;-1.098728;0.1
E1;100;38.212672;0.610399;0.1
E1;100;22.219509;-0.732517;0.1
E1;100;29.666707;0.732493;0.1
E1;100;43.828592;-0.610447;0.1
E1;100;41.753143;0.366259;0.1
E1;100;60.188012;0.366282;0.1
E1;100;43.828592;-0.122118;0.1
E1;100;33.939689;0.610423;0.1
E1;100;7.813454;0.610399;0.1
E1;100;34.42803;0.732493;0.1
E1;100;0.732511;0.976682;0.1
E1;100;45.781955;0.366282;0.1
E1;100;41.386887;0.244141;0.1
E1;100;44.439018;-0.976658;0.1
E1;100;44.439018;-0.122094;0.1
E1;100;47.735319;4.77E-05;0.1
E1;100;37.846416;-0.97661;0.1
E1;100;64.338909;-0.610423;0.1
E1;100;65.437676;-0.244236;0.1
E1;100;36.259308;1.098776;0.1
E1;100;46.148211;-0.122046;0.1
E1;100;71.297766;0.366282;0.1
E1;100;43.706506;4.77E-05;0.1
E1;100;30.643389;-0.244141;0.1
E1;100;41.142717;0.732517;0.1
E1;100;35.160542;2.38E-05;0.1
E1;100;35.648882;0;0.1
E1;100;30.521303;-2.38E-05;0.1
E1;100;37.358075;-0.366259;0.1
E1;100;41.508973;0.366211;0.1
E1;100;53.473324;0.610352;0.1
E1;100;39.433524;-0.488257;0.1
E1;100;61.775118;-0.854588;0.1
E1;100;44.683188;0.122118;0.1
E1;100;67.146869;-0.244141;0.1
E1;100;44.561103;-0.610471;0.1
E1;100;40.654376;-0.24426;0.1
E1;100;31.497985;0.854611;0.1
E1;100;58.96716;-2.07541;0.1
E1;100;53.59541;-0.244188;0.1
E1;100;50.787449;-0.244164;0.1
E1;100;33.451349;-1.220894;0.1
E1;100;40.410206;-0.244164;0.1
E1;100;45.65987;0;0.1
E1;100;46.148211;0.488305;0.1
E1;100;12.941033;-1.831222;0.1
E1;100;27.469173;-0.488305;0.1
E1;100;38.212672;-0.12207;0.1
E1;100;71.297766;-0.488377;0.1
E1;100;28.934196;-0.732517;0.1
E1;100;31.009644;0.610399;0.1
E1;100;51.153705;-0.366235;0.1
E1;100;46.392381;0.610447;0.1
E1;100;57.38005;-0.854611;0.1
E1;100;31.497985;0.244117;0.1
E1;100;32.474667;-0.366235;0.1
E1;100;36.99182;0.366282;0.1
E1;100;36.625564;-0.610447;0.1
E1;100;57.502137;-0.610399;0.1
E1;100;51.153706;-1.465011;0.1
E1;100;31.742156;-0.244164;0.1
E1;100;43.706506;-0.366259;0.1
E1;100;46.758638;-0.610375;0.1
E1;100;38.090587;-0.976634;0.1
E1;100;55.060431;-0.244117;0.1
E1;100;35.526797;-0.244164;0.1
E1;100;48.589915;-0.366306;0.1
E1;100;45.415699;0.121999;0.1
E1;100;40.776461;-0.122094;0.1
E1;100;49.932852;0.610399;0.1
E1;100;45.415699;0.854564;0.1
E1;100;25.882065;-0.366235;0.1
E1;100;86.924675;-1.464987;0.1
E1;100;38.090587;-0.366259;0.1
E1;100;34.550115;-0.122023;0.1
E1;100;21.364912;-0.732493;0.1
E1;100;36.869735;0.732517;0.1
E1;100;59.333415;-0.610447;0.1
E1;100;53.351238;-0.976634;0.1
E1;100;68.733977;0.244117;0.1
E1;100;19.89989;-0.610447;0.1
E1;100;41.508973;-0.366306;0.1
E1;100;33.817604;0.244188;0.1
E1;100;5.86009;0.488353;0.1
E1;100;50.909534;0.244212;0.1
E1;100;37.968501;-2.38E-05;0.1
E1;100;43.706506;-0.854588;0.1
E1;100;9.522647;0.732565;0.1
E1;100;28.079599;-0.366235;0.1
E1;100;39.433524;-0.976682;0.1
E1;100;52.984983;0.610471;0.1
E1;100;43.950677;2.38E-05;0.1
E1;100;60.310096;1.342964;0.1
E1;100;46.392381;-0.976658;0.1
E1;100;27.591258;-0.122094;0.1
E1;100;50.909534;0.244188;0.1
E1;100;51.764131;-0.610375;0.1
E1;100;49.932852;-0.488329;0.1
E1;100;34.794286;0.122094;0.1
E1;100;52.740812;0.610423;0.1
E1;100;36.869735;0.610423;0.1
E1;100;40.898547;-0.854516;0.1
E1;100;35.404712;0.122094;0.1
E1;100;59.333414;0.976634;0.1
E1;100;35.526797;0.610423;0.1
E1;100;34.42803;-0.366235;0.1
E1;100;36.015138;-0.610399;0.1
E1;100;36.259308;-4.77E-05;0.1
E1;100;59.699669;0.244164;0.1
E1;100;44.561103;0.610423;0.1
E1;100;16.237333;-1.098752;0.1
E1;100;51.51996;0.976658;0.1
E1;100;22.95202;-0.610399;0.1
E1;100;33.329263;0.854588;0.1
E1;100;28.934196;-0.366282;0.1
E1;100;60.798438;-7.15E-05;0.1
E1;100;41.753143;1.098704;0.1
E1;100;24.539128;-0.854588;0.1
E1;100;64.216824;-0.488353;0.1
E1;100;75.814919;0.122094;0.1
E1;100;44.805273;-1.831245;0.1
E1;100;39.433524;0.244117;0.1
E1;100;52.984984;0.366306;0.1
E1;100;34.672201;-0.732446;0.1
E1;100;29.666707;-0.610447;0.1
E1;100;75.082408;2.38E-05;0.1
E1;100;21.731168;0.366211;0.1
E1;100;51.642047;-0.244141;0.1
E1;100;23.318276;-0.488377;0.1
E1;100;26.248321;-0.122094;0.1
E1;100;35.893053;-0.488329;0.1
E1;100;37.724331;0.610447;0.1
E1;100;38.823098;-0.244141;0.1
E1;100;38.334757;-0.488353;0.1
E1;100;43.096082;-0.976682;0.1
E1;100;43.340251;0.732565;0.1
E1;100;26.858747;0.244188;0.1
E1;100;42.485654;1.098752;0.1
E1;100;51.886217;-0.488377;0.1
E1;100;31.864241;1.587129;0.1
E1;100;42.729826;0.854635;0.1
E1;100;40.898547;-1.465034;0.1
E1;100;44.439018;-1.220846;0.1
E1;100;51.153706;-0.366211;0.1
E1;100;61.042608;1.342964;0.1
E1;100;39.677694;-1.465011;0.1
E1;100;58.845073;0.366282;0.1
E1;100;32.840922;-0.488305;0.1
E1;100;58.112563;1.709175;0.1
E1;100;47.73532;-0.122094;0.1
E1;100;46.392383;0.610471;0.1
E1;100;62.26346;0.12207;0.1
E1;100;43.09608;0.122046;0.1
E1;100;44.072762;-0.366211;0.1
E1;100;39.79978;-0.732565;0.1
E1;100;26.736662;0;0.1
E1;100;69.466488;0.244164;0.1
E1;100;50.054938;-0.732493;0.1
E1;100;19.167379;-0.12207;0.1
E1;100;11.842266;-0.122094;0.1
E1;100;37.724331;0.122142;0.1
E1;100;56.1592;-0.854588;0.1
E1;100;84.482971;0.854564;0.1
E1;100;43.340251;-2.38E-05;0.1
E1;100;14.406055;0.488329;0.1
E1;100;65.803932;-0.244188;0.1
E1;100;11.598095;-0.610447;0.1
E1;100;31.864241;1.342893;0.1
E1;100;77.646197;-0.366235;0.1
E1;100;47.491148;0.122046;0.1
E1;100;27.469173;0.488329;0.1
E1;100;30.765474;-1.098728;0.1
E1;100;39.433526;-2.38E-05;0.1
E1;100;41.997313;-0.244141;0.1
E1;100;26.004151;0.854588;0.1
E1;100;20.021975;0.366259;0.1
E1;100;31.497985;1.098752;0.1
E1;100;34.42803;0.610399;0.1
E1;100;59.333415;-0.12207;0.1
E1;100;27.591258;-0.122046;0.1
E1;100;47.613233;-1.464963;0.1
E1;100;85.581736;0.122023;0.1
E1;100;24.417043;0.976658;0.1
E1;100;66.292273;-0.732517;0.1
E1;100;30.643389;1.098752;0.1
E1;100;34.916371;1.465034;0.1
E1;100;57.38005;0.244212;0.1
E1;100;39.311439;-0.122094;0.1
E1;100;42.485654;-0.244164;0.1
E1;100;53.473325;0.366235;0.1
E1;100;31.864241;1.098728;0.1
E1;100;23.684531;-0.122046;0.1
E1;100;32.596752;0.244164;0.1
E1;100;32.352582;1.0988;0.1
E1;100;23.318276;1.220846;0.1
E1;100;64.094739;-0.488329;0.1
E1;100;70.198999;0.488305;0.1
E1;100;37.724331;-0.122046;0.1
E1;100;46.148211;-1.220822;0.1
E1;100;20.266145;0.976658;0.1
E1;100;59.94384;0.366235;0.1
E1;100;41.142717;-0.610447;0.1
E1;100;32.596752;0.122118;0.1
E1;100;35.404712;-0.610423;0.1
E1;100;56.769624;1.464963;0.1
E1;100;21.364912;-0.976682;0.1
E1;100;49.810769;-0.366259;0.1
E1;100;8.42388;-0.610375;0.1
E1;100;29.178366;0.366259;0.1
E1;100;43.340251;0.244212;0.1
E1;100;45.90404;0.488329;0.1
E1;100;63.728483;0.610423;0.1
E1;100;30.399218;1.342916;0.1
E1;100;25.149554;-0.244164;0.1
E1;100;43.828592;0.244188;0.1
E1;100;49.322426;2.38E-05;0.1
E1;100;60.554266;0.488353;0.1
E1;100;45.537785;-0.244188;0.1
E1;100;66.536443;-0.244141;0.1
E1;100;26.736662;0.488353;0.1
E1;100;41.753143;-2.38E-05;0.1
E1;100;35.893053;-0.244188;0.1
E1;100;58.722989;0.122046;0.1
E1;100;34.916371;-0.366211;0.1
E1;100;57.868391;0.976729;0.1
E1;100;33.329263;0.122094;0.1
E1;100;55.792944;0.976634;0.1
E1;100;54.694176;0.244164;0.1
E1;100;62.01929;-0.244164;0.1
E1;100;35.160542;-0.488353;0.1
E1;100;38.578928;0.244164;0.1
E1;100;38.945183;-0.854588;0.1
E1;100;35.404712;0.366259;0.1
E1;100;19.655719;-0.610399;0.1
E1;100;23.196191;-0.488305;0.1
E1;100;27.469173;-1.098728;0.1
E1;100;49.932852;-0.732565;0.1
E1;100;38.334757;0.732517;0.1
E1;100;47.979489;-0.976706;0.1
E1;100;46.514466;-0.976706;0.1
E1;100;35.893053;0.366211;0.1
E1;100;35.648882;0.12207;0.1
E1;100;13.673544;0.488281;0.1
E1;100;58.112563;-0.976729;0.1
E1;100;64.705165;-0.366259;0.1
E1;100;45.781955;-0.122046;0.1
E1;100;68.978147;0.12207;0.1
E1;100;38.823098;-0.488329;0.1
E1;100;53.839579;-0.73247;0.1
E1;100;65.315591;-0.976634;0.1
E1;100;18.190697;0.122023;0.1
E1;100;45.65987;0.366235;0.1
E1;100;50.787449;0;0.1
E1;100;66.048102;-0.244188;0.1
E1;100;44.316933;4.77E-05;0.1
E1;100;31.864241;-1.709151;0.1
E1;100;33.695519;-0.122118;0.1
E1;100;34.061775;-1.220822;0.1
E1;100;99.621537;1.220846;0.1
E1;100;32.474667;0.366282;0.1
E1;100;38.334757;-0.488305;0.1
E1;100;41.508973;0.122046;0.1
E1;100;14.894396;-0.610423;0.1
E1;100;35.404712;0.85454;0.1
E1;100;50.543278;-0.732446;0.1
E1;100;39.79978;-0.366282;0.1
E1;100;29.300451;0.488353;0.1
E1;100;56.281285;0.12207;0.1
E1;100;34.061775;-1.587081;0.1
E1;100;37.602246;-0.976634;0.1
E1;100;34.061775;0.122118;0.1
E1;100;69.954829;-0.244188;0.1
E1;100;31.009644;1.709199;0.1
E1;100;36.259308;1.342869;0.1
E1;100;43.584421;0.366259;0.1
E1;100;34.305945;-0.122118;0.1
E1;100;36.625564;1.831269;0.1
E1;100;19.89989;-0.610423;0.1
E1;100;31.131729;-0.366306;0.1
E1;100;38.456842;0.488305;0.1
E1;100;40.288121;0;0.1
E1;100;49.566597;-0.610423;0.1
E1;100;21.486998;-0.366259;0.1
E1;100;62.507631;-0.122046;0.1
E1;100;70.931511;-0.244141;0.1
E1;100;63.240142;0.488353;0.1
E1;100;10.743499;-0.610423;0.1
E1;100;53.839581;-0.366282;0.1
E1;100;22.219509;0.732517;0.1
E1;100;53.107068;-0.244188;0.1
E1;100;41.020632;0.854635;0.1
E1;100;65.681846;-1.709199;0.1
E1;100;56.647539;0.244188;0.1
E1;100;58.234647;-0.366306;0.1
E1;100;65.926017;-0.122094;0.1
E1;100;53.351238;-0.12207;0.1
E1;100;34.550115;-0.244188;0.1
E1;100;46.636552;-0.366211;0.1
E1;100;36.381394;-0.366259;0.1
E1;100;48.101574;-0.244164;0.1
E1;100;68.733977;0.488305;0.1
E1;100;65.559761;0.976706;0.1
E1;100;61.530949;-0.488329;0.1
E1;100;30.643389;-0.976682;0.1
E1;100;40.04395;0.488353;0.1
E1;100;47.857404;2.38E-05;0.1
E1;100;43.950677;-0.976634;0.1
E1;100;42.729825;1.465058;0.1
E1;100;65.926017;0.366282;0.1
E1;100;58.478819;-4.77E-05;0.1
E1;100;17.580271;1.098752;0.1
E1;100;30.765474;-1.220822;0.1
E1;100;33.329263;-0.488329;0.1
E1;100;55.670859;1.0988;0.1
E1;100;82.16335;1.465011;0.1
E1;100;33.085093;0.366282;0.1
E1;100;45.293614;-0.488353;0.1
E1;100;26.858747;-0.12207;0.1
E1;100;38.090587;-0.244188;0.1
E1;100;25.75998;-0.12207;0.1
E1;100;33.451349;0;0.1
E1;100;24.294958;0.244212;0.1
E1;100;46.514466;-0.366235;0.1
E1;100;31.3759;2.563691;0.1
E1;100;52.862899;-0.366282;0.1
E1;100;39.311439;-0.366211;0.1
E1;100;57.746308;0.976706;0.1
E1;100;30.521303;0;0.1
E1;100;42.363569;0.366235;0.1
E1;100;55.792944;-0.976658;0.1
E1;100;33.329263;-0.854588;0.1
E1;100;45.171529;-0.366259;0.1
E1;100;23.684531;0.854564;0.1
E1;100;34.672201;-0.73247;0.1
E1;100;37.113905;0.244141;0.1
E1;100;31.253815;-0.488305;0.1
E1;100;20.510316;0.244093;0.1
E1;100;40.898548;0.244164;0.1
E1;100;14.406055;0.122118;0.1
E1;100;30.765474;-0.976682;0.1
E1;100;25.75998;-0.244212;0.1
E1;100;24.661213;-1.95334;0.1
E1;100;44.683188;-0.610423;0.1
E1;100;50.543278;-0.488281;0.1
E1;100;43.462336;0.488377;0.1
E1;100;41.997313;0.366235;0.1
E1;100;38.578929;-0.976706;0.1
E1;100;35.526797;0.610423;0.1
E1;100;48.101574;-0.732493;0.1
E1;100;36.381394;0.366211;0.1
E1;100;38.578928;1.098752;0.1
E1;100;87.290931;-0.610375;0.1
E1;100;30.277133;-0.366235;0.1
E1;100;30.399218;-0.366235;0.1
E1;100;45.415699;0.366187;0.1
E1;100;19.167379;0.12207;0.1
E1;100;34.42803;-1.220822;0.1
E1;100;36.015138;-0.854564;0.1
E1;100;46.148211;2.38E-05;0.1
E1;100;39.555609;-0.366187;0.1
E1;100;21.975338;0.732541;0.1
E1;100;37.724331;-0.488305;0.1
E1;100;42.60774;-0.244164;0.1
E1;100;32.474667;1.342964;0.1
E1;100;32.230496;0.244141;0.1
E1;100;38.701013;0.610447;0.1
E1;100;18.434867;-0.976682;0.1
E1;100;66.536443;-0.976706;0.1
E1;100;81.186669;-4.77E-05;0.1
E1;100;49.322426;-0.854588;0.1
E1;100;61.164695;-0.732541;0.1
E1;100;31.986326;-0.12207;0.1
E1;100;60.676351;-0.73247;0.1
E1;100;52.862898;-0.976658;0.1
E1;100;21.975338;0.488377;0.1
E1;100;33.207178;0.732541;0.1
E1;100;62.26346;-0.488353;0.1
E1;100;60.554267;-0.732493;0.1
E1;100;14.52814;0;0.1
E1;100;35.160542;0;0.1
E1;100;40.410207;0.610423;0.1
E1;100;38.456842;-0.366259;0.1
E1;100;42.363569;0.610447;0.1
E1;100;65.926017;-0.244164;0.1
E1;100;42.729826;0.488353;0.1
E1;100;48.467831;0.244141;0.1
E1;100;66.658528;1.342893;0.1
E1;100;39.067268;-0.366259;0.1
E1;100;52.374557;1.587105;0.1
E1;100;45.049445;-0.854516;0.1
E1;100;34.305945;0.244236;0.1
E1;100;44.927359;0.244141;0.1
E1;100;63.362227;0;0.1
E1;100;26.858747;-1.220822;0.1
E1;100;41.142717;0.366259;0.1
E1;100;27.957514;0.610423;0.1
E1;100;24.172872;0.73247;0.1
E1;100;41.142717;-0.122023;0.1
E1;100;26.370406;-1.465011;0.1
E1;100;58.356734;-0.244212;0.1
E1;100;42.973997;-0.488305;0.1
E1;100;39.311439;0.976634;0.1
E1;100;47.491148;0.732565;0.1
E1;100;61.286779;0.73247;0.1
E1;100;23.562446;0.488353;0.1
E1;100;14.28397;-0.732565;0.1
E1;100;32.230496;-0.854611;0.1
E1;100;39.433524;0.244117;0.1
E1;100;29.178366;-0.854635;0.1
E1;100;42.973995;-1.831293;0.1
E1;100;52.252473;-0.366211;0.1
E1;100;37.724331;0.244212;0.1
E1;100;46.880722;0.854564;0.1
E1;100;27.347088;-0.610399;0.1
E1;100;34.794286;-0.610399;0.1
E1;100;48.589915;0.366211;0.1
E1;100;31.62007;0.488305;0.1
E1;100;41.875228;-0.244141;0.1
E1;100;49.200341;0.366235;0.1
E1;100;55.915028;0.488329;0.1
E1;100;32.596752;0.488305;0.1
E1;100;16.969845;0.366211;0.1
E1;100;41.631059;0.244164;0.1
E1;100;32.840922;-0.976682;0.1
E1;100;18.068612;-2.075458;0.1
E1;100;55.915028;1.342916;0.1
E1;100;20.021975;0.244164;0.1
E1;100;65.926017;0.854564;0.1
E1;100;35.282627;-0.244188;0.1
E1;100;39.433524;-1.587057;0.1
E1;100;26.004151;0.610423;0.1
E1;100;25.51581;0.488281;0.1
E1;100;36.747649;-2.38E-05;0.1
E1;100;36.137223;-0.244188;0.1
E1;100;33.451349;-0.488305;0.1
E1;100;64.216824;-0.610423;0.1
E1;100;34.42803;-0.976682;0.1
E1;100;33.207178;0.244188;0.1
E1;100;27.713344;-0.12207;0.1
E1;100;26.126236;0.122046;0.1
E1;100;49.566598;0.366259;0.1
E1;100;27.347088;-0.244188;0.1
E1;100;32.108413;-0.732517;0.1
E1;100;12.330607;-0.732493;0.1
E1;100;36.625564;-0.122118;0.1
E1;100;34.42803;0.610423;0.1
E1;100;34.18386;-0.610447;0.1
E1;100;32.840922;0.854611;0.1
E1;100;25.882065;0.366259;0.1
E1;100;10.377243;-0.122118;0.1
E1;100;36.381394;0.12207;0.1
E1;100;19.533634;-0.488305;0.1
E1;100;32.108411;-0.976658;0.1
E1;100;63.850568;-0.12207;0.1
E1;100;60.920523;-1.220846;0.1
E1;100;32.596752;-0.488329;0.1
E1;100;18.068612;1.220846;0.1
E1;100;44.561103;-0.610447;0.1
E1;100;39.433524;-0.488353;0.1
E1;100;51.886216;-0.366235;0.1
E1;100;25.51581;-0.366259;0.1
E1;100;33.695519;0.122023;0.1
E1;100;43.706506;0.488305;0.1
E1;100;37.968501;0.85454;0.1
E1;100;33.451349;0.488329;0.1
E1;100;69.710658;0.366211;0.1
E1;100;39.189354;-0.610423;0.1
E1;100;27.102917;-1.342893;0.1
E1;100;30.521303;0.488353;0.1
E1;100;46.148211;0.976682;0.1
E1;100;80.698328;0.976634;0.1
E1;100;39.189354;1.098752;0.1
E1;100;45.293614;-0.366259;0.1
E1;100;47.369063;0.366235;0.1
E1;100;69.344403;0.122094;0.1
E1;100;37.358075;-1.587105;0.1
E1;100;44.561103;0.854588;0.1
E1;100;26.980832;1.220846;0.1
E1;100;19.411549;-1.342916;0.1
E1;100;61.408862;-0.366235;0.1
E1;100;18.679038;-0.366282;0.1
E1;100;35.526797;4.77E-05;0.1
E1;100;36.869735;0.122046;0.1
E1;100;26.736662;0.366235;0.1
E1;100;35.038456;-1.465058;0.1
E1;100;39.189354;-0.488281;0.1
E1;100;44.927359;-0.488257;0.1
E1;100;31.986327;0.732541;0.1
E1;100;50.299108;0.488353;0.1
E1;100;28.934196;-0.488329;0.1
E1;100;38.456842;-1.465011;0.1
E1;100;64.094739;-0.976658;0.1
E1;100;35.282627;-0.488353;0.1
E1;100;37.968501;0.366282;0.1
E1;100;33.573434;-0.732493;0.1
E1;100;31.864241;-0.244188;0.1
E1;100;40.166035;0.244164;0.1
E1;100;30.032963;-1.342964;0.1
E1;100;50.909536;-1.709223;0.1
E1;100;34.794286;0.244188;0.1
E1;100;57.013796;1.220822;0.1
E1;100;29.544622;0.73247;0.1
E1;100;70.565255;-1.220822;0.1
E1;100;49.322426;-1.098752;0.1
E1;100;58.112562;0.732493;0.1
E1;100;45.781955;0.732493;0.1
E1;100;23.440361;-0.732493;0.1
E1;100;32.718837;0.366187;0.1
E1;100;46.514466;0.97661;0.1
E1;100;29.178366;-0.488353;0.1
E1;100;67.268954;1.95334;0.1
E1;100;38.945183;-0.366306;0.1
E1;100;57.746308;-0.366235;0.1
E1;100;41.386887;-0.366282;0.1
E1;100;47.735319;-1.465058;0.1
E1;100;29.422536;-0.488353;0.1
E1;100;34.305945;0.610399;0.1
E1;100;55.060433;0.122023;0.1
E1;100;46.880722;0.732517;0.1
E1;100;16.969845;0.366211;0.1
E1;100;20.14406;0.244164;0.1
E1;100;43.09608;-0.488257;0.1
E1;100;44.927359;0.12207;0.1
E1;100;42.241484;0.732493;0.1
E1;100;35.893053;0;0.1
E1;100;18.923208;-0.488329;0.1
E1;100;25.027469;0.488329;0.1
E1;100;31.986326;0.12207;0.1
E1;100;36.015138;-1.587105;0.1
E1;100;26.004151;0.488377;0.1
E1;100;46.636553;-0.488353;0.1
E1;100;39.555611;7.15E-05;0.1
E1;100;19.533634;-0.244188;0.1
E1;100;29.544622;1.342869;0.1
E1;100;71.664023;0.488353;0.1
E1;100;68.611892;0.854588;0.1
E1;100;41.997313;-0.244188;0.1
E1;100;29.056281;0.244188;0.1
E1;100;44.072762;1.342964;0.1
E1;100;41.997313;-0.122046;0.1
E1;100;39.555609;0.488305;0.1
E1;100;26.614577;0.488329;0.1
E1;100;51.397876;0.122046;0.1
E1;100;43.218166;0.732493;0.1
E1;100;47.613233;-0.610423;0.1
E1;100;35.893053;0.12207;0.1
E1;100;52.130386;-0.854635;0.1
E1;100;58.722988;0.244164;0.1
E1;100;61.897205;1.587081;0.1
E1;100;62.7518;0.122046;0.1
E1;100;36.259308;-1.098752;0.1
E1;100;53.717494;-0.122118;0.1
E1;100;44.439018;-0.122094;0.1
E1;100;33.573434;0.976634;0.1
E1;100;32.108411;-1.953363;0.1
E1;100;58.112562;-0.366282;0.1
E1;100;42.60774;0.244141;0.1
E1;100;51.153705;1.098728;0.1
E1;100;58.600904;-0.732493;0.1
E1;100;37.724331;-2.441645;0.1
E1;100;38.212672;-0.12207;0.1
E1;100;45.171529;1.220775;0.1
E1;100;62.873885;-0.244141;0.1
E1;100;38.212672;-0.244188;0.1
E1;100;53.839579;0.488329;0.1
E1;100;16.969845;1.220822;0.1
E1;100;53.107068;2.38E-05;0.1
E1;100;48.223659;-0.610447;0.1
E1;100;56.40337;0.12207;0.1
E1;100;35.038456;0.12207;0.1
E1;100;31.986326;0.488329;0.1
E1;100;65.926017;0.976658;0.1
E1;100;42.119399;-0.366235;0.1
E1;100;39.311439;-1.220846;0.1
E1;100;50.909536;0.244164;0.1
E1;100;37.968501;-0.610399;0.1
E1;100;61.408864;1.709175;0.1
E1;100;56.891711;1.220775;0.1
E1;100;17.214015;1.587033;0.1
E1;100;48.834085;0.488329;0.1
E1;100;25.027469;-0.732493;0.1
E1;100;58.478819;-1.098704;0.1
E1;100;54.572091;0.366259;0.1
E1;100;62.385546;-4.77E-05;0.1
E1;100;18.801123;0.122023;0.1
E1;100;37.724331;-0.732541;0.1
E1;100;53.717496;0.854564;0.1
