Frequency (GHz);LG (mV);HG (mV)
100.0;-1.220852;37.358075
100.0;-0.610426;14.52814
100.0;0.122085;41.142717
100.0;0.122085;46.880722
100.0;-0.122085;31.742156
100.0;0.366256;39.311439
100.0;1.220852;11.598095
100.0;0.24417;29.910877
100.0;-1.709193;29.788792
100.0;1.220852;32.840922
100.0;1.953363;53.473324
100.0;-0.24417;33.329263
100.0;-0.854596;40.166035
100.0;-0.488341;38.212672
100.0;0.732511;39.79978
100.0;0.0;29.788792
100.0;-0.122085;37.602246
100.0;0.24417;18.190697
100.0;0.488341;43.706506
100.0;-0.610426;28.079599
100.0;0.488341;44.683188
100.0;0.854596;45.537785
100.0;-1.098767;25.271639
100.0;-0.366256;29.300451
100.0;-0.24417;20.876572
100.0;-0.488341;40.288121
100.0;1.953363;27.347088
100.0;-1.587108;42.485654
100.0;-0.488341;47.246978
100.0;-0.610426;30.887559
100.0;0.366256;37.846416
100.0;0.366256;26.370406
100.0;0.122085;33.451349
100.0;-0.366256;22.463679
100.0;0.976682;40.776461
100.0;-1.220852;25.027469
100.0;0.24417;43.706506
100.0;-0.732511;41.631058
100.0;1.465023;25.882065
100.0;0.122085;34.794286
100.0;-1.098767;15.871078
100.0;-0.488341;36.99182
100.0;0.366256;36.625564
100.0;0.122085;32.840922
100.0;0.366256;42.485654
100.0;0.732511;27.347088
100.0;-0.366256;38.212672
100.0;0.366256;26.736662
100.0;0.854596;40.776461
100.0;0.732511;38.090587
100.0;-0.366256;34.061775
100.0;0.366256;33.817604
100.0;-0.732511;24.050787
100.0;0.854596;38.823098
100.0;1.342937;17.824441
100.0;-0.854596;49.566597
100.0;-0.122085;35.893053
100.0;2.441704;37.846416
100.0;-0.122085;40.532291
100.0;-0.732511;37.23599
100.0;-0.24417;40.04395
100.0;1.709193;19.167379
100.0;-0.610426;40.166035
100.0;0.610426;16.237333
100.0;0.366256;40.410206
100.0;-0.854596;33.573434
100.0;-0.366256;42.241484
100.0;-0.24417;48.956171
100.0;-1.831278;25.149554
100.0;-0.366256;39.067268
100.0;0.854596;19.411549
100.0;-1.342937;50.299108
100.0;0.732511;39.555609
100.0;0.488341;28.81211
100.0;0.366256;28.079599
100.0;0.854596;20.998657
100.0;0.854596;40.532291
100.0;-1.342937;10.865584
100.0;-0.854596;46.148211
100.0;0.976682;44.439018
100.0;-0.24417;26.492491
100.0;-1.220852;40.166035
100.0;-0.732511;27.957514
100.0;-0.122085;36.747649
100.0;0.732511;28.81211
100.0;1.342937;44.805273
100.0;-0.366256;40.410206
100.0;-1.465023;26.248321
100.0;0.488341;36.015138
100.0;1.220852;20.998657
100.0;0.488341;42.119399
100.0;-0.854596;20.021975
100.0;0.732511;36.259308
100.0;0.610426;35.160542
100.0;0.122085;31.253815
100.0;2.075449;25.882065
100.0;0.122085;20.266145
100.0;0.0;37.602246
100.0;0.122085;35.526797
100.0;0.366256;37.23599
100.0;1.098767;45.415699
100.0;0.732511;31.253815
100.0;0.488341;31.3759
100.0;0.366256;22.585765
100.0;0.976682;36.747649
100.0;0.976682;23.928702
100.0;1.709193;43.828592
100.0;0.732511;41.386887
100.0;-0.366256;27.469173
100.0;0.732511;36.99182
100.0;0.0;21.120742
100.0;-0.122085;44.805273
100.0;0.976682;40.04395
100.0;0.122085;35.648882
100.0;-0.610426;40.776461
100.0;0.24417;41.631058
100.0;0.976682;41.753143
100.0;-1.342937;26.492491
100.0;0.0;30.887559
100.0;-0.488341;18.434867
100.0;1.831278;48.834085
100.0;0.976682;36.015138
100.0;-0.366256;37.724331
100.0;-0.366256;32.718837
100.0;0.610426;31.742156
100.0;-0.976682;20.998657
100.0;0.0;42.973995
100.0;0.122085;21.486998
100.0;-2.319619;41.386887
100.0;-0.122085;40.532291
100.0;-0.24417;35.282627
100.0;-0.24417;32.474667
100.0;-0.488341;18.434867
100.0;0.24417;42.729825
100.0;-0.610426;30.521303
100.0;-0.732511;35.282627
100.0;1.709193;44.439018
100.0;1.342937;26.126236
100.0;0.488341;36.747649
100.0;-0.122085;31.009644
100.0;0.610426;39.189354
100.0;-0.976682;28.201684
100.0;0.24417;48.223659
100.0;-0.854596;43.218166
100.0;0.610426;27.835429
100.0;1.465023;31.3759
100.0;-0.488341;16.481504
100.0;0.488341;43.340251
100.0;0.610426;37.358075
100.0;0.976682;37.968501
100.0;-1.098767;40.776461
100.0;2.80796;21.486998
