Sample;Frequency (GHz);LG (mV);HG (mV);Thickness (mm)
H1;100;69.100232;0.244141;0.07
H1;100;53.229153;0.366211;0.07
H1;100;62.019289;1.587129;0.07
H1;100;67.268954;-0.244141;0.07
H1;100;75.326578;1.220798;0.07
H1;100;58.356734;-1.098776;0.07
H1;100;41.264802;-0.854635;0.07
H1;100;68.245636;-0.610471;0.07
H1;100;66.658527;-0.366282;0.07
H1;100;75.937003;0.610399;0.07
H1;100;27.713344;2.38E-05;0.07
H1;100;78.012453;-0.122094;0.07
H1;100;30.643389;-0.732493;0.07
H1;100;89.244293;-0.366211;0.07
H1;100;70.198999;-0.12207;0.07
H1;100;105.847883;-0.854588;0.07
H1;100;121.230622;0.244188;0.07
H1;100;47.97949;-0.488329;0.07
H1;100;59.821756;0;0.07
H1;100;81.91918;0.244188;0.07
H1;100;76.669517;-0.854588;0.07
H1;100;56.769624;0.488305;0.07
H1;100;84.116717;0;0.07
H1;100;48.467831;0.122118;0.07
H1;100;76.425345;0.610447;0.07
H1;100;36.625566;-1.098776;0.07
H1;100;62.141374;-0.244188;0.07
H1;100;102.551582;-0.244188;0.07
H1;100;45.049447;-1.220846;0.07
H1;100;94.738127;0.488329;0.07
H1;100;98.156515;0.488329;0.07
H1;100;40.166035;-0.366235;0.07
H1;100;81.675011;-0.122046;0.07
H1;100;78.622882;0.488329;0.07
H1;100;47.369064;0.610399;0.07
H1;100;70.443168;-0.366259;0.07
H1;100;70.44317;0.488353;0.07
H1;100;15.748993;0.854564;0.07
H1;100;40.898548;0.244141;0.07
H1;100;88.389698;-1.220846;0.07
H1;100;-0.610426;-0.244188;0.07
H1;100;80.820413;2.38E-05;0.07
H1;100;69.466488;0.366259;0.07
H1;100;31.253815;-0.244188;0.07
H1;100;70.321085;0.610423;0.07
H1;100;104.016604;-1.098728;0.07
H1;100;41.753143;0.488353;0.07
H1;100;114.760104;4.77E-05;0.07
H1;100;83.262119;-0.244141;0.07
H1;100;66.536444;7.15E-05;0.07
H1;100;42.851911;-0.244141;0.07
H1;100;57.746308;-0.488353;0.07
H1;100;42.60774;-0.976658;0.07
H1;100;107.190821;0.976706;0.07
H1;100;64.094737;0.12207;0.07
H1;100;52.740812;-0.854564;0.07
H1;100;73.495299;0.85454;0.07
H1;100;130.142845;-4.77E-05;0.07
H1;100;17.580271;0.488353;0.07
H1;100;75.570749;0.732517;0.07
H1;100;111.707972;1.709175;0.07
H1;100;58.845074;0.244164;0.07
H1;100;109.632526;1.098704;0.07
H1;100;53.229155;0.488305;0.07
H1;100;55.792946;0.366259;0.07
H1;100;59.333415;0.73247;0.07
H1;100;69.100234;0.732493;0.07
H1;100;58.967158;0.610423;0.07
H1;100;77.524111;-0.732517;0.07
H1;100;72.274451;-0.366282;0.07
H1;100;86.558419;0;0.07
H1;100;80.820414;0.244188;0.07
H1;100;67.757294;-1.0988;0.07
H1;100;54.816261;0.12207;0.07
H1;100;92.906849;0.488305;0.07
H1;100;94.249788;-0.366235;0.07
H1;100;80.942497;-1.34294;0.07
H1;100;21.609083;0.366235;0.07
H1;100;68.611893;-0.488281;0.07
H1;100;21.609083;-1.098776;0.07
H1;100;83.994627;0.122094;0.07
H1;100;73.617385;-1.220846;0.07
H1;100;84.849226;-1.098728;0.07
H1;100;28.32377;-0.122094;0.07
H1;100;59.943841;0.976729;0.07
H1;100;22.219509;1.465011;0.07
H1;100;55.792943;0.244188;0.07
H1;100;60.920522;0.976658;0.07
H1;100;71.541935;-1.098704;0.07
H1;100;94.493957;0.366259;0.07
H1;100;57.013796;-0.366259;0.07
H1;100;73.617385;0.244164;0.07
H1;100;90.70932;-0.610399;0.07
H1;100;46.270296;-0.366259;0.07
H1;100;44.927359;0.488305;0.07
H1;100;53.595409;0.610375;0.07
H1;100;49.200341;-0.488305;0.07
H1;100;28.934196;-0.122118;0.07
H1;100;41.508974;0.610447;0.07
H1;100;51.153705;0.610375;0.07
H1;100;37.23599;-0.366235;0.07
H1;100;56.281285;-0.732517;0.07
H1;100;61.530948;-0.122094;0.07
H1;100;75.326577;0.488353;0.07
H1;100;31.375901;-0.122118;0.07
H1;100;52.374558;0.122094;0.07
H1;100;86.924672;0.732541;0.07
H1;100;97.057749;-0.732493;0.07
H1;100;57.624222;-0.488353;0.07
H1;100;84.238799;0.366235;0.07
H1;100;68.245634;1.342964;0.07
H1;100;49.078257;0.488377;0.07
H1;100;90.831402;0;0.07
H1;100;91.319743;-0.366187;0.07
H1;100;91.56391;-0.244188;0.07
H1;100;77.035773;0.610399;0.07
H1;100;115.6147;-0.732493;0.07
H1;100;85.337567;0;0.07
H1;100;97.057745;-0.610447;0.07
H1;100;64.338909;0.854588;0.07
H1;100;68.489806;-0.976634;0.07
H1;100;63.972652;-0.122094;0.07
H1;100;58.356734;-0.122118;0.07
H1;100;29.910877;1.464939;0.07
H1;100;80.820411;-0.610423;0.07
H1;100;45.65987;0.488281;0.07
H1;100;34.061775;0.366282;0.07
H1;100;83.872543;-0.488329;0.07
H1;100;69.588572;-0.854588;0.07
H1;100;62.995972;0.366235;0.07
H1;100;55.548772;0.610447;0.07
H1;100;50.299108;0.85454;0.07
H1;100;65.193507;-0.732541;0.07
H1;100;47.97949;-0.73247;0.07
H1;100;78.744964;-0.366235;0.07
H1;100;79.599562;2.38E-05;0.07
H1;100;38.456842;0.610423;0.07
H1;100;48.345745;0.244188;0.07
H1;100;98.400685;-1.098752;0.07
H1;100;91.808081;-0.12207;0.07
H1;100;95.348555;0.366235;0.07
H1;100;60.554267;0.610447;0.07
H1;100;40.776463;-0.610423;0.07
H1;100;58.356732;-0.366235;0.07
H1;100;78.500795;-0.366282;0.07
H1;100;65.803932;0.610399;0.07
H1;100;31.009646;1.465034;0.07
H1;100;95.104384;0;0.07
H1;100;38.456842;0.366235;0.07
H1;100;78.256623;-0.488329;0.07
H1;100;87.779273;0.854564;0.07
H1;100;39.555609;-0.366211;0.07
H1;100;87.77927;0.488353;0.07
H1;100;81.064583;-0.122094;0.07
H1;100;97.790258;-0.97661;0.07
H1;100;36.015141;-0.854635;0.07
H1;100;96.935661;0.366306;0.07
H1;100;88.023441;0;0.07
H1;100;34.794286;0.122046;0.07
H1;100;116.713466;1.098776;0.07
H1;100;74.227811;-0.366235;0.07
H1;100;57.135881;-0.122094;0.07
H1;100;40.410206;-1.0988;0.07
H1;100;54.450005;-1.465011;0.07
H1;100;40.776463;-1.464963;0.07
H1;100;0.488342;-1.098752;0.07
H1;100;43.096082;-1.220822;0.07
H1;100;69.588572;-0.366187;0.07
H1;100;51.275791;-0.122094;0.07
H1;100;12.330607;-0.244141;0.07
H1;100;92.540595;0.244164;0.07
H1;100;61.77512;-0.976658;0.07
H1;100;64.216824;0.366235;0.07
H1;100;58.96716;-0.366235;0.07
H1;100;56.769624;-0.244188;0.07
H1;100;59.333415;-0.244164;0.07
H1;100;90.953486;-0.244188;0.07
H1;100;77.646196;-2.38E-05;0.07
H1;100;45.65987;0.854611;0.07
H1;100;34.061775;0.366235;0.07
H1;100;82.407522;-0.73247;0.07
H1;100;104.260775;0;0.07
H1;100;125.259432;0;0.07
H1;100;65.681845;-0.610352;0.07
H1;100;71.786109;0.976634;0.07
H1;100;85.70382;-0.12207;0.07
H1;100;31.497987;-0.610495;0.07
H1;100;75.204492;-0.488329;0.07
H1;100;98.400684;0.244141;0.07
H1;100;61.28678;-0.854564;0.07
H1;100;62.141375;-1.464987;0.07
H1;100;50.054939;-2.319598;0.07
H1;100;43.584421;-0.854588;0.07
H1;100;70.321083;0.854588;0.07
H1;100;74.227811;0.488329;0.07
H1;100;71.297768;-0.366235;0.07
H1;100;126.236114;0.854611;0.07
H1;100;26.980834;-0.732517;0.07
H1;100;35.526799;-0.366282;0.07
H1;100;36.625567;-0.610423;0.07
H1;100;88.145526;0.610399;0.07
H1;100;25.637898;0.244188;0.07
H1;100;30.277134;-0.610471;0.07
H1;100;39.433524;0.12207;0.07
H1;100;63.240141;0.488353;0.07
H1;100;19.289464;0.244141;0.07
H1;100;89.000124;0.610399;0.07
H1;100;100.231962;0.610471;0.07
H1;100;25.75998;-0.244188;0.07
H1;100;43.706506;-0.366211;0.07
H1;100;56.40337;1.342916;0.07
H1;100;106.214137;0.244236;0.07
H1;100;61.775118;0.12207;0.07
H1;100;42.851911;-0.854588;0.07
H1;100;77.890368;0.244164;0.07
H1;100;96.813576;0.12207;0.07
H1;100;84.482971;0.244117;0.07
H1;100;42.973997;0.732493;0.07
H1;100;52.618729;0.610399;0.07
H1;100;73.129043;0;0.07
H1;100;58.112562;0.732446;0.07
H1;100;81.797096;-2.38E-05;0.07
H1;100;90.465146;-1.342916;0.07
H1;100;106.824565;0.366282;0.07
H1;100;84.238797;0.12207;0.07
H1;100;53.351238;0.122094;0.07
H1;100;59.089245;-0.244164;0.07
H1;100;91.808082;-1.342916;0.07
H1;100;84.116714;2.441716;0.07
H1;100;59.577584;-0.366235;0.07
H1;100;58.967158;0.73247;0.07
H1;100;105.725798;-0.732493;0.07
H1;100;67.635208;-0.732493;0.07
H1;100;62.019289;-0.854588;0.07
H1;100;69.100231;-0.610399;0.07
H1;100;55.548772;-0.366235;0.07
H1;100;102.673668;-0.366187;0.07
H1;100;74.716152;0.73247;0.07
H1;100;80.332072;-1.342893;0.07
H1;100;51.764131;0.488329;0.07
H1;100;88.267611;-1.587081;0.07
H1;100;101.574901;0.610423;0.07
H1;100;74.716154;1.34294;0.07
H1;100;106.092054;-0.366282;0.07
H1;100;64.82725;-0.85454;0.07
H1;100;74.349895;0.366282;0.07
H1;100;81.919183;0.122118;0.07
H1;100;54.205835;-0.244117;0.07
H1;100;26.126236;0.732517;0.07
H1;100;76.181176;2.38E-05;0.07
H1;100;107.679163;-0.12207;0.07
H1;100;134.904164;0.732493;0.07
H1;100;58.356732;-0.122094;0.07
H1;100;31.375901;0.12207;0.07
H1;100;54.694177;0.610375;0.07
