Frequency (GHz);LG (mV);HG (mV)
100.0;0.610426;45.049444
100.0;-0.122085;55.060431
100.0;-0.122085;44.805273
100.0;-0.122085;44.072762
100.0;-0.976682;33.939689
100.0;-1.342937;41.631058
100.0;-0.366256;25.027469
100.0;-0.854596;41.753143
100.0;0.0;18.556952
100.0;0.732511;43.584421
100.0;-0.488341;19.533634
100.0;0.488341;45.65987
100.0;0.610426;17.3361
100.0;-0.488341;42.973995
100.0;-0.122085;37.968501
100.0;0.610426;45.537785
100.0;0.24417;21.731168
100.0;-0.366256;43.706506
100.0;-1.342937;37.358075
100.0;-0.122085;42.485654
100.0;0.610426;40.898547
100.0;-0.24417;18.556952
100.0;1.220852;32.108411
100.0;-0.610426;28.32377
100.0;1.953363;45.65987
100.0;-0.488341;22.585765
100.0;-0.366256;47.857404
100.0;0.24417;43.340251
100.0;-0.976682;42.119399
100.0;-0.122085;46.880722
100.0;0.366256;36.137223
100.0;1.098767;51.27579
100.0;0.122085;46.270296
100.0;-0.854596;20.388231
100.0;-0.488341;44.439018
100.0;-1.220852;33.085093
100.0;0.0;52.740812
100.0;0.24417;26.248321
100.0;-0.24417;41.142717
100.0;0.488341;34.061775
100.0;0.610426;37.602246
100.0;0.976682;48.834085
100.0;0.488341;47.246978
100.0;0.610426;55.426687
100.0;-0.732511;33.817604
100.0;0.0;35.038456
100.0;1.709193;29.178366
100.0;1.220852;40.166035
100.0;0.366256;21.486998
100.0;0.366256;41.142717
100.0;-0.122085;19.89989
100.0;0.366256;47.002807
100.0;0.122085;45.65987
100.0;0.24417;48.223659
100.0;-0.854596;57.746306
100.0;-0.366256;29.178366
100.0;-0.610426;44.072762
100.0;2.075449;31.742156
100.0;-0.122085;34.061775
100.0;-1.465023;24.294958
100.0;0.976682;39.433524
100.0;-0.24417;23.196191
100.0;-0.976682;46.148211
100.0;0.854596;29.910877
100.0;-0.610426;46.148211
100.0;0.366256;47.613233
100.0;-0.976682;40.04395
100.0;1.220852;41.142717
100.0;1.220852;33.207178
100.0;1.220852;34.42803
100.0;-0.24417;21.364912
100.0;1.465023;43.584421
100.0;-1.342937;18.190697
100.0;1.831278;35.160542
100.0;-0.732511;25.149554
100.0;0.0;42.729825
100.0;-0.366256;13.429374
100.0;-0.732511;39.79978
100.0;-0.854596;33.451349
100.0;-0.732511;43.950677
100.0;0.976682;53.961664
100.0;-1.098767;41.142717
100.0;1.342937;45.65987
100.0;0.122085;34.550115
100.0;0.976682;47.002807
100.0;0.24417;34.916371
100.0;-0.122085;49.078256
100.0;-0.976682;20.266145
100.0;-0.732511;35.770968
100.0;-0.366256;25.51581
100.0;0.366256;36.503479
100.0;-0.488341;12.330607
100.0;-0.976682;41.142717
100.0;1.098767;22.585765
100.0;0.732511;37.968501
100.0;-0.488341;20.021975
100.0;-0.122085;45.537785
100.0;1.587108;37.23599
100.0;0.854596;48.101574
100.0;-0.854596;47.246978
100.0;1.098767;38.212672
100.0;0.854596;58.478817
100.0;-1.587108;29.178366
100.0;0.610426;44.316933
100.0;1.831278;25.882065
100.0;-0.24417;37.358075
100.0;-0.732511;26.858747
100.0;0.24417;29.300451
100.0;0.732511;18.068612
100.0;0.854596;39.067268
100.0;-1.709193;24.050787
100.0;0.610426;50.665364
100.0;-0.976682;21.853253
100.0;1.220852;42.119399
100.0;0.24417;26.370406
100.0;-0.854596;34.672201
100.0;-0.610426;25.271639
100.0;0.732511;38.334757
100.0;-1.465023;20.14406
100.0;0.366256;32.230496
100.0;0.0;25.149554
100.0;1.465023;48.712
100.0;0.122085;25.149554
100.0;-0.732511;48.834085
100.0;0.366256;58.600903
100.0;1.587108;40.410206
100.0;0.488341;45.537785
100.0;0.610426;43.340251
100.0;-0.488341;46.270296
100.0;0.854596;41.264802
100.0;-0.732511;46.392381
100.0;0.0;31.497985
100.0;0.732511;28.32377
100.0;1.953363;24.417043
100.0;-0.122085;43.340251
100.0;0.854596;20.021975
100.0;-0.610426;51.642045
100.0;-0.122085;43.828592
100.0;0.122085;46.758637
100.0;-0.610426;51.51996
100.0;1.465023;40.776461
100.0;-0.122085;47.979489
100.0;-0.24417;47.124892
100.0;-1.342937;35.648882
100.0;-0.732511;45.049444
100.0;0.732511;51.031619
100.0;-0.854596;36.381394
100.0;-0.366256;38.701013
100.0;-0.976682;21.609083
100.0;-0.366256;31.62007
100.0;0.488341;17.702356
100.0;1.587108;41.753143
100.0;0.122085;40.776461
100.0;0.24417;48.589915
100.0;2.441704;29.422536
100.0;0.24417;39.921865
100.0;-0.610426;28.079599
100.0;-0.366256;45.415699
100.0;0.0;25.51581
