Sample;Frequency (GHz);LG (mV);HG (mV);Thickness (mm)
REF;100;32.718837;-0.854611;0
REF;100;19.289465;0.122118;0
REF;100;29.178366;0.244164;0
REF;100;42.729825;0.85454;0
REF;100;54.083751;0.366259;0
REF;100;39.555609;-1.95334;0
REF;100;60.676353;0.122094;0
REF;100;46.758638;0.97661;0
REF;100;29.422536;-2.38E-05;0
REF;100;47.857405;-0.244141;0
REF;100;64.705165;0.244164;0
REF;100;83.628373;-0.122118;0
REF;100;32.718837;0.488329;0
REF;100;33.573434;0.122142;0
REF;100;47.246978;2.38E-05;0
REF;100;34.672201;-0.732517;0
REF;100;81.186669;-1.587105;0
REF;100;67.268954;-0.366211;0
REF;100;52.496642;0.488353;0
REF;100;57.257965;2.38E-05;0
REF;100;39.555609;0.976634;0
REF;100;75.692832;-1.464987;0
REF;100;83.384202;0.732493;0
REF;100;98.889026;-0.122094;0
REF;100;45.171529;-0.73247;0
REF;100;71.175681;-0.854611;0
REF;100;50.29911;-0.610423;0
REF;100;57.013795;-0.244117;0
REF;100;38.945183;-0.244141;0
REF;100;73.739471;0.366282;0
REF;100;63.362227;-0.488353;0
REF;100;22.341594;-0.12207;0
REF;100;39.189354;0.12207;0
REF;100;54.327922;0.854588;0
REF;100;18.434867;-0.610399;0
REF;100;76.669516;0.610352;0
REF;100;40.654376;2.38E-05;0
REF;100;75.937004;-0.366282;0
REF;100;65.193506;0.610447;0
REF;100;41.386887;1.34294;0
REF;100;55.548772;-0.244141;0
REF;100;31.986326;-0.122094;0
REF;100;43.218166;0.244188;0
REF;100;47.73532;-2.197504;0
REF;100;38.334757;-0.244212;0
REF;100;41.020632;0.366235;0
REF;100;68.245634;0.122118;0
REF;100;71.41985;0.244164;0
REF;100;50.177023;-1.22087;0
REF;100;60.676351;0.976706;0
REF;100;34.550115;0;0
REF;100;39.189354;-0.122023;0
REF;100;33.085093;0.976658;0
REF;100;77.035771;0.122094;0
REF;100;83.872545;0.366235;0
REF;100;69.100231;0.366306;0
REF;100;16.725674;1.709175;0
REF;100;44.683188;-1.342893;0
REF;100;72.884874;0.244164;0
REF;100;49.688682;0.854611;0
REF;100;40.898547;-0.122094;0
REF;100;48.956171;-0.366235;0
REF;100;14.52814;-0.488353;0
REF;100;79.111221;-0.976658;0
REF;100;48.956171;-0.976682;0
REF;100;40.166035;0.122094;0
REF;100;36.381394;0.610423;0
REF;100;76.791601;-0.610423;0
REF;100;67.268954;-0.976658;0
REF;100;55.182518;-0.732493;0
REF;100;47.613233;0.366211;0
REF;100;41.264802;0.12207;0
REF;100;34.42803;0.73247;0
REF;100;58.356732;-0.976658;0
REF;100;62.629715;0.610447;0
REF;100;67.513125;1.464939;0
REF;100;47.002807;0.488305;0
REF;100;108.411673;0.366235;0
REF;100;23.928702;-0.488305;0
REF;100;81.797096;4.77E-05;0
REF;100;41.264802;-0.366211;0
REF;100;1.342937;-0.732446;0
REF;100;47.246979;-0.366259;0
REF;100;27.225003;-1.098752;0
REF;100;29.178368;0.732517;0
REF;100;41.875228;-0.122023;0
REF;100;29.178366;2.07541;0
REF;100;59.455501;0.244141;0
REF;100;50.177023;0.244141;0
REF;100;29.788792;0;0
REF;100;20.266145;-0.610423;0
REF;100;90.098889;0.85454;0
REF;100;23.196191;-0.854588;0
REF;100;33.085093;0.244164;0
REF;100;76.791601;0.366211;0
REF;100;57.380052;1.342964;0
REF;100;64.58308;0.488353;0
REF;100;36.015138;0.488329;0
REF;100;87.168844;1.342964;0
REF;100;66.048101;0.610423;0
REF;100;58.845073;-0.366235;0
REF;100;89.488463;-0.854564;0
REF;100;47.73532;-0.12207;0
REF;100;77.035773;-0.366211;0
REF;100;74.716152;-0.122118;0
REF;100;71.41985;1.34294;0
REF;100;51.275791;-0.244117;0
REF;100;58.600903;2.38E-05;0
REF;100;36.381394;-0.976658;0
REF;100;38.578928;-0.244164;0
REF;100;15.260652;0.610399;0
REF;100;58.234648;0.122118;0
REF;100;39.311439;-1.0988;0
REF;100;41.875228;2.38E-05;0
REF;100;29.666707;0.12207;0
REF;100;76.303259;2.38E-05;0
REF;100;35.893053;0.366259;0
REF;100;44.194847;0.244188;0
REF;100;50.543278;-0.244188;0
REF;100;67.87938;0.610399;0
REF;100;58.356734;2.38E-05;0
REF;100;25.149554;1.098728;0
REF;100;36.869735;-0.610399;0
REF;100;54.32792;-0.122094;0
REF;100;34.672201;0.976682;0
REF;100;22.70785;-0.610423;0
REF;100;33.573435;0.244188;0
REF;100;16.969845;2.38E-05;0
REF;100;51.764131;-0.244164;0
REF;100;8.179709;-0.610399;0
