Frequency (GHz);LG (mV);HG (mV)
100.0;1.953363;43.340251
100.0;-0.24417;23.684531
100.0;-0.122085;37.602246
100.0;0.122085;29.910877
100.0;-2.319619;45.415699
100.0;-0.854596;21.609083
100.0;-0.24417;47.491148
100.0;-0.366256;25.51581
100.0;2.319619;41.508973
100.0;-1.098767;39.921865
100.0;-0.122085;29.544622
100.0;0.122085;49.322426
100.0;-0.122085;34.305945
100.0;0.732511;43.462336
100.0;-0.854596;20.998657
100.0;0.366256;42.60774
100.0;-0.122085;35.404712
100.0;0.976682;38.212672
100.0;0.366256;20.388231
100.0;0.122085;51.642045
100.0;-0.976682;41.142717
100.0;-0.732511;43.706506
100.0;-0.122085;49.566597
100.0;-1.465023;29.666707
100.0;-0.366256;47.857404
100.0;-0.122085;33.939689
100.0;-0.976682;41.875228
100.0;-0.610426;46.392381
100.0;0.854596;46.392381
100.0;0.854596;32.352582
100.0;0.24417;39.311439
100.0;-0.24417;37.113905
100.0;-0.732511;49.932852
100.0;0.24417;38.945183
100.0;-0.24417;35.038456
100.0;-0.366256;25.027469
100.0;0.0;45.171529
100.0;0.610426;44.805273
100.0;0.24417;23.684531
100.0;0.0;38.090587
100.0;0.122085;23.684531
100.0;-0.24417;40.532291
100.0;0.854596;43.340251
100.0;-1.831278;45.537785
100.0;0.854596;46.270296
100.0;-0.122085;13.795629
100.0;-0.366256;39.311439
100.0;1.587108;21.364912
100.0;-0.610426;35.404712
100.0;-1.709193;34.916371
100.0;0.0;43.09608
100.0;0.122085;32.352582
100.0;-0.366256;43.950677
100.0;-0.976682;45.171529
100.0;-2.197534;21.486998
100.0;-0.732511;33.817604
100.0;1.342937;28.81211
100.0;-0.610426;36.747649
100.0;0.610426;51.51996
100.0;-0.122085;27.102917
100.0;-0.488341;44.194847
100.0;1.098767;27.469173
100.0;0.732511;45.415699
100.0;1.831278;30.399218
100.0;-1.098767;53.961664
100.0;1.220852;36.869735
100.0;0.488341;46.392381
100.0;0.488341;41.631058
100.0;0.24417;26.004151
100.0;-0.610426;43.218166
100.0;0.0;20.998657
100.0;-0.976682;40.654376
100.0;0.732511;16.725674
100.0;0.854596;36.869735
100.0;0.854596;28.445855
100.0;-0.366256;35.282627
100.0;0.0;28.079599
100.0;0.24417;49.932852
100.0;0.976682;45.049444
100.0;-0.488341;56.647539
100.0;0.366256;39.067268
100.0;-0.122085;39.677694
100.0;0.854596;37.968501
100.0;-0.610426;31.986326
100.0;0.366256;38.212672
100.0;-0.610426;39.433524
100.0;-0.24417;46.636552
100.0;1.709193;39.067268
100.0;-0.122085;34.550115
100.0;-0.24417;38.945183
100.0;-0.732511;37.113905
100.0;-1.831278;31.62007
100.0;-0.610426;49.810767
100.0;-0.122085;47.613233
100.0;0.366256;21.731168
100.0;1.587108;52.862898
100.0;0.976682;45.293614
100.0;-0.854596;28.201684
100.0;0.488341;35.893053
100.0;-0.122085;38.334757
100.0;-0.732511;44.072762
100.0;1.587108;20.998657
100.0;-1.465023;40.532291
100.0;-1.098767;36.99182
100.0;0.732511;25.271639
100.0;0.366256;44.439018
100.0;0.488341;44.561103
100.0;0.732511;42.85191
100.0;0.122085;21.120742
100.0;1.342937;46.270296
100.0;-0.732511;38.456842
100.0;0.0;28.934196
100.0;-0.610426;41.264802
100.0;-0.732511;20.632401
100.0;-0.976682;42.729825
100.0;0.0;26.370406
100.0;-0.122085;36.259308
100.0;1.220852;27.347088
100.0;-0.122085;50.054938
100.0;0.122085;27.347088
100.0;-1.220852;50.421193
100.0;0.366256;39.79978
100.0;0.854596;49.322426
100.0;0.366256;33.817604
100.0;1.831278;39.189354
100.0;-0.488341;34.794286
100.0;0.122085;52.008301
100.0;0.488341;38.945183
100.0;0.366256;38.578928
100.0;-0.366256;33.329263
100.0;-1.342937;41.020632
100.0;-1.220852;35.893053
100.0;0.976682;36.625564
100.0;0.24417;21.853253
100.0;-0.854596;35.526797
100.0;0.0;15.993163
100.0;1.342937;43.09608
100.0;0.366256;22.219509
100.0;0.122085;39.79978
100.0;-0.122085;25.637895
100.0;0.24417;44.561103
100.0;-0.610426;20.754486
100.0;0.122085;40.166035
100.0;-0.488341;19.167379
100.0;-0.488341;41.508973
100.0;0.610426;22.463679
100.0;1.342937;49.688682
100.0;-0.854596;18.556952
100.0;1.587108;46.270296
100.0;-0.488341;21.731168
100.0;-0.122085;32.596752
100.0;0.122085;17.3361
100.0;0.610426;41.386887
100.0;0.610426;41.386887
100.0;-1.709193;44.194847
100.0;-0.854596;39.921865
100.0;0.732511;49.078256
100.0;0.976682;46.148211
100.0;-0.366256;42.485654
100.0;0.976682;41.020632
100.0;1.831278;32.474667
100.0;0.122085;39.79978
100.0;-0.366256;50.421193
100.0;0.366256;43.584421
100.0;-0.854596;41.997313
100.0;-0.24417;44.683188
100.0;-0.24417;52.130386
100.0;-0.976682;25.75998
100.0;0.24417;51.153705
100.0;-1.465023;37.23599
100.0;0.976682;28.81211
100.0;0.122085;39.311439
100.0;-0.488341;39.067268
100.0;-0.976682;25.637895
100.0;0.976682;47.491148
100.0;0.0;41.997313
100.0;-0.122085;37.602246
100.0;-0.610426;41.386887
100.0;-0.610426;23.318276
100.0;-1.587108;33.939689
100.0;0.122085;35.893053
100.0;-0.854596;36.747649
100.0;-0.24417;45.171529
100.0;0.122085;32.840922
100.0;0.366256;43.706506
100.0;-1.587108;31.253815
100.0;0.24417;38.212672
100.0;-1.587108;31.253815
100.0;0.122085;32.596752
100.0;0.366256;23.806617
100.0;0.488341;37.968501
100.0;0.854596;31.131729
100.0;0.24417;42.60774
100.0;0.488341;32.963008
100.0;-0.976682;47.857404
100.0;0.24417;36.503479
100.0;-0.366256;50.665364
100.0;-0.732511;42.363569
100.0;0.976682;52.130386
100.0;-1.220852;39.921865
100.0;1.342937;42.973995
100.0;-0.976682;32.474667
100.0;0.122085;36.137223
100.0;0.488341;24.905384
100.0;1.587108;43.706506
100.0;-0.366256;24.417043
100.0;0.854596;37.846416
100.0;0.0;23.440361
100.0;-1.220852;41.142717
100.0;-0.24417;24.050787
100.0;0.488341;40.166035
100.0;0.24417;27.102917
100.0;0.732511;44.439018
100.0;-1.587108;24.783298
100.0;0.488341;44.927359
100.0;0.24417;34.672201
100.0;1.098767;47.735319
100.0;-0.732511;39.067268
100.0;-0.122085;40.776461
100.0;-0.732511;46.026126
100.0;0.24417;35.282627
100.0;0.0;47.369063
100.0;-0.122085;35.404712
100.0;1.709193;47.735319
100.0;-1.220852;26.248321
100.0;0.488341;34.305945
100.0;-0.366256;30.399218
100.0;-0.854596;41.875228
100.0;0.24417;32.474667
100.0;1.465023;40.410206
100.0;-0.122085;25.271639
100.0;-1.098767;41.631058
100.0;0.24417;17.946526
100.0;0.854596;54.938346
100.0;-1.220852;39.067268
100.0;0.366256;49.200341
100.0;-0.610426;33.695519
100.0;-0.610426;38.945183
100.0;0.976682;29.178366
100.0;-0.610426;38.212672
100.0;0.0;22.341594
100.0;-0.366256;48.834085
100.0;0.24417;10.621414
100.0;0.854596;43.950677
100.0;-0.610426;24.172872
100.0;-0.854596;46.392381
100.0;-0.366256;23.440361
100.0;-0.488341;38.701013
100.0;0.610426;25.027469
100.0;-1.831278;48.345745
100.0;0.0;29.422536
100.0;-0.122085;38.456842
100.0;-0.732511;15.748993
100.0;1.831278;41.875228
100.0;-0.366256;47.735319
100.0;0.732511;24.905384
100.0;0.976682;36.381394
100.0;-0.24417;30.765474
100.0;1.587108;34.794286
100.0;-0.366256;18.312782
100.0;-0.366256;42.241484
100.0;0.976682;24.783298
100.0;-0.122085;34.550115
100.0;0.24417;43.950677
100.0;-1.098767;46.148211
100.0;0.122085;49.200341
100.0;-0.122085;18.068612
100.0;1.220852;48.834085
100.0;-1.587108;36.625564
100.0;-0.976682;47.124892
100.0;0.732511;44.561103
100.0;-0.366256;31.986326
100.0;0.122085;46.026126
100.0;-1.342937;31.253815
100.0;0.610426;47.857404
100.0;0.24417;25.637895
100.0;0.366256;38.334757
100.0;0.610426;25.637895
100.0;-2.075449;53.839579
100.0;2.197534;52.008301
100.0;0.0;45.171529
100.0;-0.122085;22.341594
100.0;-0.488341;37.724331
100.0;0.854596;22.585765
100.0;1.465023;42.241484
100.0;0.122085;17.09193
100.0;0.122085;44.683188
100.0;0.24417;20.266145
100.0;-0.854596;41.508973
100.0;0.732511;43.584421
100.0;0.610426;21.364912
100.0;0.732511;41.997313
100.0;0.488341;26.614577
100.0;-0.610426;40.410206
100.0;0.366256;41.508973
100.0;0.976682;28.079599
100.0;-0.366256;49.200341
100.0;0.366256;36.869735
100.0;-0.24417;41.142717
100.0;0.488341;28.201684
100.0;0.488341;47.491148
100.0;0.610426;24.417043
100.0;-0.24417;47.491148
100.0;-0.854596;34.18386
100.0;1.098767;44.194847
100.0;-0.732511;49.566597
100.0;0.122085;27.591258
100.0;-0.24417;46.636552
100.0;0.0;26.248321
100.0;0.732511;40.532291
100.0;0.854596;23.562446
100.0;0.854596;39.067268
100.0;-0.732511;24.294958
100.0;0.0;47.491148
100.0;-0.488341;23.562446
100.0;0.976682;49.078256
100.0;-0.122085;42.241484
100.0;1.220852;18.434867
100.0;0.366256;33.451349
100.0;0.0;41.508973
100.0;-0.488341;50.665364
100.0;1.709193;44.072762
100.0;-0.366256;37.358075
100.0;0.854596;48.101574
100.0;0.610426;44.072762
100.0;1.098767;44.316933
100.0;-0.122085;32.963008
100.0;-1.709193;42.241484
100.0;1.342937;48.46783
100.0;0.24417;46.636552
100.0;-0.122085;27.713344
100.0;-0.122085;34.18386
100.0;-1.587108;28.201684
100.0;-1.220852;27.591258
100.0;-1.831278;29.910877
100.0;-0.366256;13.795629
100.0;0.732511;43.218166
100.0;0.24417;40.776461
100.0;-0.610426;21.853253
100.0;0.610426;42.60774
100.0;-0.366256;26.736662
100.0;0.24417;36.137223
100.0;-1.709193;13.795629
100.0;0.610426;47.613233
100.0;0.488341;46.636552
100.0;0.854596;24.417043
100.0;-0.122085;44.072762
100.0;0.610426;28.079599
100.0;0.24417;52.008301
100.0;0.0;35.282627
100.0;0.732511;41.997313
100.0;0.488341;35.160542
100.0;1.220852;40.532291
100.0;1.098767;38.701013
100.0;1.220852;33.451349
100.0;0.610426;47.613233
100.0;0.854596;19.533634
100.0;0.854596;46.270296
100.0;0.854596;35.404712
100.0;0.0;51.27579
