Sample;Frequency (GHz);LG (mV);HG (mV)
REF_7;100.0;0.488341;83.109509
REF_7;100.0;0.671469;77.066291
REF_7;100.0;0.122085;83.628371
REF_7;100.0;-0.488341;80.332071
REF_7;100.0;-0.396777;79.019655
REF_7;100.0;0.427298;77.03577
REF_7;100.0;-0.152607;75.418141
REF_7;100.0;-0.579905;77.798802
REF_7;100.0;-0.518862;83.323158
REF_7;100.0;0.213649;81.003539
REF_7;100.0;0.488341;75.723354
REF_7;100.0;-0.305213;79.172261
REF_7;100.0;0.549383;81.736051
REF_7;100.0;0.061043;81.736051
REF_7;100.0;0.152607;80.179464
REF_7;100.0;0.640947;78.226101
REF_7;100.0;0.549383;78.43975
REF_7;100.0;-0.824075;81.400316
REF_7;100.0;1.037724;78.561835
REF_7;100.0;1.068246;72.945915
REF_7;100.0;0.549383;82.102306
REF_7;100.0;0.030521;77.554632
REF_7;100.0;-0.335734;83.628371
REF_7;100.0;-0.885118;78.256622
REF_7;100.0;0.640947;82.285434
REF_7;100.0;0.915639;80.179464
REF_7;100.0;0.274692;81.369795
REF_7;100.0;0.183128;80.881454
REF_7;100.0;0.091564;75.753875
REF_7;100.0;-0.396777;85.062873
REF_7;100.0;-0.396777;79.355389
REF_7;100.0;0.061043;74.9298
REF_7;100.0;-0.152607;84.025148
REF_7;100.0;0.549383;81.003539
REF_7;100.0;-0.030521;76.059088
REF_7;100.0;0.549383;82.834817
REF_7;100.0;-0.183128;83.35368
REF_7;100.0;0.152607;80.209985
REF_7;100.0;-0.213649;81.797093
REF_7;100.0;-0.824075;79.721645
REF_7;100.0;0.610426;80.484677
REF_7;100.0;0.183128;78.989133
REF_7;100.0;0.061043;80.637284
REF_7;100.0;0.24417;77.73776
REF_7;100.0;-0.335734;75.204492
REF_7;100.0;0.24417;81.797093
REF_7;100.0;-0.579905;84.177755
REF_7;100.0;0.0;79.507995
REF_7;100.0;0.183128;81.736051
REF_7;100.0;0.213649;75.998046
REF_7;100.0;0.091564;76.364301
REF_7;100.0;1.037724;77.096812
REF_7;100.0;0.579905;78.531314
REF_7;100.0;0.183128;80.423634
REF_7;100.0;-0.152607;83.964106
REF_7;100.0;0.183128;80.0879
REF_7;100.0;-0.396777;81.369795
REF_7;100.0;-0.24417;78.500792
REF_7;100.0;-0.152607;76.455865
REF_7;100.0;0.885118;77.890366
REF_7;100.0;0.427298;84.421925
REF_7;100.0;-0.549383;78.775484
REF_7;100.0;0.579905;79.84373
REF_7;100.0;0.030521;76.608472
REF_7;100.0;0.0;81.736051
REF_7;100.0;0.152607;82.712732
REF_7;100.0;-0.335734;82.834817
REF_7;100.0;0.152607;80.698326
REF_7;100.0;-0.030521;77.707238
REF_7;100.0;0.732511;77.920888
REF_7;100.0;-0.213649;80.973018
REF_7;100.0;0.335734;76.57795
REF_7;100.0;0.366256;82.407519
REF_7;100.0;0.122085;80.667805
REF_7;100.0;0.122085;79.507995
REF_7;100.0;-0.213649;75.204492
REF_7;100.0;0.396777;81.400316
REF_7;100.0;-0.213649;79.355389
REF_7;100.0;0.305213;79.324868
REF_7;100.0;-0.274692;77.310462
REF_7;100.0;-0.061043;77.707238
REF_7;100.0;0.579905;81.644487
REF_7;100.0;0.305213;82.956903
REF_7;100.0;-0.70199;81.736051
REF_7;100.0;0.579905;74.105725
REF_7;100.0;0.091564;79.202782
REF_7;100.0;-0.091564;81.919178
REF_7;100.0;0.061043;80.576241
REF_7;100.0;0.183128;81.522401
REF_7;100.0;-0.488341;77.03577
REF_7;100.0;0.213649;75.540226
REF_7;100.0;0.366256;83.84202
REF_7;100.0;0.152607;75.296056
REF_7;100.0;0.335734;80.667805
REF_7;100.0;-0.305213;85.184958
REF_7;100.0;-0.305213;79.569038
REF_7;100.0;-1.037724;79.691123
REF_7;100.0;-0.335734;80.942497
REF_7;100.0;-0.45782;78.653399
REF_7;100.0;0.396777;82.224391
REF_7;100.0;0.091564;81.278231
REF_7;100.0;0.640947;85.368086
REF_7;100.0;-0.24417;79.38591
REF_7;100.0;-1.281895;76.242216
REF_7;100.0;0.488341;80.118421
REF_7;100.0;0.518862;85.246
REF_7;100.0;0.061043;78.470271
REF_7;100.0;0.274692;77.402025
