Sample;Frequency (GHz);LG (mV);HG (mV)
B1_9;100.0;0.152607;24.905384
B1_9;100.0;-0.427298;24.539128
B1_9;100.0;0.824075;23.40984
B1_9;100.0;0.0;23.837138
B1_9;100.0;-0.061043;25.210597
B1_9;100.0;0.091564;26.156757
B1_9;100.0;-0.183128;26.126236
B1_9;100.0;0.0;23.867659
B1_9;100.0;1.037724;26.248321
B1_9;100.0;-0.061043;22.890978
B1_9;100.0;-0.579905;23.165669
B1_9;100.0;0.183128;24.722256
B1_9;100.0;-0.24417;25.05799
B1_9;100.0;0.335734;19.136857
B1_9;100.0;0.518862;26.584055
B1_9;100.0;0.488341;21.456476
B1_9;100.0;-0.183128;24.935905
B1_9;100.0;0.396777;26.91979
B1_9;100.0;0.396777;20.357709
B1_9;100.0;-0.183128;23.257233
B1_9;100.0;0.030521;23.165669
B1_9;100.0;0.061043;26.370406
B1_9;100.0;-0.915639;25.882065
B1_9;100.0;-0.183128;20.785008
B1_9;100.0;-0.061043;24.356
B1_9;100.0;0.488341;22.066902
B1_9;100.0;-0.122085;25.454767
B1_9;100.0;0.793554;23.440361
B1_9;100.0;0.579905;22.402637
B1_9;100.0;0.915639;21.944817
B1_9;100.0;-0.152607;25.698937
B1_9;100.0;-0.488341;21.914296
B1_9;100.0;-0.579905;24.661213
B1_9;100.0;0.183128;24.661213
B1_9;100.0;-0.579905;24.478085
B1_9;100.0;0.061043;20.632401
B1_9;100.0;0.305213;21.731168
B1_9;100.0;0.091564;23.318276
B1_9;100.0;0.0;25.332682
B1_9;100.0;0.518862;24.630692
B1_9;100.0;-0.640947;20.968135
B1_9;100.0;-0.396777;24.600171
B1_9;100.0;-0.305213;25.851544
B1_9;100.0;0.24417;23.257233
B1_9;100.0;-0.24417;22.341594
B1_9;100.0;-0.488341;24.172872
B1_9;100.0;-0.396777;26.004151
B1_9;100.0;0.427298;24.844341
B1_9;100.0;0.030521;23.806617
B1_9;100.0;0.091564;21.822732
B1_9;100.0;1.007203;26.400927
B1_9;100.0;0.0;22.494201
B1_9;100.0;-0.885118;21.212306
B1_9;100.0;-0.366256;23.287755
B1_9;100.0;-0.122085;23.043584
B1_9;100.0;1.15981;30.42974
B1_9;100.0;0.518862;22.738371
B1_9;100.0;0.366256;18.099133
B1_9;100.0;0.763033;26.370406
B1_9;100.0;-0.061043;23.501404
B1_9;100.0;0.45782;28.293248
B1_9;100.0;-0.396777;25.790501
B1_9;100.0;0.885118;26.614577
B1_9;100.0;-0.152607;24.935905
B1_9;100.0;0.732511;24.356
B1_9;100.0;-0.122085;20.632401
B1_9;100.0;-0.549383;22.738371
B1_9;100.0;-0.122085;20.815529
B1_9;100.0;-0.396777;22.860456
B1_9;100.0;-0.854596;27.286045
B1_9;100.0;0.549383;23.989744
B1_9;100.0;-0.640947;23.440361
B1_9;100.0;-0.24417;27.469173
B1_9;100.0;0.335734;21.029178
B1_9;100.0;-0.763033;24.417043
B1_9;100.0;0.976682;23.837138
B1_9;100.0;0.213649;22.158466
B1_9;100.0;-0.091564;24.264436
B1_9;100.0;1.129288;22.860456
B1_9;100.0;-0.213649;24.569649
B1_9;100.0;0.122085;24.264436
B1_9;100.0;-0.061043;25.180075
B1_9;100.0;0.396777;23.287755
B1_9;100.0;-0.091564;22.890978
B1_9;100.0;0.091564;24.050787
B1_9;100.0;-0.488341;23.531925
B1_9;100.0;0.24417;20.723965
B1_9;100.0;-0.488341;22.646807
B1_9;100.0;0.396777;23.959223
B1_9;100.0;-0.305213;25.271639
B1_9;100.0;-0.518862;23.867659
B1_9;100.0;0.030521;24.356
B1_9;100.0;-0.45782;23.65401
B1_9;100.0;0.0;23.898181
B1_9;100.0;0.213649;23.928702
B1_9;100.0;-0.183128;24.081308
B1_9;100.0;0.45782;25.821023
B1_9;100.0;0.030521;21.54804
B1_9;100.0;0.976682;26.065193
B1_9;100.0;0.0;27.316567
B1_9;100.0;-0.274692;21.517519
B1_9;100.0;0.213649;25.75998
B1_9;100.0;-0.549383;25.51581
B1_9;100.0;-0.213649;25.576852
B1_9;100.0;-0.640947;19.350506
B1_9;100.0;-0.122085;21.792211
B1_9;100.0;0.488341;24.569649
B1_9;100.0;0.305213;24.661213
B1_9;100.0;0.091564;22.433158
B1_9;100.0;0.549383;23.348797
B1_9;100.0;-0.030521;23.013063
B1_9;100.0;0.213649;29.880356
B1_9;100.0;0.061043;26.980832
B1_9;100.0;0.488341;23.074105
B1_9;100.0;-0.030521;24.478085
B1_9;100.0;-0.488341;25.851544
B1_9;100.0;-0.335734;21.242827
B1_9;100.0;-0.366256;18.556952
B1_9;100.0;-0.854596;26.309364
B1_9;100.0;0.24417;27.438652
B1_9;100.0;0.0;26.309364
B1_9;100.0;0.610426;21.944817
B1_9;100.0;-0.213649;23.318276
B1_9;100.0;-0.427298;25.607374
B1_9;100.0;0.579905;23.348797
B1_9;100.0;-0.396777;24.600171
B1_9;100.0;0.213649;23.592968
B1_9;100.0;0.152607;22.890978
B1_9;100.0;-0.488341;23.745574
B1_9;100.0;-0.091564;23.684531
B1_9;100.0;0.152607;23.989744
B1_9;100.0;-0.24417;26.156757
B1_9;100.0;-1.251373;23.715053
B1_9;100.0;0.030521;17.946526
B1_9;100.0;-0.488341;23.684531
B1_9;100.0;0.305213;26.248321
B1_9;100.0;0.488341;23.959223
B1_9;100.0;0.091564;21.029178
B1_9;100.0;-0.24417;26.828226
B1_9;100.0;-0.335734;23.562446
B1_9;100.0;-0.274692;26.553534
