Sample;Frequency (GHz);LG (mV);HG (mV)
REF_8;100.0;0.335734;25.882065
REF_8;100.0;-0.274692;23.257233
REF_8;100.0;0.45782;24.294958
REF_8;100.0;0.335734;28.598461
REF_8;100.0;-0.030521;25.943108
REF_8;100.0;-0.45782;23.074105
REF_8;100.0;-0.671469;26.187278
REF_8;100.0;0.213649;22.921499
REF_8;100.0;-1.129288;27.316567
REF_8;100.0;-0.305213;21.792211
REF_8;100.0;-0.183128;29.02576
REF_8;100.0;0.976682;28.354291
REF_8;100.0;0.305213;31.742156
REF_8;100.0;0.061043;29.086802
REF_8;100.0;0.091564;24.11183
REF_8;100.0;0.122085;26.431449
REF_8;100.0;-0.030521;25.75998
REF_8;100.0;0.335734;29.636186
REF_8;100.0;0.24417;21.975338
REF_8;100.0;-0.366256;28.140642
REF_8;100.0;0.0;21.212306
REF_8;100.0;0.366256;26.187278
REF_8;100.0;0.94616;28.140642
REF_8;100.0;0.091564;26.431449
REF_8;100.0;-0.335734;26.431449
REF_8;100.0;0.824075;23.592968
REF_8;100.0;-0.030521;24.142351
REF_8;100.0;0.396777;24.783298
REF_8;100.0;1.007203;25.332682
REF_8;100.0;-0.061043;25.05799
REF_8;100.0;-0.183128;26.767183
REF_8;100.0;-0.274692;25.912587
REF_8;100.0;-0.24417;27.011354
REF_8;100.0;-0.213649;26.70614
REF_8;100.0;-0.305213;25.729459
REF_8;100.0;0.396777;24.752777
REF_8;100.0;0.518862;21.364912
REF_8;100.0;-0.610426;24.874862
REF_8;100.0;-0.488341;24.600171
REF_8;100.0;1.098767;23.348797
REF_8;100.0;-0.549383;28.232206
REF_8;100.0;0.24417;26.034672
REF_8;100.0;0.061043;24.233915
REF_8;100.0;0.671469;26.584055
REF_8;100.0;-0.610426;28.781589
REF_8;100.0;0.061043;22.799414
REF_8;100.0;0.396777;20.785008
REF_8;100.0;-0.335734;27.286045
REF_8;100.0;0.091564;22.982541
REF_8;100.0;-0.24417;33.207178
REF_8;100.0;-0.427298;26.278842
REF_8;100.0;-0.549383;22.890978
REF_8;100.0;0.030521;27.255524
REF_8;100.0;-0.030521;30.704431
REF_8;100.0;-0.274692;23.257233
REF_8;100.0;-0.122085;27.102917
REF_8;100.0;0.030521;25.363203
REF_8;100.0;0.793554;21.151263
REF_8;100.0;0.183128;23.287755
REF_8;100.0;0.366256;27.62178
REF_8;100.0;0.549383;26.980832
REF_8;100.0;-0.030521;23.684531
REF_8;100.0;-0.396777;20.14406
REF_8;100.0;-0.488341;27.40813
REF_8;100.0;0.183128;27.347088
REF_8;100.0;-0.45782;23.623489
REF_8;100.0;0.122085;29.422536
REF_8;100.0;-0.45782;26.339885
REF_8;100.0;0.45782;28.537419
REF_8;100.0;0.122085;28.445855
REF_8;100.0;0.24417;25.851544
REF_8;100.0;-0.427298;25.729459
REF_8;100.0;0.030521;24.600171
REF_8;100.0;-0.091564;25.332682
REF_8;100.0;-0.549383;25.607374
REF_8;100.0;0.549383;25.302161
REF_8;100.0;-0.335734;24.661213
REF_8;100.0;-0.274692;23.562446
REF_8;100.0;0.549383;24.417043
REF_8;100.0;0.518862;26.278842
REF_8;100.0;0.152607;29.117323
REF_8;100.0;0.061043;24.386521
REF_8;100.0;0.24417;24.142351
REF_8;100.0;0.030521;22.219509
REF_8;100.0;0.183128;27.041875
REF_8;100.0;-1.037724;24.020266
REF_8;100.0;0.122085;28.11012
REF_8;100.0;0.335734;26.492491
REF_8;100.0;0.0;24.844341
REF_8;100.0;-0.030521;22.616286
REF_8;100.0;0.335734;26.431449
REF_8;100.0;0.061043;29.97192
REF_8;100.0;0.427298;24.020266
REF_8;100.0;-0.488341;21.822732
REF_8;100.0;-0.152607;22.463679
REF_8;100.0;-0.030521;24.172872
REF_8;100.0;0.335734;25.393724
REF_8;100.0;-1.220852;27.469173
REF_8;100.0;-0.183128;26.278842
REF_8;100.0;-0.488341;28.598461
REF_8;100.0;0.305213;28.445855
REF_8;100.0;0.24417;29.605664
REF_8;100.0;-0.824075;23.806617
REF_8;100.0;-0.518862;26.004151
REF_8;100.0;0.305213;25.973629
REF_8;100.0;-0.305213;26.736662
REF_8;100.0;-0.091564;25.668416
REF_8;100.0;-0.396777;28.018557
REF_8;100.0;-0.793554;25.546331
REF_8;100.0;-0.579905;21.944817
REF_8;100.0;0.24417;28.751068
REF_8;100.0;0.396777;26.065193
REF_8;100.0;0.305213;25.210597
REF_8;100.0;0.335734;28.018557
REF_8;100.0;-0.183128;27.072396
REF_8;100.0;-0.030521;27.682822
REF_8;100.0;-0.854596;24.935905
REF_8;100.0;0.549383;25.363203
REF_8;100.0;-0.854596;26.767183
REF_8;100.0;-0.152607;22.402637
REF_8;100.0;0.396777;25.882065
REF_8;100.0;1.068246;27.072396
REF_8;100.0;0.94616;23.562446
REF_8;100.0;0.183128;25.943108
REF_8;100.0;0.640947;25.424246
REF_8;100.0;0.213649;19.838847
REF_8;100.0;0.122085;28.049078
REF_8;100.0;-0.274692;24.600171
REF_8;100.0;0.793554;25.668416
REF_8;100.0;-0.274692;25.088511
REF_8;100.0;0.183128;24.874862
REF_8;100.0;-0.061043;23.867659
REF_8;100.0;0.335734;28.720547
REF_8;100.0;0.610426;29.605664
REF_8;100.0;0.0;23.165669
REF_8;100.0;0.183128;24.874862
REF_8;100.0;-0.45782;24.356
REF_8;100.0;-0.183128;24.600171
REF_8;100.0;0.213649;23.837138
REF_8;100.0;0.122085;27.804907
REF_8;100.0;-0.579905;26.553534
REF_8;100.0;-1.281895;25.149554
REF_8;100.0;-0.091564;25.454767
REF_8;100.0;0.213649;25.790501
REF_8;100.0;0.396777;22.921499
REF_8;100.0;-0.152607;27.347088
REF_8;100.0;0.793554;26.126236
REF_8;100.0;0.24417;25.424246
REF_8;100.0;-0.122085;25.271639
REF_8;100.0;0.122085;27.896471
REF_8;100.0;0.366256;27.316567
REF_8;100.0;0.671469;24.874862
REF_8;100.0;0.122085;22.677328
REF_8;100.0;0.824075;31.772677
REF_8;100.0;-0.45782;27.102917
REF_8;100.0;0.518862;24.600171
REF_8;100.0;-0.45782;26.2178
REF_8;100.0;1.15981;25.210597
REF_8;100.0;0.122085;27.560737
REF_8;100.0;0.335734;26.675619
REF_8;100.0;1.098767;25.607374
REF_8;100.0;-0.579905;29.392015
REF_8;100.0;-0.061043;26.126236
REF_8;100.0;0.335734;23.65401
REF_8;100.0;-0.640947;26.156757
REF_8;100.0;-0.183128;24.447564
REF_8;100.0;-1.098767;22.494201
REF_8;100.0;0.152607;23.074105
REF_8;100.0;-0.152607;28.354291
REF_8;100.0;-0.122085;25.637895
REF_8;100.0;-0.366256;21.212306
REF_8;100.0;0.183128;26.980832
REF_8;100.0;-0.274692;23.776095
REF_8;100.0;0.610426;24.356
REF_8;100.0;-0.396777;26.248321
REF_8;100.0;0.030521;25.271639
REF_8;100.0;0.0;30.643389
REF_8;100.0;0.640947;23.226712
REF_8;100.0;-0.610426;25.790501
REF_8;100.0;-0.274692;26.431449
REF_8;100.0;0.0;27.682822
REF_8;100.0;-0.061043;24.81382
REF_8;100.0;0.274692;24.386521
REF_8;100.0;-0.579905;24.752777
REF_8;100.0;0.335734;27.988035
REF_8;100.0;0.213649;23.898181
REF_8;100.0;-0.763033;26.645098
REF_8;100.0;0.732511;19.625198
REF_8;100.0;0.45782;32.383103
REF_8;100.0;-0.24417;28.56794
REF_8;100.0;0.122085;26.400927
REF_8;100.0;-1.068246;24.81382
REF_8;100.0;0.152607;23.318276
REF_8;100.0;0.488341;22.921499
REF_8;100.0;0.488341;21.792211
REF_8;100.0;0.061043;28.56794
REF_8;100.0;-0.518862;26.400927
REF_8;100.0;-0.122085;24.569649
REF_8;100.0;-0.274692;27.347088
REF_8;100.0;0.305213;30.002441
REF_8;100.0;0.152607;24.81382
REF_8;100.0;-0.45782;23.318276
REF_8;100.0;0.45782;29.300451
REF_8;100.0;-0.854596;32.718837
REF_8;100.0;0.0;26.523013
REF_8;100.0;-0.549383;26.309364
REF_8;100.0;-1.037724;25.180075
REF_8;100.0;0.0;28.537419
REF_8;100.0;-0.152607;28.171163
REF_8;100.0;0.091564;26.553534
REF_8;100.0;0.70199;26.095714
REF_8;100.0;0.488341;22.677328
REF_8;100.0;0.030521;28.018557
REF_8;100.0;0.061043;23.745574
REF_8;100.0;-0.274692;24.294958
REF_8;100.0;-0.061043;27.316567
REF_8;100.0;-0.152607;27.347088
REF_8;100.0;0.24417;28.201684
REF_8;100.0;1.312416;27.713344
REF_8;100.0;-1.037724;26.492491
REF_8;100.0;-0.915639;24.752777
REF_8;100.0;0.122085;28.781589
REF_8;100.0;0.427298;23.074105
REF_8;100.0;0.274692;27.011354
REF_8;100.0;-0.427298;24.294958
REF_8;100.0;0.640947;25.119033
REF_8;100.0;1.037724;25.119033
REF_8;100.0;0.488341;22.982541
REF_8;100.0;-0.366256;30.155048
REF_8;100.0;0.915639;25.912587
REF_8;100.0;0.70199;29.300451
REF_8;100.0;0.061043;26.553534
REF_8;100.0;-0.030521;24.966426
REF_8;100.0;-0.274692;30.307654
REF_8;100.0;-0.24417;23.867659
REF_8;100.0;0.427298;20.785008
REF_8;100.0;0.396777;29.02576
REF_8;100.0;-0.640947;29.483579
REF_8;100.0;0.030521;24.996947
REF_8;100.0;-0.366256;23.348797
REF_8;100.0;0.122085;30.734953
REF_8;100.0;-0.610426;25.943108
REF_8;100.0;-0.396777;23.40984
REF_8;100.0;0.640947;24.569649
REF_8;100.0;0.24417;25.973629
REF_8;100.0;-0.885118;24.447564
REF_8;100.0;0.152607;25.027469
REF_8;100.0;-0.305213;24.966426
REF_8;100.0;0.610426;27.926993
REF_8;100.0;-0.122085;24.233915
REF_8;100.0;0.427298;28.354291
REF_8;100.0;-0.518862;19.777805
REF_8;100.0;-0.030521;26.2178
REF_8;100.0;0.152607;26.400927
REF_8;100.0;0.732511;28.81211
REF_8;100.0;-0.488341;25.851544
REF_8;100.0;0.396777;25.698937
REF_8;100.0;-1.007203;26.370406
REF_8;100.0;-0.70199;26.492491
REF_8;100.0;-0.030521;26.095714
REF_8;100.0;-0.854596;26.675619
REF_8;100.0;-0.122085;28.384812
REF_8;100.0;0.0;23.043584
REF_8;100.0;0.579905;24.81382
REF_8;100.0;-0.335734;27.377609
REF_8;100.0;0.732511;24.050787
REF_8;100.0;0.061043;27.560737
REF_8;100.0;0.152607;26.126236
REF_8;100.0;0.335734;22.219509
REF_8;100.0;-0.610426;28.598461
REF_8;100.0;0.030521;26.095714
REF_8;100.0;0.122085;24.020266
REF_8;100.0;0.0;22.799414
REF_8;100.0;0.183128;25.485288
REF_8;100.0;-0.396777;27.804907
REF_8;100.0;0.335734;29.208887
REF_8;100.0;-0.213649;26.614577
REF_8;100.0;0.24417;25.51581
REF_8;100.0;0.671469;24.386521
REF_8;100.0;0.152607;24.905384
REF_8;100.0;0.45782;23.501404
REF_8;100.0;0.854596;26.370406
REF_8;100.0;-0.45782;21.853253
REF_8;100.0;1.220852;21.914296
REF_8;100.0;0.0;25.088511
REF_8;100.0;-0.030521;22.768892
REF_8;100.0;-0.396777;25.668416
REF_8;100.0;-0.030521;25.851544
REF_8;100.0;0.396777;24.661213
REF_8;100.0;0.427298;26.889268
REF_8;100.0;0.152607;26.980832
REF_8;100.0;0.824075;25.668416
REF_8;100.0;0.305213;24.294958
REF_8;100.0;0.488341;28.171163
REF_8;100.0;0.091564;29.483579
REF_8;100.0;-0.061043;20.14406
REF_8;100.0;1.068246;29.147845
REF_8;100.0;-0.030521;29.330973
REF_8;100.0;-0.610426;24.996947
REF_8;100.0;-0.213649;28.506897
REF_8;100.0;1.64815;24.630692
REF_8;100.0;-0.518862;22.341594
REF_8;100.0;-0.640947;25.424246
REF_8;100.0;0.45782;26.736662
REF_8;100.0;-0.366256;26.400927
REF_8;100.0;0.885118;24.783298
REF_8;100.0;-0.213649;27.774386
REF_8;100.0;0.915639;27.804907
REF_8;100.0;0.24417;25.088511
REF_8;100.0;-0.091564;24.661213
REF_8;100.0;0.793554;20.662922
REF_8;100.0;0.396777;22.585765
REF_8;100.0;0.518862;24.417043
REF_8;100.0;-0.122085;29.178366
REF_8;100.0;0.976682;27.774386
REF_8;100.0;0.640947;23.043584
REF_8;100.0;0.549383;25.912587
REF_8;100.0;-0.183128;28.232206
REF_8;100.0;-0.427298;30.063484
REF_8;100.0;0.45782;25.607374
REF_8;100.0;0.274692;20.296667
REF_8;100.0;-0.213649;23.379318
REF_8;100.0;-0.274692;22.616286
REF_8;100.0;0.122085;27.072396
REF_8;100.0;-0.061043;23.318276
REF_8;100.0;0.274692;22.95202
REF_8;100.0;-0.091564;31.589549
REF_8;100.0;0.061043;23.40984
REF_8;100.0;-0.061043;18.892687
REF_8;100.0;-0.640947;29.72775
REF_8;100.0;-0.366256;28.445855
REF_8;100.0;0.183128;30.91808
REF_8;100.0;0.366256;28.659504
REF_8;100.0;0.274692;25.729459
REF_8;100.0;0.579905;25.668416
REF_8;100.0;-0.579905;27.530216
REF_8;100.0;0.396777;20.174582
REF_8;100.0;0.183128;26.767183
REF_8;100.0;-0.915639;20.693444
REF_8;100.0;0.152607;26.187278
REF_8;100.0;-0.396777;23.501404
REF_8;100.0;-0.061043;23.348797
REF_8;100.0;0.793554;27.316567
REF_8;100.0;0.488341;26.858747
REF_8;100.0;0.45782;31.040166
REF_8;100.0;-0.061043;23.287755
REF_8;100.0;0.030521;26.889268
REF_8;100.0;0.518862;25.393724
REF_8;100.0;0.640947;24.569649
REF_8;100.0;-0.274692;23.806617
REF_8;100.0;0.671469;22.402637
REF_8;100.0;0.213649;25.943108
REF_8;100.0;0.488341;27.499694
REF_8;100.0;-0.45782;30.826516
REF_8;100.0;-0.183128;30.063484
