Sample;Frequency (GHz);LG (mV);HG (mV)
REF_14;100.0;1.098767;39.128311
REF_14;100.0;0.274692;35.557318
REF_14;100.0;0.152607;36.564521
REF_14;100.0;0.152607;32.810401
REF_14;100.0;-0.488341;34.275424
REF_14;100.0;-0.061043;42.39409
REF_14;100.0;0.213649;34.702722
REF_14;100.0;0.274692;33.176657
REF_14;100.0;0.030521;42.333048
REF_14;100.0;0.45782;37.083384
REF_14;100.0;0.0;40.013429
REF_14;100.0;1.190331;37.23599
REF_14;100.0;0.213649;36.198266
REF_14;100.0;-0.518862;34.641679
REF_14;100.0;0.305213;38.670491
REF_14;100.0;0.488341;37.113905
REF_14;100.0;-0.885118;35.58784
REF_14;100.0;1.007203;41.295324
REF_14;100.0;-0.305213;36.778171
REF_14;100.0;0.274692;36.717128
REF_14;100.0;-0.518862;40.868025
REF_14;100.0;-0.061043;35.770968
REF_14;100.0;1.342937;37.174948
REF_14;100.0;-0.122085;41.814186
REF_14;100.0;-0.274692;32.535709
REF_14;100.0;-0.94616;33.02405
REF_14;100.0;-0.396777;44.194847
REF_14;100.0;-0.183128;37.480161
REF_14;100.0;-0.335734;37.052862
REF_14;100.0;-0.030521;34.366988
REF_14;100.0;0.824075;33.939689
REF_14;100.0;-0.274692;38.304236
REF_14;100.0;0.610426;45.781955
REF_14;100.0;-0.030521;36.595043
REF_14;100.0;0.45782;37.205469
REF_14;100.0;-0.824075;39.921865
REF_14;100.0;-0.061043;43.614943
REF_14;100.0;-0.824075;40.99011
REF_14;100.0;-0.70199;38.060065
REF_14;100.0;0.488341;33.390306
REF_14;100.0;-0.579905;35.648882
REF_14;100.0;0.396777;35.313148
REF_14;100.0;-0.152607;38.456842
REF_14;100.0;-0.305213;35.221584
REF_14;100.0;0.183128;36.28983
REF_14;100.0;-1.098767;37.69381
REF_14;100.0;-1.037724;33.207178
REF_14;100.0;-0.030521;37.205469
REF_14;100.0;0.45782;40.50177
REF_14;100.0;0.396777;35.923574
REF_14;100.0;-0.061043;38.487364
REF_14;100.0;0.0;36.656085
REF_14;100.0;0.030521;34.733243
REF_14;100.0;0.335734;34.061775
REF_14;100.0;-0.610426;39.219875
REF_14;100.0;-0.518862;32.77988
REF_14;100.0;-0.518862;37.022341
REF_14;100.0;-0.122085;45.415699
REF_14;100.0;0.061043;36.350872
REF_14;100.0;0.274692;36.28983
REF_14;100.0;0.274692;40.440727
REF_14;100.0;-0.122085;35.374191
REF_14;100.0;0.488341;41.631058
REF_14;100.0;-0.305213;43.767549
REF_14;100.0;-0.091564;31.345379
REF_14;100.0;0.030521;36.839213
REF_14;100.0;0.488341;39.433524
REF_14;100.0;-0.915639;38.945183
REF_14;100.0;-0.030521;38.762055
REF_14;100.0;-0.824075;40.715419
REF_14;100.0;-0.640947;35.526797
REF_14;100.0;0.610426;39.250396
REF_14;100.0;-0.152607;36.442436
REF_14;100.0;0.549383;37.846416
REF_14;100.0;1.251373;39.677694
REF_14;100.0;-0.213649;35.709925
REF_14;100.0;0.030521;37.022341
REF_14;100.0;0.45782;36.167745
REF_14;100.0;0.335734;34.458552
REF_14;100.0;0.45782;41.234281
REF_14;100.0;-0.030521;33.939689
REF_14;100.0;0.427298;39.403003
REF_14;100.0;-0.183128;37.846416
REF_14;100.0;0.488341;40.288121
REF_14;100.0;-0.579905;39.311439
REF_14;100.0;-1.098767;40.623855
REF_14;100.0;-0.366256;41.264802
REF_14;100.0;-0.671469;34.061775
REF_14;100.0;-0.366256;38.792577
REF_14;100.0;1.220852;40.99011
REF_14;100.0;0.610426;36.411915
REF_14;100.0;-0.061043;40.471248
REF_14;100.0;-0.427298;40.837504
REF_14;100.0;-0.732511;35.58784
REF_14;100.0;0.24417;35.770968
REF_14;100.0;0.549383;31.772677
REF_14;100.0;1.007203;38.853619
REF_14;100.0;-0.976682;37.174948
REF_14;100.0;0.091564;38.212672
REF_14;100.0;-0.610426;29.453058
REF_14;100.0;0.579905;38.914662
REF_14;100.0;0.24417;37.907459
REF_14;100.0;-0.579905;41.20376
REF_14;100.0;-0.122085;41.142717
REF_14;100.0;-0.70199;33.939689
REF_14;100.0;0.061043;40.288121
