Sample;Frequency (GHz);LG (mV);HG (mV)
B1_17;100.0;-0.640947;25.027469
B1_17;100.0;0.24417;23.684531
B1_17;100.0;-0.122085;25.027469
B1_17;100.0;1.15981;21.639604
B1_17;100.0;0.213649;26.248321
B1_17;100.0;0.030521;22.219509
B1_17;100.0;-0.640947;27.286045
B1_17;100.0;-0.122085;27.896471
B1_17;100.0;-0.854596;22.280551
B1_17;100.0;0.183128;24.294958
B1_17;100.0;0.45782;27.499694
B1_17;100.0;0.45782;28.781589
B1_17;100.0;0.366256;28.781589
B1_17;100.0;0.640947;27.530216
B1_17;100.0;-0.24417;29.849835
B1_17;100.0;0.70199;33.634476
B1_17;100.0;0.305213;23.898181
B1_17;100.0;0.45782;30.307654
B1_17;100.0;-0.610426;22.738371
B1_17;100.0;-0.610426;29.147845
B1_17;100.0;-0.45782;23.043584
B1_17;100.0;0.122085;27.377609
B1_17;100.0;-0.122085;29.208887
B1_17;100.0;0.122085;29.26993
B1_17;100.0;-0.030521;23.287755
B1_17;100.0;0.213649;30.185569
B1_17;100.0;-0.518862;31.436943
B1_17;100.0;-0.061043;25.576852
B1_17;100.0;0.213649;26.187278
B1_17;100.0;-0.091564;22.524722
B1_17;100.0;0.0;30.765474
B1_17;100.0;-0.427298;25.119033
B1_17;100.0;-0.366256;26.675619
B1_17;100.0;-0.152607;30.887559
B1_17;100.0;0.518862;24.233915
B1_17;100.0;0.183128;27.102917
B1_17;100.0;-0.366256;28.079599
B1_17;100.0;0.0;26.889268
B1_17;100.0;0.335734;20.327188
B1_17;100.0;-0.091564;25.637895
B1_17;100.0;-0.152607;27.804907
B1_17;100.0;-0.518862;25.882065
B1_17;100.0;0.70199;22.127945
B1_17;100.0;-0.610426;23.470882
B1_17;100.0;-0.030521;27.194481
B1_17;100.0;-0.579905;27.86595
B1_17;100.0;0.305213;27.011354
B1_17;100.0;0.366256;29.02576
B1_17;100.0;0.549383;19.533634
B1_17;100.0;0.213649;28.140642
B1_17;100.0;0.152607;26.523013
B1_17;100.0;-0.183128;27.255524
B1_17;100.0;0.152607;28.628983
B1_17;100.0;-0.061043;24.264436
B1_17;100.0;-0.579905;24.447564
B1_17;100.0;-1.098767;25.027469
B1_17;100.0;0.70199;20.998657
B1_17;100.0;0.366256;25.668416
B1_17;100.0;-0.122085;29.666707
B1_17;100.0;0.122085;21.914296
B1_17;100.0;-0.45782;30.246612
B1_17;100.0;-0.70199;26.2178
B1_17;100.0;0.183128;24.905384
B1_17;100.0;-0.579905;22.127945
B1_17;100.0;0.366256;26.950311
B1_17;100.0;-0.152607;29.819313
B1_17;100.0;-0.335734;28.506897
B1_17;100.0;0.030521;22.799414
B1_17;100.0;0.335734;23.074105
B1_17;100.0;-0.091564;26.065193
B1_17;100.0;0.305213;24.539128
B1_17;100.0;-0.366256;23.287755
B1_17;100.0;-0.24417;27.804907
B1_17;100.0;-0.274692;23.623489
B1_17;100.0;0.0;28.201684
B1_17;100.0;-0.24417;24.264436
B1_17;100.0;0.183128;28.628983
B1_17;100.0;-0.610426;29.239409
B1_17;100.0;-0.640947;24.264436
B1_17;100.0;-0.579905;19.503113
B1_17;100.0;-0.518862;28.81211
B1_17;100.0;0.183128;19.869369
B1_17;100.0;-1.098767;27.377609
B1_17;100.0;-0.091564;22.463679
B1_17;100.0;0.274692;23.348797
B1_17;100.0;0.0;26.523013
B1_17;100.0;0.274692;25.576852
B1_17;100.0;0.396777;20.296667
B1_17;100.0;0.976682;32.627273
B1_17;100.0;-0.640947;20.968135
B1_17;100.0;-0.091564;26.828226
B1_17;100.0;-0.45782;27.62178
B1_17;100.0;0.671469;25.637895
B1_17;100.0;-0.671469;30.67391
B1_17;100.0;-0.45782;25.05799
B1_17;100.0;-0.030521;23.470882
B1_17;100.0;0.0;25.119033
B1_17;100.0;0.030521;27.377609
B1_17;100.0;0.183128;25.790501
B1_17;100.0;-0.091564;29.910877
B1_17;100.0;-0.152607;26.584055
B1_17;100.0;-0.091564;26.889268
B1_17;100.0;0.824075;21.670125
B1_17;100.0;0.732511;30.857038
B1_17;100.0;-0.579905;27.530216
B1_17;100.0;0.427298;26.339885
B1_17;100.0;0.24417;26.767183
B1_17;100.0;-0.610426;28.171163
B1_17;100.0;0.122085;26.70614
B1_17;100.0;-0.671469;25.668416
B1_17;100.0;-0.854596;23.379318
B1_17;100.0;0.488341;29.147845
B1_17;100.0;0.518862;27.926993
B1_17;100.0;0.0;22.982541
B1_17;100.0;0.885118;27.194481
B1_17;100.0;-0.122085;29.300451
B1_17;100.0;-0.885118;23.104627
B1_17;100.0;-0.274692;25.393724
B1_17;100.0;-0.122085;22.036381
B1_17;100.0;-0.427298;30.948602
B1_17;100.0;0.45782;26.034672
B1_17;100.0;0.183128;26.370406
B1_17;100.0;0.183128;22.768892
B1_17;100.0;0.335734;23.348797
B1_17;100.0;0.0;26.950311
B1_17;100.0;-0.427298;29.453058
B1_17;100.0;0.274692;24.996947
B1_17;100.0;0.640947;20.815529
B1_17;100.0;0.183128;26.431449
B1_17;100.0;-0.213649;25.637895
B1_17;100.0;0.274692;24.905384
B1_17;100.0;0.274692;23.501404
B1_17;100.0;0.213649;23.928702
B1_17;100.0;-0.671469;24.600171
B1_17;100.0;-0.213649;23.013063
B1_17;100.0;0.24417;27.011354
B1_17;100.0;0.0;23.562446
B1_17;100.0;0.183128;23.898181
B1_17;100.0;0.305213;25.882065
B1_17;100.0;0.061043;22.95202
B1_17;100.0;-0.335734;26.248321
B1_17;100.0;0.122085;19.808326
B1_17;100.0;-0.366256;26.767183
B1_17;100.0;-0.396777;28.720547
B1_17;100.0;-0.366256;26.400927
B1_17;100.0;-0.213649;27.286045
B1_17;100.0;-0.213649;24.600171
B1_17;100.0;0.854596;25.149554
B1_17;100.0;-0.305213;23.379318
B1_17;100.0;-0.030521;20.083018
B1_17;100.0;-0.671469;29.605664
B1_17;100.0;-0.122085;27.316567
B1_17;100.0;-0.122085;29.666707
B1_17;100.0;0.793554;25.698937
B1_17;100.0;0.24417;28.690025
B1_17;100.0;-0.061043;23.104627
B1_17;100.0;0.793554;27.102917
B1_17;100.0;0.0;22.585765
B1_17;100.0;-0.183128;27.896471
B1_17;100.0;-0.274692;22.616286
B1_17;100.0;0.885118;32.840922
B1_17;100.0;0.091564;21.609083
B1_17;100.0;-0.854596;26.767183
B1_17;100.0;0.305213;24.142351
B1_17;100.0;-0.213649;30.91808
B1_17;100.0;-0.213649;24.417043
B1_17;100.0;0.183128;23.348797
B1_17;100.0;-0.061043;22.524722
B1_17;100.0;1.037724;25.698937
B1_17;100.0;0.518862;24.050787
B1_17;100.0;-0.732511;21.395434
B1_17;100.0;0.122085;24.447564
B1_17;100.0;0.335734;26.065193
B1_17;100.0;-1.220852;25.088511
B1_17;100.0;0.24417;26.889268
B1_17;100.0;-0.061043;27.743865
B1_17;100.0;0.671469;26.584055
B1_17;100.0;-0.549383;21.914296
B1_17;100.0;0.091564;25.698937
B1_17;100.0;0.366256;21.273348
B1_17;100.0;-0.366256;21.761689
B1_17;100.0;1.007203;30.277133
B1_17;100.0;0.0;25.180075
B1_17;100.0;-0.45782;23.470882
B1_17;100.0;0.610426;23.684531
B1_17;100.0;-1.129288;24.203394
B1_17;100.0;-0.488341;25.210597
B1_17;100.0;-1.037724;22.768892
B1_17;100.0;-0.793554;27.896471
B1_17;100.0;0.030521;21.120742
B1_17;100.0;0.824075;26.675619
B1_17;100.0;-1.281895;23.776095
B1_17;100.0;0.030521;26.2178
B1_17;100.0;0.122085;24.722256
B1_17;100.0;0.061043;27.835429
B1_17;100.0;-0.183128;22.890978
B1_17;100.0;-0.030521;24.996947
B1_17;100.0;0.152607;25.210597
B1_17;100.0;0.152607;26.614577
B1_17;100.0;-0.732511;21.853253
B1_17;100.0;-0.70199;22.738371
B1_17;100.0;0.0;23.562446
B1_17;100.0;0.427298;24.569649
B1_17;100.0;0.427298;25.241118
B1_17;100.0;-0.274692;25.668416
B1_17;100.0;0.305213;24.233915
B1_17;100.0;1.007203;28.049078
B1_17;100.0;-0.610426;29.453058
B1_17;100.0;-0.030521;23.165669
B1_17;100.0;1.007203;27.072396
B1_17;100.0;-0.732511;23.135148
B1_17;100.0;0.335734;29.910877
B1_17;100.0;0.488341;26.126236
B1_17;100.0;-0.335734;25.75998
B1_17;100.0;-0.122085;19.503113
B1_17;100.0;0.488341;27.041875
B1_17;100.0;0.091564;29.880356
B1_17;100.0;-1.251373;26.614577
B1_17;100.0;-0.579905;31.833719
B1_17;100.0;-0.213649;28.506897
B1_17;100.0;-0.518862;26.126236
B1_17;100.0;0.274692;24.783298
B1_17;100.0;-0.366256;24.478085
B1_17;100.0;-0.24417;25.882065
B1_17;100.0;0.305213;23.989744
B1_17;100.0;0.183128;24.417043
B1_17;100.0;-0.183128;23.043584
B1_17;100.0;0.213649;27.499694
B1_17;100.0;0.732511;20.907093
B1_17;100.0;-0.122085;31.070687
B1_17;100.0;0.640947;25.027469
B1_17;100.0;0.183128;23.470882
B1_17;100.0;0.305213;25.821023
B1_17;100.0;-0.183128;27.743865
B1_17;100.0;0.152607;32.505188
B1_17;100.0;-0.183128;22.188988
B1_17;100.0;0.183128;29.5141
B1_17;100.0;-0.396777;23.806617
B1_17;100.0;-0.518862;21.792211
B1_17;100.0;-0.610426;24.172872
B1_17;100.0;0.0;29.788792
B1_17;100.0;-0.427298;25.05799
B1_17;100.0;0.061043;31.345379
B1_17;100.0;0.45782;28.445855
B1_17;100.0;-0.518862;26.126236
B1_17;100.0;0.030521;23.379318
B1_17;100.0;0.45782;30.42974
B1_17;100.0;-0.274692;28.537419
B1_17;100.0;-1.007203;29.117323
B1_17;100.0;-0.763033;26.584055
B1_17;100.0;-0.763033;23.470882
B1_17;100.0;0.24417;27.072396
B1_17;100.0;0.885118;25.485288
B1_17;100.0;-0.793554;27.530216
B1_17;100.0;-0.610426;25.454767
B1_17;100.0;0.030521;26.614577
B1_17;100.0;-0.335734;24.11183
B1_17;100.0;0.518862;30.643389
B1_17;100.0;-0.061043;22.463679
B1_17;100.0;-0.24417;32.016847
B1_17;100.0;-0.061043;28.995238
B1_17;100.0;0.122085;24.081308
B1_17;100.0;-0.061043;25.790501
B1_17;100.0;0.793554;28.140642
B1_17;100.0;0.366256;21.425955
B1_17;100.0;0.94616;24.233915
B1_17;100.0;-0.24417;28.690025
B1_17;100.0;-0.640947;22.890978
B1_17;100.0;0.030521;25.607374
B1_17;100.0;0.213649;33.817604
B1_17;100.0;0.366256;25.51581
B1_17;100.0;-0.335734;28.842632
B1_17;100.0;0.518862;24.233915
B1_17;100.0;-0.488341;24.325479
B1_17;100.0;0.091564;24.935905
B1_17;100.0;-0.427298;20.418752
B1_17;100.0;-0.305213;21.517519
B1_17;100.0;0.183128;26.858747
B1_17;100.0;0.213649;24.966426
B1_17;100.0;-0.732511;29.819313
B1_17;100.0;-0.427298;28.56794
B1_17;100.0;-1.007203;26.065193
B1_17;100.0;-0.122085;27.743865
B1_17;100.0;0.335734;20.907093
B1_17;100.0;-0.152607;23.470882
B1_17;100.0;0.122085;26.950311
B1_17;100.0;0.366256;22.280551
