Sample;Frequency (GHz);LG (mV);HG (mV)
C1_22;100.0;0.763033;17.824441
C1_22;100.0;0.366256;11.903308
C1_22;100.0;0.061043;12.483213
C1_22;100.0;0.061043;14.192406
C1_22;100.0;0.122085;16.023684
C1_22;100.0;-0.030521;14.0398
C1_22;100.0;0.549383;11.506531
C1_22;100.0;-0.518862;13.429374
C1_22;100.0;0.305213;15.382737
C1_22;100.0;0.366256;12.147479
C1_22;100.0;0.488341;8.515444
C1_22;100.0;-0.518862;15.962642
C1_22;100.0;-0.885118;12.055915
C1_22;100.0;0.579905;14.070321
C1_22;100.0;0.24417;12.483213
C1_22;100.0;0.030521;8.973263
C1_22;100.0;-0.549383;14.863875
C1_22;100.0;0.45782;16.817238
C1_22;100.0;-0.305213;6.684165
C1_22;100.0;-0.763033;14.924917
C1_22;100.0;-0.183128;12.574777
C1_22;100.0;0.152607;14.0398
C1_22;100.0;-0.366256;14.98596
C1_22;100.0;0.152607;14.619704
C1_22;100.0;-0.152607;12.330607
C1_22;100.0;0.488341;9.705774
C1_22;100.0;-0.976682;9.980466
C1_22;100.0;0.061043;10.651935
C1_22;100.0;-0.030521;13.032597
C1_22;100.0;-0.183128;7.325113
C1_22;100.0;-0.366256;14.009278
C1_22;100.0;0.274692;15.993163
C1_22;100.0;0.061043;11.445489
C1_22;100.0;-0.305213;11.903308
C1_22;100.0;-1.129288;17.397143
C1_22;100.0;0.579905;12.63582
C1_22;100.0;0.579905;15.68795
C1_22;100.0;-0.396777;9.492125
C1_22;100.0;-0.45782;9.156391
C1_22;100.0;0.122085;18.465389
C1_22;100.0;-0.366256;10.865584
C1_22;100.0;0.427298;12.208521
C1_22;100.0;0.030521;13.032597
C1_22;100.0;0.45782;15.260652
C1_22;100.0;0.427298;11.689659
C1_22;100.0;-0.549383;12.574777
C1_22;100.0;0.915639;16.542546
C1_22;100.0;-0.091564;8.454401
C1_22;100.0;-0.183128;15.596386
C1_22;100.0;0.549383;15.535343
