Sample;Frequency (GHz);LG (mV);HG (mV)
E3_21;100.0;-1.037724;25.302161
E3_21;100.0;-0.640947;16.725674
E3_21;100.0;-0.579905;13.612501
E3_21;100.0;0.335734;17.152973
E3_21;100.0;0.366256;24.539128
E3_21;100.0;-0.152607;20.662922
E3_21;100.0;0.274692;23.501404
E3_21;100.0;0.213649;16.450983
E3_21;100.0;0.061043;21.517519
E3_21;100.0;-0.274692;11.964351
E3_21;100.0;0.427298;19.930411
E3_21;100.0;-0.885118;18.282261
E3_21;100.0;-0.854596;19.258942
E3_21;100.0;0.396777;16.176291
E3_21;100.0;-0.061043;20.14406
E3_21;100.0;-0.122085;25.668416
E3_21;100.0;0.061043;15.779514
E3_21;100.0;0.274692;23.135148
E3_21;100.0;0.518862;20.907093
E3_21;100.0;-0.274692;19.1979
E3_21;100.0;-0.030521;22.402637
E3_21;100.0;0.671469;17.214015
E3_21;100.0;-0.274692;15.93212
E3_21;100.0;0.305213;21.731168
E3_21;100.0;-0.24417;13.063118
E3_21;100.0;-0.915639;20.113539
E3_21;100.0;0.061043;18.251739
E3_21;100.0;-0.091564;18.556952
E3_21;100.0;-0.24417;22.127945
E3_21;100.0;0.396777;17.885484
E3_21;100.0;-0.030521;17.702356
E3_21;100.0;-0.305213;21.670125
E3_21;100.0;0.396777;15.474301
E3_21;100.0;-0.671469;20.388231
E3_21;100.0;-0.030521;15.993163
E3_21;100.0;-1.281895;25.149554
E3_21;100.0;-0.152607;19.89989
E3_21;100.0;-0.366256;16.878281
E3_21;100.0;0.122085;18.129654
E3_21;100.0;-0.122085;24.966426
E3_21;100.0;-0.396777;17.030887
E3_21;100.0;-0.763033;21.517519
E3_21;100.0;0.763033;20.174582
E3_21;100.0;-0.427298;21.334391
E3_21;100.0;0.427298;18.404346
E3_21;100.0;0.366256;21.944817
E3_21;100.0;0.488341;17.458186
E3_21;100.0;0.366256;15.108045
E3_21;100.0;0.0;17.732877
E3_21;100.0;-0.305213;23.074105
E3_21;100.0;-0.152607;18.129654
E3_21;100.0;-0.549383;14.650226
E3_21;100.0;0.70199;13.612501
E3_21;100.0;-0.213649;24.233915
E3_21;100.0;0.24417;14.863875
E3_21;100.0;-0.640947;17.122451
E3_21;100.0;0.213649;21.578562
E3_21;100.0;-0.061043;17.79392
E3_21;100.0;-0.45782;14.406055
E3_21;100.0;0.305213;19.991454
E3_21;100.0;-0.427298;15.108045
E3_21;100.0;0.061043;21.853253
E3_21;100.0;-0.366256;20.388231
E3_21;100.0;-0.427298;15.504822
E3_21;100.0;0.0;15.596386
E3_21;100.0;-0.640947;18.679038
E3_21;100.0;-0.030521;17.549749
E3_21;100.0;0.213649;23.65401
E3_21;100.0;0.488341;16.084727
E3_21;100.0;0.885118;22.158466
E3_21;100.0;-0.549383;25.302161
E3_21;100.0;0.213649;29.941399
E3_21;100.0;0.335734;15.44378
E3_21;100.0;0.030521;20.540837
E3_21;100.0;0.091564;15.321694
E3_21;100.0;-0.213649;22.616286
E3_21;100.0;-0.763033;16.817238
E3_21;100.0;-0.122085;13.459895
E3_21;100.0;0.0;14.497619
E3_21;100.0;0.152607;22.799414
E3_21;100.0;-0.488341;15.352216
E3_21;100.0;0.091564;16.756196
E3_21;100.0;-0.45782;15.44378
E3_21;100.0;0.274692;22.311073
E3_21;100.0;0.335734;16.267855
E3_21;100.0;1.15981;20.113539
E3_21;100.0;-1.312416;20.174582
E3_21;100.0;0.305213;18.465389
E3_21;100.0;0.549383;19.014772
E3_21;100.0;0.915639;22.95202
E3_21;100.0;0.824075;11.842266
E3_21;100.0;0.854596;16.786717
E3_21;100.0;0.732511;22.372115
E3_21;100.0;0.45782;16.237333
E3_21;100.0;-0.396777;19.686241
E3_21;100.0;-0.640947;13.734587
E3_21;100.0;0.305213;12.696862
E3_21;100.0;0.610426;19.991454
E3_21;100.0;1.037724;22.921499
E3_21;100.0;0.274692;14.009278
E3_21;100.0;-0.305213;17.916005
E3_21;100.0;-0.061043;18.49591
E3_21;100.0;-0.579905;14.863875
E3_21;100.0;-0.274692;17.610792
