Sample;Frequency (GHz);LG (mV);HG (mV)
REF_23;100.0;0.824075;29.178366
REF_23;100.0;0.610426;21.700647
REF_23;100.0;-0.824075;30.734953
REF_23;100.0;0.396777;22.860456
REF_23;100.0;-0.366256;28.384812
REF_23;100.0;0.091564;18.984251
REF_23;100.0;-0.24417;26.2178
REF_23;100.0;-0.152607;26.797704
REF_23;100.0;-0.061043;27.835429
REF_23;100.0;0.488341;25.607374
REF_23;100.0;-0.427298;31.009644
REF_23;100.0;-0.091564;21.090221
REF_23;100.0;-0.427298;29.26993
REF_23;100.0;0.061043;22.95202
REF_23;100.0;-0.45782;19.1979
REF_23;100.0;0.122085;23.196191
REF_23;100.0;0.396777;26.736662
REF_23;100.0;0.427298;23.776095
REF_23;100.0;-0.488341;31.955805
REF_23;100.0;0.94616;24.783298
REF_23;100.0;-0.274692;29.697228
REF_23;100.0;0.061043;23.531925
REF_23;100.0;0.885118;27.255524
REF_23;100.0;0.152607;23.318276
REF_23;100.0;0.396777;24.264436
REF_23;100.0;0.885118;24.142351
REF_23;100.0;-0.396777;27.286045
REF_23;100.0;-0.335734;21.120742
REF_23;100.0;0.305213;27.682822
REF_23;100.0;0.091564;24.081308
REF_23;100.0;0.763033;32.474667
REF_23;100.0;-0.45782;22.311073
REF_23;100.0;0.030521;26.034672
REF_23;100.0;0.610426;27.713344
REF_23;100.0;0.793554;21.914296
REF_23;100.0;0.366256;27.316567
REF_23;100.0;0.061043;27.957514
REF_23;100.0;-0.488341;22.066902
REF_23;100.0;-1.068246;27.316567
REF_23;100.0;0.885118;23.135148
REF_23;100.0;-0.183128;26.126236
REF_23;100.0;0.183128;25.75998
REF_23;100.0;-1.007203;21.914296
REF_23;100.0;-0.091564;22.402637
REF_23;100.0;-0.152607;22.95202
REF_23;100.0;0.213649;30.551825
REF_23;100.0;-0.518862;24.905384
REF_23;100.0;0.793554;26.065193
REF_23;100.0;1.068246;30.063484
REF_23;100.0;0.061043;28.384812
REF_23;100.0;-0.45782;29.697228
REF_23;100.0;0.488341;29.544622
REF_23;100.0;-0.518862;27.194481
REF_23;100.0;0.213649;21.364912
REF_23;100.0;0.061043;26.645098
REF_23;100.0;-0.091564;25.119033
REF_23;100.0;0.061043;22.890978
REF_23;100.0;-0.030521;21.212306
REF_23;100.0;0.976682;28.049078
REF_23;100.0;0.152607;24.447564
REF_23;100.0;0.183128;21.944817
REF_23;100.0;-0.030521;29.666707
REF_23;100.0;0.183128;27.316567
REF_23;100.0;0.213649;29.361494
REF_23;100.0;0.305213;31.314857
REF_23;100.0;0.152607;25.424246
REF_23;100.0;0.305213;24.783298
REF_23;100.0;-0.152607;26.980832
REF_23;100.0;0.854596;30.551825
REF_23;100.0;0.183128;21.029178
