Sample;Frequency (GHz);LG (mV);HG (mV)
A3_25;100.0;-0.122085;30.765474
A3_25;100.0;-0.976682;12.818947
A3_25;100.0;-0.366256;44.072762
A3_25;100.0;0.854596;35.038456
A3_25;100.0;-0.610426;20.754486
A3_25;100.0;-1.098767;40.04395
A3_25;100.0;-0.488341;39.067268
A3_25;100.0;2.197534;15.504822
A3_25;100.0;1.709193;26.492491
A3_25;100.0;-0.976682;33.451349
A3_25;100.0;-0.732511;26.980832
A3_25;100.0;1.220852;25.637895
A3_25;100.0;-0.122085;24.905384
A3_25;100.0;-0.122085;44.194847
A3_25;100.0;-0.854596;41.875228
A3_25;100.0;1.220852;19.89989
A3_25;100.0;0.854596;34.794286
A3_25;100.0;-0.610426;42.60774
A3_25;100.0;-0.488341;18.068612
A3_25;100.0;1.831278;25.149554
A3_25;100.0;0.488341;16.847759
A3_25;100.0;-0.24417;49.078256
A3_25;100.0;0.976682;30.887559
A3_25;100.0;-0.732511;19.777805
A3_25;100.0;0.366256;41.875228
A3_25;100.0;0.610426;42.363569
A3_25;100.0;0.488341;9.522647
A3_25;100.0;0.488341;42.119399
A3_25;100.0;-1.342937;23.440361
A3_25;100.0;1.587108;20.876572
A3_25;100.0;0.732511;28.934196
A3_25;100.0;0.0;16.359419
A3_25;100.0;0.122085;38.334757
A3_25;100.0;-1.587108;39.311439
A3_25;100.0;-1.831278;21.486998
A3_25;100.0;-0.366256;44.316933
A3_25;100.0;-0.976682;35.160542
A3_25;100.0;0.854596;17.580271
A3_25;100.0;-0.24417;37.23599
A3_25;100.0;-0.122085;30.155048
A3_25;100.0;-1.587108;24.417043
A3_25;100.0;-0.488341;26.980832
A3_25;100.0;-0.976682;26.248321
A3_25;100.0;-0.610426;33.085093
A3_25;100.0;-0.488341;37.113905
A3_25;100.0;0.488341;25.75998
A3_25;100.0;-0.122085;11.353925
A3_25;100.0;0.854596;32.230496
A3_25;100.0;-1.342937;21.120742
A3_25;100.0;0.732511;41.508973
A3_25;100.0;1.342937;35.282627
A3_25;100.0;-0.488341;23.562446
A3_25;100.0;-0.24417;30.521303
A3_25;100.0;2.80796;30.277133
A3_25;100.0;1.465023;19.533634
A3_25;100.0;0.610426;36.259308
A3_25;100.0;-0.366256;27.591258
A3_25;100.0;0.854596;13.063118
A3_25;100.0;0.0;39.311439
A3_25;100.0;0.854596;30.765474
A3_25;100.0;-1.220852;32.718837
A3_25;100.0;0.0;29.300451
A3_25;100.0;-0.122085;21.364912
A3_25;100.0;0.732511;25.393724
A3_25;100.0;0.122085;23.318276
A3_25;100.0;-1.587108;43.828592
A3_25;100.0;-0.366256;36.747649
A3_25;100.0;-0.366256;9.888902
A3_25;100.0;1.953363;29.422536
A3_25;100.0;0.610426;22.097424
A3_25;100.0;0.366256;16.115248
A3_25;100.0;0.0;25.271639
A3_25;100.0;-1.220852;22.829935
A3_25;100.0;1.220852;11.109754
A3_25;100.0;1.587108;28.690025
A3_25;100.0;-0.24417;40.898547
A3_25;100.0;-1.098767;14.650226
A3_25;100.0;0.366256;36.015138
A3_25;100.0;0.122085;33.329263
A3_25;100.0;-0.24417;17.09193
A3_25;100.0;1.220852;35.038456
A3_25;100.0;1.220852;39.311439
A3_25;100.0;1.465023;11.23184
A3_25;100.0;-1.220852;35.893053
A3_25;100.0;0.610426;31.986326
A3_25;100.0;0.366256;18.679038
A3_25;100.0;-2.075449;29.178366
A3_25;100.0;0.0;37.358075
A3_25;100.0;0.24417;31.986326
A3_25;100.0;0.24417;31.62007
A3_25;100.0;1.220852;27.347088
A3_25;100.0;1.587108;45.293614
A3_25;100.0;1.465023;37.724331
A3_25;100.0;-0.854596;45.65987
A3_25;100.0;1.220852;34.794286
A3_25;100.0;0.488341;22.70785
A3_25;100.0;0.610426;34.794286
A3_25;100.0;1.220852;27.347088
A3_25;100.0;-0.366256;33.207178
A3_25;100.0;0.488341;35.526797
A3_25;100.0;-2.075449;31.009644
A3_25;100.0;-1.220852;15.748993
A3_25;100.0;-0.122085;33.939689
A3_25;100.0;-0.610426;24.294958
A3_25;100.0;-1.220852;48.834085
A3_25;100.0;-1.098767;32.230496
A3_25;100.0;1.465023;15.504822
A3_25;100.0;0.854596;42.729825
A3_25;100.0;1.220852;33.207178
A3_25;100.0;-0.488341;17.214015
A3_25;100.0;-0.366256;28.079599
A3_25;100.0;-0.24417;20.14406
A3_25;100.0;-0.366256;13.185203
A3_25;100.0;-1.465023;37.23599
A3_25;100.0;-0.976682;37.602246
A3_25;100.0;-0.610426;18.190697
A3_25;100.0;-0.122085;40.410206
A3_25;100.0;0.610426;35.526797
A3_25;100.0;-1.831278;18.068612
A3_25;100.0;-0.976682;30.643389
A3_25;100.0;-1.098767;27.957514
A3_25;100.0;0.366256;21.731168
A3_25;100.0;-0.488341;30.277133
A3_25;100.0;3.174216;27.469173
A3_25;100.0;1.098767;41.753143
A3_25;100.0;0.122085;24.172872
A3_25;100.0;-0.122085;31.497985
A3_25;100.0;-0.610426;15.260652
A3_25;100.0;0.610426;28.445855
A3_25;100.0;0.976682;26.492491
A3_25;100.0;-2.441704;30.032963
A3_25;100.0;1.098767;30.521303
A3_25;100.0;0.24417;6.348431
A3_25;100.0;0.24417;41.386887
A3_25;100.0;1.342937;33.207178
A3_25;100.0;1.098767;14.52814
A3_25;100.0;1.587108;29.422536
A3_25;100.0;0.732511;33.329263
A3_25;100.0;-0.610426;13.307288
A3_25;100.0;1.709193;39.189354
A3_25;100.0;-0.122085;26.370406
A3_25;100.0;0.122085;48.834085
A3_25;100.0;-0.122085;30.765474
A3_25;100.0;0.0;14.161885
A3_25;100.0;-1.465023;39.921865
A3_25;100.0;-0.488341;27.102917
A3_25;100.0;-1.220852;17.09193
A3_25;100.0;0.976682;19.411549
A3_25;100.0;0.854596;33.573434
A3_25;100.0;1.587108;26.248321
A3_25;100.0;-1.220852;38.212672
A3_25;100.0;-2.685875;30.399218
A3_25;100.0;-1.831278;17.702356
A3_25;100.0;-0.488341;39.79978
A3_25;100.0;0.366256;39.067268
A3_25;100.0;-0.122085;24.905384
A3_25;100.0;-0.24417;37.23599
A3_25;100.0;0.854596;34.550115
A3_25;100.0;0.976682;15.260652
A3_25;100.0;-1.709193;36.99182
A3_25;100.0;-0.854596;37.846416
A3_25;100.0;0.732511;20.998657
A3_25;100.0;-0.854596;38.090587
A3_25;100.0;0.24417;38.823098
A3_25;100.0;0.24417;14.161885
A3_25;100.0;-0.854596;30.643389
A3_25;100.0;-1.098767;25.027469
A3_25;100.0;0.122085;36.625564
A3_25;100.0;0.122085;29.422536
A3_25;100.0;-1.098767;28.690025
