Sample;Frequency (GHz);LG (mV);HG (mV)
C4_45;100.0;-1.098767;5.738005
C4_45;100.0;0.854596;27.347088
C4_45;100.0;-1.831278;4.883409
C4_45;100.0;0.0;23.440361
C4_45;100.0;0.24417;3.784642
C4_45;100.0;0.976682;18.923208
C4_45;100.0;-0.366256;9.400561
C4_45;100.0;-1.342937;19.289464
C4_45;100.0;-1.465023;3.906727
C4_45;100.0;-0.366256;32.108411
C4_45;100.0;-0.732511;-1.465023
C4_45;100.0;-0.122085;23.928702
C4_45;100.0;0.854596;6.226346
C4_45;100.0;0.366256;27.347088
C4_45;100.0;0.366256;10.133073
C4_45;100.0;-0.122085;27.102917
C4_45;100.0;0.610426;0.0
C4_45;100.0;0.0;28.56794
C4_45;100.0;1.465023;4.883409
C4_45;100.0;0.610426;35.770968
C4_45;100.0;-0.732511;7.935539
C4_45;100.0;1.342937;28.32377
C4_45;100.0;-0.854596;6.470516
C4_45;100.0;0.976682;17.702356
C4_45;100.0;0.24417;4.517153
C4_45;100.0;0.24417;17.580271
C4_45;100.0;0.732511;1.098767
C4_45;100.0;0.732511;10.010988
C4_45;100.0;-0.488341;1.831278
C4_45;100.0;-0.122085;20.632401
C4_45;100.0;-0.366256;-2.075449
C4_45;100.0;0.122085;22.219509
C4_45;100.0;1.098767;3.784642
C4_45;100.0;1.342937;26.980832
C4_45;100.0;-0.122085;6.592602
C4_45;100.0;0.732511;17.946526
C4_45;100.0;0.24417;5.493835
C4_45;100.0;-0.732511;20.998657
C4_45;100.0;-1.953363;7.935539
C4_45;100.0;0.854596;10.010988
C4_45;100.0;-1.342937;6.836772
C4_45;100.0;0.122085;38.212672
C4_45;100.0;-0.366256;0.24417
C4_45;100.0;-1.220852;12.818947
C4_45;100.0;0.488341;2.075449
C4_45;100.0;-0.732511;11.353925
C4_45;100.0;-0.854596;0.24417
C4_45;100.0;0.122085;14.894396
C4_45;100.0;-0.976682;11.109754
C4_45;100.0;-0.24417;25.51581
C4_45;100.0;0.610426;38.945183
C4_45;100.0;1.831278;8.179709
C4_45;100.0;1.098767;25.637895
C4_45;100.0;0.24417;15.382737
C4_45;100.0;0.0;24.294958
C4_45;100.0;-0.122085;6.104261
C4_45;100.0;0.24417;26.004151
C4_45;100.0;-0.610426;4.395068
C4_45;100.0;0.610426;33.329263
C4_45;100.0;-0.976682;9.034306
C4_45;100.0;0.0;29.910877
C4_45;100.0;0.732511;15.138566
C4_45;100.0;0.976682;35.160542
C4_45;100.0;-0.122085;9.522647
C4_45;100.0;-0.732511;25.027469
C4_45;100.0;0.732511;9.522647
C4_45;100.0;0.122085;27.469173
C4_45;100.0;0.0;22.829935
C4_45;100.0;0.610426;26.980832
C4_45;100.0;0.732511;25.75998
C4_45;100.0;1.220852;30.887559
C4_45;100.0;0.854596;27.469173
C4_45;100.0;1.587108;19.289464
C4_45;100.0;0.122085;24.905384
C4_45;100.0;1.098767;16.603589
C4_45;100.0;0.122085;27.225003
C4_45;100.0;-1.220852;17.702356
C4_45;100.0;0.610426;24.172872
C4_45;100.0;-0.854596;8.912221
C4_45;100.0;-0.488341;28.201684
C4_45;100.0;0.976682;-0.488341
C4_45;100.0;-1.098767;25.75998
C4_45;100.0;-1.220852;-1.342937
C4_45;100.0;-1.098767;8.790135
C4_45;100.0;0.610426;2.441704
C4_45;100.0;-0.366256;14.52814
C4_45;100.0;-0.122085;0.488341
C4_45;100.0;0.610426;11.720181
C4_45;100.0;-0.24417;-6.104261
C4_45;100.0;-0.366256;18.068612
C4_45;100.0;0.488341;-1.220852
C4_45;100.0;-0.488341;15.016481
C4_45;100.0;-1.220852;7.691368
C4_45;100.0;-0.24417;24.294958
C4_45;100.0;-0.854596;5.127579
C4_45;100.0;0.0;15.871078
C4_45;100.0;-0.854596;-3.296301
C4_45;100.0;0.24417;23.928702
C4_45;100.0;-0.854596;21.609083
C4_45;100.0;0.732511;10.377243
C4_45;100.0;-0.122085;25.149554
C4_45;100.0;-0.366256;5.982175
C4_45;100.0;0.488341;14.650226
C4_45;100.0;0.24417;-4.761323
C4_45;100.0;-1.098767;14.894396
C4_45;100.0;1.587108;6.348431
C4_45;100.0;0.24417;17.09193
C4_45;100.0;1.953363;2.80796
C4_45;100.0;0.366256;15.626907
C4_45;100.0;-0.610426;2.197534
C4_45;100.0;-0.732511;19.655719
C4_45;100.0;-1.220852;-0.366256
C4_45;100.0;-1.098767;18.312782
C4_45;100.0;-0.366256;-0.24417
C4_45;100.0;-1.587108;16.603589
C4_45;100.0;1.098767;8.301795
C4_45;100.0;-0.488341;21.242827
C4_45;100.0;-0.24417;7.447198
C4_45;100.0;0.976682;18.679038
C4_45;100.0;-0.366256;-2.197534
C4_45;100.0;2.319619;21.975338
C4_45;100.0;1.831278;2.930045
C4_45;100.0;-0.976682;14.161885
C4_45;100.0;-0.122085;5.371749
C4_45;100.0;0.610426;17.214015
C4_45;100.0;-0.732511;3.784642
C4_45;100.0;-0.122085;16.359419
C4_45;100.0;0.24417;8.545965
C4_45;100.0;0.488341;26.004151
C4_45;100.0;0.24417;6.104261
C4_45;100.0;0.610426;16.969845
C4_45;100.0;-0.976682;6.226346
C4_45;100.0;1.342937;18.801123
C4_45;100.0;-0.122085;5.86009
C4_45;100.0;0.0;31.009644
C4_45;100.0;1.831278;6.592602
C4_45;100.0;-0.488341;29.788792
C4_45;100.0;1.465023;13.429374
C4_45;100.0;-0.610426;28.079599
C4_45;100.0;0.122085;13.917714
C4_45;100.0;-0.976682;31.3759
C4_45;100.0;0.610426;10.133073
C4_45;100.0;0.366256;17.3361
C4_45;100.0;0.976682;7.813454
C4_45;100.0;-1.465023;33.695519
C4_45;100.0;1.220852;-2.319619
C4_45;100.0;0.610426;28.690025
C4_45;100.0;-1.098767;32.230496
C4_45;100.0;0.610426;18.434867
C4_45;100.0;-0.976682;23.440361
C4_45;100.0;0.854596;6.958857
C4_45;100.0;-0.122085;19.167379
C4_45;100.0;1.098767;0.854596
C4_45;100.0;-0.24417;20.388231
C4_45;100.0;0.366256;11.720181
C4_45;100.0;0.122085;22.829935
C4_45;100.0;1.342937;3.906727
C4_45;100.0;1.098767;21.975338
C4_45;100.0;0.488341;2.930045
C4_45;100.0;-0.976682;25.271639
C4_45;100.0;-0.732511;-3.662556
C4_45;100.0;0.854596;25.271639
C4_45;100.0;0.24417;-1.098767
C4_45;100.0;0.488341;15.260652
C4_45;100.0;-0.488341;2.441704
C4_45;100.0;-0.488341;20.754486
C4_45;100.0;0.24417;11.353925
C4_45;100.0;-1.342937;21.731168
C4_45;100.0;0.610426;10.865584
C4_45;100.0;0.122085;15.260652
C4_45;100.0;0.488341;8.912221
C4_45;100.0;-0.610426;11.23184
C4_45;100.0;-0.488341;1.098767
C4_45;100.0;-0.24417;19.045293
C4_45;100.0;-0.976682;-3.174216
C4_45;100.0;-0.122085;28.934196
C4_45;100.0;0.24417;-0.122085
C4_45;100.0;-0.854596;20.632401
C4_45;100.0;0.24417;5.005494
C4_45;100.0;0.488341;21.486998
C4_45;100.0;-0.610426;10.743499
C4_45;100.0;-0.366256;30.521303
C4_45;100.0;-0.854596;11.23184
C4_45;100.0;0.976682;24.050787
C4_45;100.0;1.342937;13.429374
C4_45;100.0;0.122085;20.388231
C4_45;100.0;-1.220852;21.242827
C4_45;100.0;0.732511;24.050787
C4_45;100.0;-0.732511;26.004151
C4_45;100.0;0.732511;13.917714
C4_45;100.0;-0.366256;26.248321
C4_45;100.0;0.366256;8.545965
C4_45;100.0;-1.465023;22.463679
C4_45;100.0;0.122085;20.266145
C4_45;100.0;-1.220852;21.486998
C4_45;100.0;-0.24417;15.138566
C4_45;100.0;0.122085;18.556952
C4_45;100.0;-1.587108;20.388231
C4_45;100.0;1.220852;24.417043
C4_45;100.0;-0.488341;7.569283
C4_45;100.0;-0.610426;28.445855
C4_45;100.0;0.854596;32.963008
C4_45;100.0;1.465023;8.790135
C4_45;100.0;0.0;26.370406
C4_45;100.0;-0.976682;6.470516
C4_45;100.0;0.854596;21.120742
C4_45;100.0;1.587108;5.371749
C4_45;100.0;1.220852;17.946526
C4_45;100.0;1.709193;0.488341
C4_45;100.0;-1.342937;20.266145
C4_45;100.0;-0.854596;2.563789
C4_45;100.0;-0.122085;16.725674
C4_45;100.0;-0.610426;3.296301
C4_45;100.0;-1.587108;13.063118
C4_45;100.0;0.854596;11.964351
C4_45;100.0;0.488341;19.411549
C4_45;100.0;0.0;-1.098767
C4_45;100.0;0.0;25.75998
C4_45;100.0;1.220852;-0.24417
C4_45;100.0;0.610426;33.329263
C4_45;100.0;0.24417;0.610426
C4_45;100.0;-0.732511;25.271639
C4_45;100.0;0.366256;16.481504
C4_45;100.0;0.976682;16.359419
C4_45;100.0;-0.488341;0.732511
C4_45;100.0;0.488341;18.923208
C4_45;100.0;-0.366256;1.098767
C4_45;100.0;0.122085;22.70785
C4_45;100.0;-0.488341;3.540471
C4_45;100.0;1.342937;23.684531
C4_45;100.0;-0.122085;9.034306
C4_45;100.0;-0.122085;23.196191
C4_45;100.0;-0.366256;2.563789
C4_45;100.0;0.366256;30.032963
C4_45;100.0;-0.122085;11.964351
C4_45;100.0;0.122085;33.817604
C4_45;100.0;0.976682;9.278476
C4_45;100.0;-2.685875;31.986326
C4_45;100.0;-0.24417;11.720181
C4_45;100.0;-1.465023;38.212672
C4_45;100.0;-0.488341;16.481504
C4_45;100.0;0.976682;32.230496
C4_45;100.0;-0.976682;15.626907
C4_45;100.0;0.854596;26.004151
C4_45;100.0;-1.342937;24.417043
C4_45;100.0;0.0;23.440361
C4_45;100.0;0.854596;23.684531
C4_45;100.0;-1.220852;23.318276
C4_45;100.0;-0.976682;24.539128
C4_45;100.0;1.709193;37.480161
C4_45;100.0;-0.610426;20.876572
C4_45;100.0;0.488341;23.684531
C4_45;100.0;-0.976682;-0.122085
C4_45;100.0;-0.610426;10.499328
C4_45;100.0;-0.976682;10.743499
C4_45;100.0;0.366256;14.28397
C4_45;100.0;0.854596;-1.953363
C4_45;100.0;0.732511;18.679038
C4_45;100.0;0.610426;1.953363
C4_45;100.0;-0.122085;19.533634
C4_45;100.0;0.122085;0.0
C4_45;100.0;0.610426;15.993163
C4_45;100.0;-0.24417;6.226346
C4_45;100.0;-0.122085;13.429374
C4_45;100.0;-1.220852;-3.418386
C4_45;100.0;-0.488341;13.307288
C4_45;100.0;0.24417;7.080942
C4_45;100.0;0.732511;22.463679
C4_45;100.0;0.854596;3.05213
C4_45;100.0;-0.976682;16.481504
C4_45;100.0;-1.342937;-0.854596
C4_45;100.0;0.976682;14.650226
C4_45;100.0;1.098767;0.488341
C4_45;100.0;-0.976682;22.341594
C4_45;100.0;-0.366256;10.133073
C4_45;100.0;0.488341;25.149554
C4_45;100.0;-0.854596;4.517153
C4_45;100.0;-0.122085;22.829935
C4_45;100.0;1.098767;5.738005
C4_45;100.0;0.854596;23.196191
C4_45;100.0;0.976682;4.639238
C4_45;100.0;-1.465023;20.632401
C4_45;100.0;0.732511;15.382737
C4_45;100.0;0.122085;27.102917
C4_45;100.0;-0.854596;10.010988
C4_45;100.0;0.24417;26.248321
C4_45;100.0;-0.976682;13.185203
C4_45;100.0;-0.488341;29.544622
C4_45;100.0;-0.122085;3.662556
C4_45;100.0;1.098767;27.102917
C4_45;100.0;1.465023;18.068612
C4_45;100.0;0.610426;25.637895
C4_45;100.0;0.976682;13.795629
C4_45;100.0;1.831278;17.214015
C4_45;100.0;0.732511;13.307288
C4_45;100.0;0.366256;25.51581
C4_45;100.0;-1.098767;13.917714
C4_45;100.0;-1.953363;27.225003
C4_45;100.0;0.122085;26.492491
C4_45;100.0;0.854596;18.190697
C4_45;100.0;-0.976682;19.655719
C4_45;100.0;-0.366256;18.556952
C4_45;100.0;-0.366256;9.766817
C4_45;100.0;-1.220852;26.126236
C4_45;100.0;0.0;-0.366256
C4_45;100.0;0.488341;22.585765
C4_45;100.0;0.976682;10.010988
C4_45;100.0;-0.610426;21.486998
C4_45;100.0;-0.122085;-4.028812
C4_45;100.0;0.854596;13.063118
C4_45;100.0;0.0;2.075449
C4_45;100.0;1.342937;25.882065
C4_45;100.0;-0.122085;-1.953363
C4_45;100.0;-0.610426;10.133073
C4_45;100.0;1.098767;-0.122085
C4_45;100.0;-0.122085;22.097424
C4_45;100.0;-1.098767;2.319619
C4_45;100.0;0.122085;30.399218
C4_45;100.0;0.732511;8.301795
C4_45;100.0;-0.610426;15.382737
C4_45;100.0;-0.366256;12.818947
C4_45;100.0;0.24417;26.370406
C4_45;100.0;0.488341;17.09193
C4_45;100.0;-1.831278;32.963008
C4_45;100.0;0.976682;24.661213
C4_45;100.0;-1.342937;24.539128
C4_45;100.0;0.0;10.987669
C4_45;100.0;-1.831278;24.905384
C4_45;100.0;1.098767;6.104261
C4_45;100.0;-0.610426;25.51581
C4_45;100.0;-0.366256;16.969845
C4_45;100.0;-0.488341;29.300451
C4_45;100.0;-0.24417;14.772311
C4_45;100.0;0.24417;32.108411
C4_45;100.0;0.610426;24.050787
C4_45;100.0;0.854596;23.318276
