Sample;Frequency (GHz);LG (mV);HG (mV)
D2_16;100.0;49.810767;0.122142
D2_16;100.0;35.526797;-0.73247
D2_16;100.0;35.648882;-1.22087
D2_16;100.0;47.613233;1.220846
D2_16;100.0;29.910877;-0.732565
D2_16;100.0;43.09608;-0.732493
D2_16;100.0;39.921865;1.098752
D2_16;100.0;42.119399;0.122094
D2_16;100.0;42.363569;-0.610447
D2_16;100.0;32.474667;0.366235
D2_16;100.0;46.758637;0.610447
D2_16;100.0;35.770968;1.220822
D2_16;100.0;32.108411;0.976634
D2_16;100.0;30.155048;0.610423
D2_16;100.0;21.242827;0.366259
D2_16;100.0;44.927359;1.34294
D2_16;100.0;28.56794;0.122094
D2_16;100.0;53.839579;0.732493
D2_16;100.0;40.410206;0.976682
D2_16;100.0;39.921865;-0.732517
D2_16;100.0;46.026126;0.610352
D2_16;100.0;36.99182;1.953363
D2_16;100.0;38.456842;0.0
D2_16;100.0;31.62007;-0.854588
D2_16;100.0;41.508973;-2.319622
D2_16;100.0;33.329263;0.122094
D2_16;100.0;40.410206;0.0
D2_16;100.0;33.695519;-1.342916
D2_16;100.0;27.835429;-2.197504
D2_16;100.0;25.027469;1.342916
D2_16;100.0;37.113905;-0.610399
D2_16;100.0;35.893053;0.854611
D2_16;100.0;39.555609;-0.366282
D2_16;100.0;26.004151;0.488353
D2_16;100.0;43.950677;-0.976729
D2_16;100.0;36.625564;-0.244164
D2_16;100.0;30.643389;0.976658
D2_16;100.0;27.591258;-0.976706
D2_16;100.0;34.550115;-0.854611
D2_16;100.0;39.311439;-0.610447
D2_16;100.0;33.207178;0.854588
D2_16;100.0;37.358075;-0.488305
D2_16;100.0;34.305945;-1.220822
D2_16;100.0;38.578928;-0.610471
D2_16;100.0;40.04395;-2.384186e-05
D2_16;100.0;22.585765;0.854611
D2_16;100.0;52.984983;-1.465011
D2_16;100.0;40.532291;0.366282
D2_16;100.0;32.352582;-0.732493
D2_16;100.0;45.90404;0.732517
D2_16;100.0;46.880722;-0.366282
D2_16;100.0;30.155048;0.73247
D2_16;100.0;44.683188;0.122118
D2_16;100.0;33.573434;-1.709127
D2_16;100.0;46.636552;0.12207
D2_16;100.0;38.945183;-0.122094
D2_16;100.0;26.004151;-1.220798
D2_16;100.0;27.591258;-0.244164
D2_16;100.0;54.205835;0.732517
D2_16;100.0;37.968501;0.0
D2_16;100.0;41.508973;-0.366211
D2_16;100.0;41.753143;-0.854659
D2_16;100.0;49.566597;-1.709151
D2_16;100.0;31.009644;0.366306
D2_16;100.0;32.230496;-0.366235
D2_16;100.0;31.3759;0.122094
D2_16;100.0;27.102917;-0.122094
D2_16;100.0;37.602246;1.464963
D2_16;100.0;27.835429;0.610423
D2_16;100.0;32.474667;0.244141
D2_16;100.0;31.253815;0.488377
D2_16;100.0;40.288121;1.953316
D2_16;100.0;48.101574;-0.366187
D2_16;100.0;29.300451;0.854588
D2_16;100.0;44.439018;-0.610447
D2_16;100.0;46.026126;0.610375
D2_16;100.0;34.061775;0.854564
D2_16;100.0;35.038456;-0.244188
D2_16;100.0;37.724331;0.244164
D2_16;100.0;32.840922;0.244188
D2_16;100.0;41.753143;0.366259
D2_16;100.0;41.631058;0.854611
D2_16;100.0;33.817604;0.610471
