Sample;Frequency (GHz);LG (mV);HG (mV)
E2_17;100.0;0.488341;26.736662
E2_17;100.0;0.0;1.953363
E2_17;100.0;0.0;21.609083
E2_17;100.0;-0.854596;4.761323
E2_17;100.0;0.24417;13.429374
E2_17;100.0;-0.976682;5.61592
E2_17;100.0;0.488341;13.551459
E2_17;100.0;0.610426;12.452692
E2_17;100.0;1.342937;18.434867
E2_17;100.0;-1.098767;17.946526
E2_17;100.0;0.122085;29.910877
E2_17;100.0;0.0;30.643389
E2_17;100.0;-0.976682;14.406055
E2_17;100.0;0.366256;22.70785
E2_17;100.0;-0.610426;11.842266
E2_17;100.0;-0.610426;13.063118
E2_17;100.0;0.732511;18.923208
E2_17;100.0;0.732511;28.32377
E2_17;100.0;-0.122085;18.434867
E2_17;100.0;2.441704;33.329263
E2_17;100.0;-0.976682;22.463679
E2_17;100.0;-0.488341;36.625564
E2_17;100.0;-2.319619;23.074105
E2_17;100.0;0.122085;18.556952
E2_17;100.0;-0.488341;32.230496
E2_17;100.0;0.488341;10.743499
E2_17;100.0;-0.610426;25.027469
E2_17;100.0;1.953363;2.319619
E2_17;100.0;0.488341;24.417043
E2_17;100.0;-0.732511;9.522647
E2_17;100.0;0.854596;21.609083
E2_17;100.0;0.854596;4.272982
E2_17;100.0;-1.587108;22.341594
E2_17;100.0;-0.488341;5.371749
E2_17;100.0;0.732511;17.580271
E2_17;100.0;-0.366256;22.95202
E2_17;100.0;0.732511;31.131729
E2_17;100.0;0.122085;20.632401
E2_17;100.0;-0.122085;36.259308
E2_17;100.0;-0.488341;19.655719
E2_17;100.0;-1.098767;26.126236
E2_17;100.0;-0.732511;24.905384
E2_17;100.0;0.854596;11.47601
E2_17;100.0;-0.610426;26.248321
E2_17;100.0;0.610426;17.458186
E2_17;100.0;-1.465023;31.497985
E2_17;100.0;0.122085;14.406055
E2_17;100.0;0.610426;30.155048
E2_17;100.0;-0.122085;8.66805
E2_17;100.0;-1.098767;22.097424
E2_17;100.0;-0.488341;-0.610426
E2_17;100.0;0.366256;18.801123
E2_17;100.0;-0.366256;8.301795
E2_17;100.0;-0.976682;21.853253
E2_17;100.0;0.976682;5.86009
E2_17;100.0;1.098767;25.51581
E2_17;100.0;0.854596;10.743499
E2_17;100.0;0.24417;18.923208
E2_17;100.0;0.610426;25.149554
E2_17;100.0;-0.854596;29.910877
E2_17;100.0;-0.366256;29.910877
E2_17;100.0;0.488341;5.982175
E2_17;100.0;-1.831278;23.928702
E2_17;100.0;0.24417;12.208521
E2_17;100.0;-0.24417;26.126236
E2_17;100.0;0.732511;13.429374
E2_17;100.0;-0.366256;20.510316
E2_17;100.0;0.488341;15.993163
E2_17;100.0;-1.098767;31.3759
E2_17;100.0;0.976682;16.237333
E2_17;100.0;-0.366256;28.201684
E2_17;100.0;0.366256;19.777805
E2_17;100.0;-1.220852;40.410206
E2_17;100.0;0.24417;16.115248
E2_17;100.0;-0.732511;36.625564
E2_17;100.0;0.610426;21.609083
E2_17;100.0;1.098767;23.196191
E2_17;100.0;-0.976682;19.289464
E2_17;100.0;-0.732511;3.418386
E2_17;100.0;0.976682;20.998657
E2_17;100.0;0.488341;14.772311
E2_17;100.0;0.854596;22.341594
E2_17;100.0;0.0;-2.563789
E2_17;100.0;-1.342937;30.643389
E2_17;100.0;0.122085;5.86009
E2_17;100.0;0.0;17.3361
E2_17;100.0;0.122085;15.016481
E2_17;100.0;0.122085;19.777805
E2_17;100.0;1.342937;13.551459
E2_17;100.0;0.732511;18.068612
E2_17;100.0;0.976682;9.400561
E2_17;100.0;-0.488341;26.492491
