Sample;Frequency (GHz);LG (mV);HG (mV)
F1_6;100.0;-0.610426;48.589915
F1_6;100.0;-0.488341;42.119399
F1_6;100.0;-0.976682;14.0398
F1_6;100.0;0.976682;32.840922
F1_6;100.0;0.854596;36.503479
F1_6;100.0;1.709193;38.701013
F1_6;100.0;-0.732511;42.729825
F1_6;100.0;-0.24417;16.359419
F1_6;100.0;-0.732511;30.399218
F1_6;100.0;-0.976682;42.85191
F1_6;100.0;0.610426;33.451349
F1_6;100.0;-0.122085;48.589915
F1_6;100.0;0.122085;22.219509
F1_6;100.0;-0.122085;36.503479
F1_6;100.0;0.366256;20.998657
F1_6;100.0;-0.488341;31.742156
F1_6;100.0;-0.366256;30.399218
F1_6;100.0;-1.953363;33.329263
F1_6;100.0;0.0;37.358075
F1_6;100.0;-0.366256;27.835429
F1_6;100.0;0.488341;37.846416
F1_6;100.0;0.854596;41.875228
F1_6;100.0;0.854596;20.388231
F1_6;100.0;-0.122085;33.085093
F1_6;100.0;1.220852;17.3361
F1_6;100.0;-0.976682;53.595409
F1_6;100.0;0.366256;41.875228
F1_6;100.0;0.366256;23.928702
F1_6;100.0;-0.976682;36.137223
F1_6;100.0;1.831278;23.196191
F1_6;100.0;-0.122085;41.386887
F1_6;100.0;0.488341;36.625564
F1_6;100.0;-1.098767;47.613233
F1_6;100.0;-0.610426;41.875228
F1_6;100.0;-0.854596;43.828592
F1_6;100.0;-0.976682;43.218166
F1_6;100.0;0.976682;36.747649
F1_6;100.0;-0.854596;32.963008
F1_6;100.0;-0.976682;39.677694
F1_6;100.0;-1.465023;43.706506
F1_6;100.0;0.732511;15.626907
F1_6;100.0;-0.122085;40.04395
F1_6;100.0;1.465023;18.312782
F1_6;100.0;0.610426;39.189354
F1_6;100.0;-0.122085;32.108411
F1_6;100.0;0.610426;25.882065
F1_6;100.0;1.098767;31.497985
F1_6;100.0;0.976682;41.508973
F1_6;100.0;1.220852;45.537785
F1_6;100.0;0.610426;44.561103
F1_6;100.0;-0.488341;41.508973
F1_6;100.0;1.831278;51.397875
F1_6;100.0;1.220852;44.805273
F1_6;100.0;0.366256;26.126236
F1_6;100.0;-0.854596;37.358075
F1_6;100.0;-2.197534;33.695519
F1_6;100.0;-0.610426;38.090587
F1_6;100.0;1.220852;39.189354
F1_6;100.0;-0.122085;27.713344
F1_6;100.0;-0.488341;38.090587
F1_6;100.0;-1.342937;26.858747
F1_6;100.0;1.587108;37.724331
F1_6;100.0;0.0;34.550115
F1_6;100.0;0.0;52.374557
F1_6;100.0;0.854596;34.18386
F1_6;100.0;0.610426;28.934196
F1_6;100.0;-0.488341;42.729825
F1_6;100.0;0.366256;21.242827
F1_6;100.0;-1.709193;52.984983
F1_6;100.0;0.610426;39.677694
F1_6;100.0;-1.098767;26.370406
F1_6;100.0;-0.24417;43.218166
F1_6;100.0;-1.220852;50.543278
F1_6;100.0;-2.563789;24.294958
F1_6;100.0;-0.122085;39.067268
F1_6;100.0;0.122085;40.04395
F1_6;100.0;-0.854596;29.178366
F1_6;100.0;1.098767;40.776461
F1_6;100.0;-0.366256;41.997313
F1_6;100.0;0.610426;28.201684
F1_6;100.0;0.976682;29.666707
F1_6;100.0;-0.122085;48.834085
F1_6;100.0;0.488341;27.469173
F1_6;100.0;-0.610426;55.304602
F1_6;100.0;0.488341;33.573434
F1_6;100.0;-0.122085;4.150897
F1_6;100.0;-0.732511;33.695519
F1_6;100.0;-0.366256;42.729825
F1_6;100.0;0.366256;19.89989
F1_6;100.0;0.610426;29.788792
F1_6;100.0;-1.098767;45.90404
F1_6;100.0;0.610426;47.491148
F1_6;100.0;0.732511;31.62007
F1_6;100.0;1.587108;57.38005
F1_6;100.0;2.075449;43.09608
F1_6;100.0;-0.488341;40.410206
F1_6;100.0;-0.610426;47.124892
F1_6;100.0;-1.220852;27.102917
F1_6;100.0;0.610426;19.89989
F1_6;100.0;0.0;36.747649
F1_6;100.0;-0.610426;38.212672
F1_6;100.0;-0.976682;36.869735
F1_6;100.0;0.610426;40.532291
F1_6;100.0;-2.441704;45.171529
F1_6;100.0;1.220852;26.614577
F1_6;100.0;1.465023;26.736662
F1_6;100.0;-0.366256;42.85191
F1_6;100.0;-0.488341;28.934196
F1_6;100.0;0.366256;28.201684
F1_6;100.0;-0.24417;27.835429
F1_6;100.0;0.610426;49.444512
F1_6;100.0;1.220852;39.921865
F1_6;100.0;0.0;41.508973
F1_6;100.0;0.976682;47.857404
F1_6;100.0;0.854596;43.09608
F1_6;100.0;0.0;32.108411
F1_6;100.0;1.587108;38.456842
F1_6;100.0;0.976682;33.695519
F1_6;100.0;0.366256;22.70785
F1_6;100.0;0.488341;38.334757
F1_6;100.0;0.366256;20.14406
F1_6;100.0;2.80796;38.578928
F1_6;100.0;-0.122085;42.363569
F1_6;100.0;-0.488341;30.765474
F1_6;100.0;1.098767;42.485654
F1_6;100.0;0.610426;47.124892
F1_6;100.0;0.0;21.486998
F1_6;100.0;2.441704;47.369063
F1_6;100.0;-1.587108;44.194847
F1_6;100.0;-0.854596;26.736662
F1_6;100.0;0.122085;26.858747
F1_6;100.0;0.976682;45.537785
F1_6;100.0;0.122085;43.706506
F1_6;100.0;-0.732511;21.853253
F1_6;100.0;-3.05213;33.085093
F1_6;100.0;1.098767;38.090587
F1_6;100.0;-1.831278;20.388231
F1_6;100.0;1.220852;53.961664
F1_6;100.0;0.366256;36.625564
F1_6;100.0;-0.732511;39.555609
F1_6;100.0;-0.24417;43.462336
F1_6;100.0;1.098767;43.706506
F1_6;100.0;-0.24417;43.828592
F1_6;100.0;-0.24417;25.51581
F1_6;100.0;-0.732511;42.485654
F1_6;100.0;1.465023;25.393724
F1_6;100.0;1.098767;41.875228
F1_6;100.0;0.122085;36.381394
F1_6;100.0;-0.488341;53.717494
F1_6;100.0;-0.366256;38.823098
F1_6;100.0;-0.488341;21.731168
F1_6;100.0;-0.122085;40.04395
F1_6;100.0;-0.488341;14.406055
F1_6;100.0;1.465023;29.666707
F1_6;100.0;-0.24417;20.510316
F1_6;100.0;-0.122085;37.968501
F1_6;100.0;1.220852;20.14406
F1_6;100.0;0.610426;43.584421
F1_6;100.0;0.366256;33.451349
F1_6;100.0;0.854596;41.875228
F1_6;100.0;0.24417;39.189354
F1_6;100.0;-1.465023;34.061775
F1_6;100.0;-0.732511;40.776461
F1_6;100.0;0.24417;35.160542
F1_6;100.0;0.732511;42.60774
F1_6;100.0;-0.122085;31.253815
F1_6;100.0;-0.976682;23.928702
F1_6;100.0;-0.488341;40.166035
F1_6;100.0;-0.488341;22.70785
F1_6;100.0;0.854596;40.898547
F1_6;100.0;-1.220852;16.481504
F1_6;100.0;1.220852;36.747649
F1_6;100.0;-1.220852;31.009644
F1_6;100.0;-1.220852;35.038456
F1_6;100.0;-0.488341;36.015138
F1_6;100.0;-1.098767;42.85191
F1_6;100.0;-0.488341;38.212672
F1_6;100.0;1.709193;38.578928
F1_6;100.0;-0.610426;46.148211
F1_6;100.0;0.854596;29.056281
F1_6;100.0;-0.610426;48.46783
F1_6;100.0;0.610426;23.928702
F1_6;100.0;-1.587108;30.521303
F1_6;100.0;0.488341;29.788792
F1_6;100.0;0.488341;45.65987
F1_6;100.0;0.610426;33.207178
F1_6;100.0;1.342937;54.450005
F1_6;100.0;-0.122085;36.259308
F1_6;100.0;-1.709193;40.410206
F1_6;100.0;0.732511;44.316933
F1_6;100.0;-0.488341;21.609083
F1_6;100.0;1.587108;38.334757
F1_6;100.0;0.366256;35.038456
F1_6;100.0;0.122085;30.765474
F1_6;100.0;-0.122085;44.805273
F1_6;100.0;-0.24417;42.119399
F1_6;100.0;-0.24417;28.201684
F1_6;100.0;-1.465023;39.433524
F1_6;100.0;0.610426;20.632401
F1_6;100.0;0.122085;35.160542
F1_6;100.0;-0.976682;43.09608
F1_6;100.0;0.854596;45.293614
F1_6;100.0;-0.610426;46.270296
F1_6;100.0;0.366256;7.935539
F1_6;100.0;0.122085;39.79978
F1_6;100.0;0.732511;25.393724
F1_6;100.0;1.342937;28.079599
F1_6;100.0;0.488341;39.555609
F1_6;100.0;1.098767;37.846416
F1_6;100.0;-0.976682;26.492491
F1_6;100.0;-0.366256;38.945183
F1_6;100.0;1.098767;21.975338
F1_6;100.0;-0.488341;45.415699
F1_6;100.0;-1.098767;41.508973
F1_6;100.0;-0.854596;47.124892
F1_6;100.0;-2.197534;38.212672
F1_6;100.0;0.854596;15.993163
F1_6;100.0;-0.854596;34.42803
F1_6;100.0;0.488341;38.578928
F1_6;100.0;1.831278;45.537785
F1_6;100.0;-0.24417;49.322426
F1_6;100.0;1.098767;20.876572
F1_6;100.0;-0.976682;36.381394
F1_6;100.0;0.122085;41.386887
F1_6;100.0;-0.24417;16.603589
F1_6;100.0;1.098767;43.584421
F1_6;100.0;0.122085;31.742156
F1_6;100.0;0.976682;25.149554
F1_6;100.0;-2.80796;39.311439
F1_6;100.0;-0.488341;32.596752
F1_6;100.0;-1.098767;19.533634
F1_6;100.0;0.366256;44.316933
F1_6;100.0;-1.098767;41.997313
F1_6;100.0;0.610426;18.190697
F1_6;100.0;0.488341;53.107068
