Sample;Frequency (GHz);LG (mV);HG (mV)
G2_19;100.0;1.709193;25.51581
G2_19;100.0;0.732511;17.3361
G2_19;100.0;-0.24417;27.957514
G2_19;100.0;0.24417;19.411549
G2_19;100.0;0.24417;22.097424
G2_19;100.0;0.366256;4.395068
G2_19;100.0;-0.610426;33.573434
G2_19;100.0;-2.319619;6.470516
G2_19;100.0;1.587108;14.406055
G2_19;100.0;-0.854596;11.109754
G2_19;100.0;0.488341;18.434867
G2_19;100.0;-1.465023;4.272982
G2_19;100.0;-1.342937;26.736662
G2_19;100.0;-0.122085;10.865584
G2_19;100.0;0.610426;18.190697
G2_19;100.0;1.709193;15.626907
G2_19;100.0;1.098767;24.783298
G2_19;100.0;1.342937;9.278476
G2_19;100.0;0.976682;32.718837
G2_19;100.0;-0.488341;28.201684
G2_19;100.0;0.610426;28.32377
G2_19;100.0;0.488341;26.980832
G2_19;100.0;-0.366256;-1.220852
G2_19;100.0;-0.122085;14.0398
G2_19;100.0;0.0;13.551459
G2_19;100.0;-0.122085;26.248321
G2_19;100.0;1.465023;25.027469
G2_19;100.0;-0.610426;26.492491
G2_19;100.0;0.366256;14.406055
G2_19;100.0;0.610426;29.544622
G2_19;100.0;-0.366256;30.521303
G2_19;100.0;-0.122085;29.910877
G2_19;100.0;-0.610426;16.725674
G2_19;100.0;-0.488341;0.122085
G2_19;100.0;-0.366256;21.364912
G2_19;100.0;0.488341;8.057624
G2_19;100.0;1.953363;19.289464
G2_19;100.0;-1.831278;16.237333
G2_19;100.0;0.732511;18.312782
G2_19;100.0;-0.366256;4.761323
G2_19;100.0;0.122085;18.923208
G2_19;100.0;-0.488341;5.493835
G2_19;100.0;0.732511;23.562446
G2_19;100.0;-0.732511;17.458186
G2_19;100.0;0.366256;28.934196
G2_19;100.0;0.488341;20.021975
G2_19;100.0;-0.366256;11.964351
G2_19;100.0;-0.24417;22.463679
G2_19;100.0;0.854596;7.080942
G2_19;100.0;-0.366256;26.492491
G2_19;100.0;-0.366256;8.179709
G2_19;100.0;-0.122085;19.411549
G2_19;100.0;-1.342937;-2.80796
G2_19;100.0;-0.122085;17.458186
G2_19;100.0;0.488341;12.696862
G2_19;100.0;0.854596;26.980832
G2_19;100.0;-0.610426;4.272982
G2_19;100.0;0.488341;14.161885
G2_19;100.0;1.831278;11.964351
G2_19;100.0;-0.488341;23.684531
G2_19;100.0;-0.488341;6.348431
G2_19;100.0;1.098767;27.591258
G2_19;100.0;-0.24417;10.010988
G2_19;100.0;-0.610426;14.0398
G2_19;100.0;-0.610426;7.935539
G2_19;100.0;0.610426;22.95202
G2_19;100.0;-0.24417;12.086436
G2_19;100.0;-0.366256;25.882065
G2_19;100.0;0.976682;17.458186
G2_19;100.0;-0.732511;32.230496
G2_19;100.0;-1.220852;20.510316
G2_19;100.0;0.976682;5.127579
G2_19;100.0;0.976682;28.32377
G2_19;100.0;-0.366256;28.445855
G2_19;100.0;-0.122085;16.847759
G2_19;100.0;0.122085;27.225003
G2_19;100.0;0.732511;5.127579
G2_19;100.0;-0.488341;15.626907
G2_19;100.0;-2.80796;8.179709
G2_19;100.0;0.24417;16.359419
G2_19;100.0;-0.732511;15.016481
G2_19;100.0;0.24417;26.248321
G2_19;100.0;1.709193;19.289464
G2_19;100.0;1.098767;6.592602
G2_19;100.0;-0.732511;24.905384
G2_19;100.0;-1.709193;15.748993
G2_19;100.0;-0.24417;18.312782
G2_19;100.0;-0.24417;-0.854596
G2_19;100.0;0.24417;20.388231
G2_19;100.0;-1.098767;19.045293
G2_19;100.0;-0.976682;26.126236
G2_19;100.0;-0.24417;19.045293
G2_19;100.0;0.732511;27.102917
G2_19;100.0;-1.342937;18.801123
G2_19;100.0;0.366256;27.835429
G2_19;100.0;0.366256;17.214015
G2_19;100.0;1.342937;35.648882
G2_19;100.0;-0.24417;18.190697
G2_19;100.0;-0.732511;37.968501
G2_19;100.0;-1.587108;16.237333
G2_19;100.0;0.732511;32.474667
G2_19;100.0;0.488341;22.585765
G2_19;100.0;-1.220852;14.650226
G2_19;100.0;-0.366256;27.957514
G2_19;100.0;1.587108;12.818947
G2_19;100.0;1.953363;25.51581
G2_19;100.0;0.366256;8.057624
G2_19;100.0;0.854596;18.801123
G2_19;100.0;1.465023;11.47601
G2_19;100.0;0.488341;14.894396
G2_19;100.0;0.610426;2.685875
G2_19;100.0;-0.610426;9.522647
G2_19;100.0;0.732511;10.010988
G2_19;100.0;1.465023;17.946526
G2_19;100.0;0.122085;7.447198
G2_19;100.0;-0.732511;28.690025
G2_19;100.0;-1.098767;29.666707
