Sample;Frequency (GHz);LG (mV);HG (mV)
H5_50;100.0;-0.122085;34.916371
H5_50;100.0;1.342937;25.027469
H5_50;100.0;-0.24417;40.166035
H5_50;100.0;1.709193;31.986326
H5_50;100.0;0.732511;15.504822
H5_50;100.0;1.831278;25.637895
H5_50;100.0;0.0;23.928702
H5_50;100.0;-0.976682;31.986326
H5_50;100.0;3.174216;12.574777
H5_50;100.0;-0.366256;20.876572
H5_50;100.0;1.220852;5.982175
H5_50;100.0;-0.732511;25.637895
H5_50;100.0;0.24417;18.312782
H5_50;100.0;0.976682;23.806617
H5_50;100.0;-0.488341;10.987669
H5_50;100.0;-0.610426;37.480161
H5_50;100.0;-0.366256;23.928702
H5_50;100.0;0.0;36.137223
H5_50;100.0;1.831278;18.190697
H5_50;100.0;1.342937;40.776461
H5_50;100.0;0.488341;29.056281
H5_50;100.0;1.465023;37.358075
H5_50;100.0;-0.122085;28.32377
H5_50;100.0;-0.610426;18.923208
H5_50;100.0;-2.319619;31.497985
H5_50;100.0;-0.24417;11.842266
H5_50;100.0;0.0;29.056281
H5_50;100.0;0.0;8.66805
H5_50;100.0;0.24417;22.70785
H5_50;100.0;0.610426;20.754486
H5_50;100.0;0.122085;30.521303
H5_50;100.0;0.0;27.347088
H5_50;100.0;1.831278;9.400561
H5_50;100.0;-0.610426;29.910877
H5_50;100.0;1.709193;13.551459
H5_50;100.0;-0.976682;26.370406
H5_50;100.0;0.122085;10.987669
H5_50;100.0;-1.098767;43.706506
H5_50;100.0;-0.366256;22.829935
H5_50;100.0;1.342937;34.916371
H5_50;100.0;-1.587108;33.207178
H5_50;100.0;-1.220852;41.753143
H5_50;100.0;0.610426;40.04395
H5_50;100.0;2.441704;16.603589
H5_50;100.0;0.488341;26.980832
H5_50;100.0;0.854596;16.237333
H5_50;100.0;-0.854596;22.341594
H5_50;100.0;0.0;5.371749
H5_50;100.0;2.075449;23.562446
H5_50;100.0;1.098767;10.133073
H5_50;100.0;-1.465023;30.277133
H5_50;100.0;-0.976682;24.417043
H5_50;100.0;-1.831278;36.869735
H5_50;100.0;0.122085;28.32377
H5_50;100.0;1.709193;27.713344
H5_50;100.0;0.976682;35.160542
H5_50;100.0;1.587108;37.480161
H5_50;100.0;1.098767;26.980832
H5_50;100.0;-0.122085;28.079599
H5_50;100.0;-0.732511;33.207178
H5_50;100.0;0.976682;28.81211
H5_50;100.0;0.366256;41.508973
H5_50;100.0;-0.732511;21.975338
H5_50;100.0;-0.732511;28.079599
H5_50;100.0;-2.197534;11.47601
H5_50;100.0;-0.488341;25.393724
H5_50;100.0;-0.854596;24.661213
H5_50;100.0;-0.24417;28.201684
H5_50;100.0;-0.488341;29.422536
H5_50;100.0;0.976682;40.898547
H5_50;100.0;-1.709193;31.131729
H5_50;100.0;1.342937;42.973995
H5_50;100.0;-1.587108;19.167379
H5_50;100.0;1.342937;31.742156
H5_50;100.0;0.0;22.70785
H5_50;100.0;-0.122085;17.3361
H5_50;100.0;-0.122085;31.497985
H5_50;100.0;0.610426;13.551459
H5_50;100.0;-0.854596;30.277133
H5_50;100.0;0.610426;10.987669
H5_50;100.0;0.610426;34.794286
H5_50;100.0;-0.24417;23.074105
H5_50;100.0;-0.122085;36.381394
H5_50;100.0;1.709193;27.957514
H5_50;100.0;0.366256;15.626907
H5_50;100.0;0.366256;35.648882
H5_50;100.0;-0.976682;14.0398
H5_50;100.0;0.24417;32.230496
H5_50;100.0;-0.366256;13.185203
H5_50;100.0;0.732511;31.62007
H5_50;100.0;0.0;15.138566
H5_50;100.0;0.488341;21.975338
H5_50;100.0;-1.342937;18.068612
H5_50;100.0;0.732511;31.986326
H5_50;100.0;-1.342937;23.074105
H5_50;100.0;0.488341;34.916371
H5_50;100.0;-0.732511;23.928702
