Sample;Frequency (GHz);LG (mV);HG (mV)
I1_9;100.0;1.220852;38.823098
I1_9;100.0;-0.488341;33.451349
I1_9;100.0;0.732511;36.137223
I1_9;100.0;1.098767;23.440361
I1_9;100.0;0.854596;32.596752
I1_9;100.0;0.854596;12.208521
I1_9;100.0;0.24417;27.469173
I1_9;100.0;1.342937;31.62007
I1_9;100.0;0.732511;19.777805
I1_9;100.0;0.0;33.329263
I1_9;100.0;-0.854596;22.219509
I1_9;100.0;-0.610426;25.027469
I1_9;100.0;-0.24417;26.736662
I1_9;100.0;0.24417;40.04395
I1_9;100.0;-0.610426;24.905384
I1_9;100.0;0.24417;40.898547
I1_9;100.0;-0.610426;38.945183
I1_9;100.0;0.366256;41.264802
I1_9;100.0;1.342937;44.683188
I1_9;100.0;-0.24417;15.748993
I1_9;100.0;0.0;40.04395
I1_9;100.0;0.854596;17.946526
I1_9;100.0;0.122085;32.108411
I1_9;100.0;0.0;15.993163
I1_9;100.0;-0.610426;28.934196
I1_9;100.0;-0.976682;25.393724
I1_9;100.0;1.953363;41.875228
I1_9;100.0;-1.220852;34.916371
I1_9;100.0;-0.366256;32.352582
I1_9;100.0;-0.366256;44.805273
I1_9;100.0;-0.122085;16.603589
I1_9;100.0;1.098767;36.747649
I1_9;100.0;0.976682;15.016481
I1_9;100.0;-1.342937;26.492491
I1_9;100.0;-0.24417;10.499328
I1_9;100.0;-0.976682;26.126236
I1_9;100.0;0.610426;24.539128
I1_9;100.0;-0.122085;27.591258
I1_9;100.0;-0.732511;27.225003
I1_9;100.0;1.465023;33.451349
I1_9;100.0;0.732511;30.399218
I1_9;100.0;1.342937;45.049444
I1_9;100.0;0.732511;31.497985
I1_9;100.0;1.342937;50.299108
I1_9;100.0;1.342937;35.038456
I1_9;100.0;0.122085;12.208521
I1_9;100.0;0.854596;37.113905
I1_9;100.0;0.854596;36.869735
I1_9;100.0;0.610426;15.138566
I1_9;100.0;0.854596;42.363569
I1_9;100.0;0.24417;48.46783
I1_9;100.0;0.488341;36.503479
I1_9;100.0;-0.976682;24.661213
I1_9;100.0;-2.075449;42.729825
I1_9;100.0;-0.122085;37.23599
I1_9;100.0;2.441704;20.14406
I1_9;100.0;-2.075449;38.212672
I1_9;100.0;-0.122085;37.23599
I1_9;100.0;0.24417;38.823098
I1_9;100.0;-0.488341;33.817604
I1_9;100.0;-1.709193;33.939689
I1_9;100.0;0.122085;46.758637
I1_9;100.0;0.122085;42.363569
I1_9;100.0;-1.342937;21.609083
I1_9;100.0;0.488341;43.584421
I1_9;100.0;1.342937;28.690025
I1_9;100.0;-0.366256;17.702356
I1_9;100.0;0.976682;37.23599
I1_9;100.0;-0.366256;40.898547
I1_9;100.0;1.098767;27.347088
I1_9;100.0;2.075449;41.020632
I1_9;100.0;1.831278;36.99182
I1_9;100.0;-0.854596;24.661213
I1_9;100.0;0.366256;20.510316
I1_9;100.0;0.976682;32.108411
I1_9;100.0;0.122085;17.702356
I1_9;100.0;1.342937;48.345745
I1_9;100.0;-1.220852;40.532291
I1_9;100.0;0.854596;27.835429
I1_9;100.0;-1.465023;40.04395
I1_9;100.0;0.122085;30.032963
I1_9;100.0;-0.366256;32.230496
I1_9;100.0;0.854596;17.580271
I1_9;100.0;1.587108;33.939689
I1_9;100.0;0.122085;33.329263
I1_9;100.0;-0.24417;20.388231
I1_9;100.0;0.366256;34.061775
I1_9;100.0;0.976682;35.648882
I1_9;100.0;-0.366256;15.748993
I1_9;100.0;-1.342937;33.695519
I1_9;100.0;0.610426;35.526797
I1_9;100.0;-0.122085;15.993163
I1_9;100.0;0.0;23.440361
I1_9;100.0;2.197534;22.95202
I1_9;100.0;-0.24417;23.928702
I1_9;100.0;-0.610426;33.939689
I1_9;100.0;-0.854596;40.654376
I1_9;100.0;-0.854596;50.787449
I1_9;100.0;-0.366256;32.596752
I1_9;100.0;0.0;32.963008
I1_9;100.0;0.24417;33.817604
I1_9;100.0;0.976682;18.923208
I1_9;100.0;-0.366256;34.550115
I1_9;100.0;0.366256;18.923208
I1_9;100.0;-1.831278;39.79978
I1_9;100.0;-0.976682;32.352582
I1_9;100.0;-1.098767;30.155048
I1_9;100.0;0.366256;49.566597
I1_9;100.0;0.488341;33.207178
I1_9;100.0;0.24417;19.411549
I1_9;100.0;0.0;34.305945
I1_9;100.0;0.0;24.905384
I1_9;100.0;0.366256;37.358075
I1_9;100.0;-2.319619;26.248321
I1_9;100.0;-1.342937;35.404712
I1_9;100.0;-0.976682;31.986326
I1_9;100.0;0.488341;46.270296
I1_9;100.0;0.122085;31.62007
I1_9;100.0;0.24417;49.200341
I1_9;100.0;0.366256;34.794286
I1_9;100.0;0.488341;48.46783
I1_9;100.0;0.366256;41.508973
I1_9;100.0;-1.098767;45.049444
I1_9;100.0;0.610426;33.207178
I1_9;100.0;-0.488341;21.120742
I1_9;100.0;0.488341;42.729825
I1_9;100.0;-0.610426;12.941033
I1_9;100.0;0.122085;33.207178
I1_9;100.0;-0.488341;24.905384
I1_9;100.0;-1.709193;38.090587
I1_9;100.0;-1.831278;47.491148
I1_9;100.0;0.732511;16.359419
I1_9;100.0;-0.122085;41.875228
I1_9;100.0;0.24417;20.754486
I1_9;100.0;-0.122085;37.602246
I1_9;100.0;1.953363;26.004151
I1_9;100.0;-0.610426;42.119399
I1_9;100.0;0.122085;33.817604
I1_9;100.0;0.732511;37.358075
I1_9;100.0;0.0;37.602246
I1_9;100.0;-0.854596;15.626907
I1_9;100.0;-0.122085;36.259308
I1_9;100.0;-1.098767;28.32377
I1_9;100.0;0.0;39.189354
I1_9;100.0;-0.488341;31.253815
I1_9;100.0;0.0;11.964351
I1_9;100.0;-0.976682;30.887559
I1_9;100.0;1.831278;26.126236
I1_9;100.0;1.587108;42.729825
I1_9;100.0;0.366256;39.189354
I1_9;100.0;-0.24417;29.056281
I1_9;100.0;0.610426;46.880722
I1_9;100.0;-0.854596;12.574777
I1_9;100.0;0.610426;32.230496
I1_9;100.0;-1.953363;20.510316
I1_9;100.0;-0.854596;38.090587
I1_9;100.0;0.976682;43.09608
I1_9;100.0;0.732511;38.945183
I1_9;100.0;-0.24417;41.997313
I1_9;100.0;-1.342937;22.829935
I1_9;100.0;0.366256;35.282627
I1_9;100.0;0.24417;12.574777
I1_9;100.0;1.098767;33.085093
I1_9;100.0;-0.854596;18.068612
I1_9;100.0;2.319619;29.544622
I1_9;100.0;0.610426;29.910877
I1_9;100.0;2.319619;48.956171
I1_9;100.0;-0.610426;31.864241
I1_9;100.0;1.465023;37.602246
I1_9;100.0;0.976682;37.968501
I1_9;100.0;-0.732511;24.172872
I1_9;100.0;-1.098767;42.729825
I1_9;100.0;-0.24417;12.330607
I1_9;100.0;-0.488341;38.456842
I1_9;100.0;-0.24417;17.3361
I1_9;100.0;-0.854596;41.142717
