Sample;Frequency (GHz);LG (mV);HG (mV)
J2_22;100.0;-0.488341;16.725674
J2_22;100.0;-0.122085;11.842266
J2_22;100.0;0.732511;32.596752
J2_22;100.0;0.732511;9.888902
J2_22;100.0;0.488341;25.393724
J2_22;100.0;-0.24417;8.179709
J2_22;100.0;-1.220852;23.806617
J2_22;100.0;-1.587108;14.28397
J2_22;100.0;-0.610426;27.347088
J2_22;100.0;-0.610426;21.242827
J2_22;100.0;-0.366256;26.736662
J2_22;100.0;0.488341;15.382737
J2_22;100.0;1.098767;23.440361
J2_22;100.0;0.854596;15.626907
J2_22;100.0;0.610426;22.097424
J2_22;100.0;0.854596;11.109754
J2_22;100.0;-0.24417;33.085093
J2_22;100.0;1.587108;0.0
J2_22;100.0;-0.854596;28.32377
J2_22;100.0;-0.488341;3.784642
J2_22;100.0;0.366256;20.388231
J2_22;100.0;1.220852;16.237333
J2_22;100.0;0.24417;22.70785
J2_22;100.0;0.0;9.644732
J2_22;100.0;-0.24417;20.998657
J2_22;100.0;0.0;11.842266
J2_22;100.0;0.854596;14.406055
J2_22;100.0;-0.122085;6.714687
J2_22;100.0;-0.24417;34.42803
J2_22;100.0;1.709193;10.499328
J2_22;100.0;-0.610426;30.155048
J2_22;100.0;0.610426;11.47601
J2_22;100.0;0.610426;29.788792
J2_22;100.0;-0.976682;13.551459
J2_22;100.0;0.366256;37.602246
J2_22;100.0;0.0;16.725674
J2_22;100.0;-0.610426;32.230496
J2_22;100.0;-0.366256;41.020632
J2_22;100.0;-0.732511;22.463679
J2_22;100.0;-0.122085;34.550115
J2_22;100.0;0.854596;19.167379
J2_22;100.0;-0.854596;26.736662
J2_22;100.0;0.488341;23.440361
J2_22;100.0;-0.732511;31.131729
J2_22;100.0;-0.854596;18.434867
J2_22;100.0;0.366256;14.406055
J2_22;100.0;-0.610426;12.818947
J2_22;100.0;2.075449;26.248321
J2_22;100.0;0.488341;6.836772
J2_22;100.0;0.976682;19.045293
J2_22;100.0;0.976682;2.197534
J2_22;100.0;0.366256;26.370406
J2_22;100.0;0.122085;10.743499
J2_22;100.0;-1.342937;27.102917
J2_22;100.0;-0.122085;-0.610426
J2_22;100.0;-0.366256;22.95202
J2_22;100.0;-0.366256;19.167379
J2_22;100.0;-0.24417;28.445855
J2_22;100.0;-0.854596;8.179709
J2_22;100.0;-1.220852;26.126236
J2_22;100.0;1.465023;21.609083
J2_22;100.0;0.366256;26.370406
J2_22;100.0;-2.441704;13.551459
J2_22;100.0;0.24417;30.399218
J2_22;100.0;1.587108;6.348431
J2_22;100.0;0.976682;16.115248
J2_22;100.0;0.488341;2.685875
J2_22;100.0;-1.098767;22.219509
J2_22;100.0;0.122085;12.696862
J2_22;100.0;-0.732511;19.89989
J2_22;100.0;0.732511;11.720181
J2_22;100.0;0.0;20.632401
J2_22;100.0;-0.488341;15.993163
J2_22;100.0;-0.488341;23.562446
J2_22;100.0;-0.122085;10.621414
J2_22;100.0;-1.098767;28.690025
J2_22;100.0;1.220852;10.133073
J2_22;100.0;-1.709193;31.3759
J2_22;100.0;-0.488341;24.661213
J2_22;100.0;-0.732511;28.934196
J2_22;100.0;0.488341;27.713344
J2_22;100.0;-1.465023;25.027469
J2_22;100.0;2.319619;29.910877
J2_22;100.0;-1.098767;22.829935
J2_22;100.0;0.610426;20.510316
J2_22;100.0;0.732511;11.720181
J2_22;100.0;0.122085;25.149554
J2_22;100.0;0.610426;23.684531
J2_22;100.0;-0.122085;25.393724
J2_22;100.0;1.220852;6.470516
J2_22;100.0;0.488341;24.050787
J2_22;100.0;-0.854596;12.696862
J2_22;100.0;0.976682;27.469173
J2_22;100.0;0.610426;13.063118
J2_22;100.0;-0.976682;31.742156
J2_22;100.0;0.366256;13.429374
J2_22;100.0;0.366256;32.596752
J2_22;100.0;0.122085;16.237333
J2_22;100.0;-0.122085;25.75998
J2_22;100.0;0.0;13.429374
J2_22;100.0;-0.122085;23.440361
J2_22;100.0;0.366256;7.691368
J2_22;100.0;1.831278;23.318276
J2_22;100.0;1.098767;13.917714
J2_22;100.0;-1.953363;30.155048
J2_22;100.0;0.122085;12.330607
J2_22;100.0;-0.488341;28.56794
J2_22;100.0;0.854596;33.085093
J2_22;100.0;-0.732511;29.178366
J2_22;100.0;0.488341;24.905384
J2_22;100.0;-0.24417;29.544622
J2_22;100.0;-0.122085;20.266145
J2_22;100.0;1.587108;28.81211
J2_22;100.0;-0.122085;13.307288
J2_22;100.0;-0.122085;22.70785
J2_22;100.0;-1.220852;0.732511
J2_22;100.0;1.709193;18.434867
J2_22;100.0;-1.709193;15.871078
J2_22;100.0;0.488341;29.910877
J2_22;100.0;0.0;0.488341
J2_22;100.0;0.976682;27.225003
J2_22;100.0;-1.709193;13.917714
J2_22;100.0;0.976682;27.469173
J2_22;100.0;1.220852;21.120742
J2_22;100.0;-0.976682;27.102917
J2_22;100.0;-1.098767;28.690025
J2_22;100.0;1.220852;26.370406
J2_22;100.0;0.366256;33.573434
J2_22;100.0;0.488341;26.614577
J2_22;100.0;0.732511;36.381394
J2_22;100.0;-0.366256;15.504822
J2_22;100.0;-0.24417;29.910877
J2_22;100.0;1.220852;20.510316
J2_22;100.0;0.24417;26.370406
J2_22;100.0;-0.854596;11.109754
J2_22;100.0;-0.488341;23.196191
J2_22;100.0;-1.709193;21.120742
J2_22;100.0;0.610426;21.242827
J2_22;100.0;-0.122085;18.434867
J2_22;100.0;0.24417;15.871078
J2_22;100.0;0.366256;7.325113
J2_22;100.0;-0.610426;26.126236
J2_22;100.0;0.732511;17.458186
J2_22;100.0;-0.610426;26.614577
J2_22;100.0;-0.976682;14.161885
J2_22;100.0;-1.587108;28.56794
J2_22;100.0;0.366256;10.133073
J2_22;100.0;0.0;31.864241
J2_22;100.0;-0.366256;17.702356
J2_22;100.0;-0.24417;29.178366
J2_22;100.0;1.220852;31.986326
J2_22;100.0;-0.732511;30.887559
J2_22;100.0;0.0;31.253815
J2_22;100.0;-1.587108;24.294958
J2_22;100.0;2.075449;31.131729
J2_22;100.0;1.587108;27.102917
J2_22;100.0;0.122085;19.289464
J2_22;100.0;-0.122085;18.190697
J2_22;100.0;1.098767;29.422536
J2_22;100.0;2.441704;13.551459
J2_22;100.0;0.24417;22.341594
J2_22;100.0;0.366256;14.772311
J2_22;100.0;-1.587108;29.910877
J2_22;100.0;0.976682;22.463679
J2_22;100.0;1.220852;34.794286
J2_22;100.0;-0.732511;23.928702
J2_22;100.0;0.366256;44.072762
J2_22;100.0;0.0;25.393724
J2_22;100.0;0.610426;27.591258
J2_22;100.0;-0.732511;30.155048
J2_22;100.0;1.709193;24.539128
J2_22;100.0;-0.732511;30.643389
J2_22;100.0;-1.098767;29.178366
J2_22;100.0;-0.732511;20.754486
J2_22;100.0;1.465023;29.910877
J2_22;100.0;0.488341;14.650226
J2_22;100.0;-1.953363;24.905384
J2_22;100.0;-0.610426;13.795629
J2_22;100.0;2.075449;28.32377
J2_22;100.0;1.220852;13.185203
J2_22;100.0;1.220852;20.510316
J2_22;100.0;-0.122085;9.400561
J2_22;100.0;0.0;19.045293
J2_22;100.0;-1.220852;1.220852
J2_22;100.0;0.122085;24.661213
J2_22;100.0;0.0;11.47601
J2_22;100.0;0.24417;24.905384
J2_22;100.0;-0.122085;13.185203
J2_22;100.0;0.24417;31.864241
J2_22;100.0;-0.366256;15.382737
J2_22;100.0;0.24417;27.835429
J2_22;100.0;0.366256;20.266145
J2_22;100.0;0.122085;23.562446
J2_22;100.0;-0.976682;28.81211
J2_22;100.0;-0.366256;25.51581
J2_22;100.0;0.976682;32.840922
J2_22;100.0;0.610426;19.89989
J2_22;100.0;0.24417;20.754486
J2_22;100.0;-0.366256;17.580271
J2_22;100.0;-1.465023;20.998657
J2_22;100.0;-0.732511;18.679038
J2_22;100.0;0.122085;24.417043
J2_22;100.0;-0.488341;21.731168
J2_22;100.0;-3.662556;26.248321
J2_22;100.0;0.122085;19.167379
J2_22;100.0;-0.610426;24.172872
J2_22;100.0;0.24417;8.42388
J2_22;100.0;0.488341;21.609083
J2_22;100.0;1.709193;-2.563789
J2_22;100.0;-0.488341;26.248321
J2_22;100.0;0.488341;3.174216
J2_22;100.0;0.854596;27.591258
J2_22;100.0;1.342937;15.016481
J2_22;100.0;0.488341;23.318276
J2_22;100.0;0.732511;9.766817
J2_22;100.0;1.220852;22.585765
J2_22;100.0;0.366256;12.941033
J2_22;100.0;-0.366256;26.370406
J2_22;100.0;-0.122085;13.551459
J2_22;100.0;0.122085;31.864241
J2_22;100.0;0.366256;17.09193
J2_22;100.0;-0.976682;31.62007
