Sample;Frequency (GHz);LG (mV);HG (mV)
L4_41;100.0;1.342937;10.255158
L4_41;100.0;0.732511;9.644732
L4_41;100.0;0.122085;17.09193
L4_41;100.0;1.709193;9.888902
L4_41;100.0;1.709193;27.225003
L4_41;100.0;-0.366256;11.353925
L4_41;100.0;-0.976682;10.377243
L4_41;100.0;1.098767;4.028812
L4_41;100.0;-1.220852;17.824441
L4_41;100.0;-0.854596;8.301795
L4_41;100.0;0.24417;15.138566
L4_41;100.0;-0.488341;6.592602
L4_41;100.0;2.441704;17.702356
L4_41;100.0;-0.732511;14.52814
L4_41;100.0;0.0;21.853253
L4_41;100.0;0.488341;11.47601
L4_41;100.0;0.732511;15.626907
L4_41;100.0;2.197534;13.307288
L4_41;100.0;0.0;13.795629
L4_41;100.0;1.098767;16.725674
L4_41;100.0;-1.953363;5.371749
L4_41;100.0;-0.976682;20.021975
L4_41;100.0;-2.319619;1.831278
L4_41;100.0;0.0;16.237333
L4_41;100.0;2.563789;1.465023
L4_41;100.0;0.976682;11.47601
L4_41;100.0;0.122085;7.325113
L4_41;100.0;-1.342937;4.272982
L4_41;100.0;0.610426;-5.249664
L4_41;100.0;0.732511;8.179709
L4_41;100.0;-1.220852;-1.953363
L4_41;100.0;0.122085;9.278476
L4_41;100.0;-0.24417;-4.639238
L4_41;100.0;0.976682;10.010988
L4_41;100.0;0.732511;-1.342937
L4_41;100.0;0.0;9.888902
L4_41;100.0;0.24417;0.24417
L4_41;100.0;-0.24417;26.370406
L4_41;100.0;-1.831278;14.650226
L4_41;100.0;-0.24417;-0.488341
L4_41;100.0;-1.465023;15.993163
L4_41;100.0;0.488341;-5.61592
L4_41;100.0;0.366256;13.673544
L4_41;100.0;0.366256;2.930045
L4_41;100.0;0.854596;23.074105
L4_41;100.0;-0.976682;-10.743499
L4_41;100.0;-0.366256;17.3361
L4_41;100.0;0.732511;-4.761323
L4_41;100.0;-0.122085;7.203028
L4_41;100.0;0.732511;1.709193
L4_41;100.0;0.0;14.0398
L4_41;100.0;0.610426;-0.732511
L4_41;100.0;-1.220852;7.935539
L4_41;100.0;-0.488341;0.854596
L4_41;100.0;0.854596;7.935539
L4_41;100.0;-0.24417;-0.24417
L4_41;100.0;-0.610426;20.14406
L4_41;100.0;-0.976682;-5.493835
L4_41;100.0;1.098767;9.400561
L4_41;100.0;-0.976682;-0.610426
L4_41;100.0;2.075449;11.47601
L4_41;100.0;0.0;0.488341
L4_41;100.0;-1.465023;5.738005
L4_41;100.0;-1.953363;1.953363
L4_41;100.0;1.098767;10.743499
