Sample;Frequency (GHz);LG (mV);HG (mV)
O3_36;100.0;-0.610426;36.259308
O3_36;100.0;-0.24417;11.598095
O3_36;100.0;1.098767;26.492491
O3_36;100.0;-0.122085;20.14406
O3_36;100.0;0.24417;39.189354
O3_36;100.0;-0.366256;33.817604
O3_36;100.0;0.732511;32.596752
O3_36;100.0;-0.610426;31.62007
O3_36;100.0;0.0;8.545965
O3_36;100.0;0.610426;24.294958
O3_36;100.0;0.488341;28.56794
O3_36;100.0;0.610426;37.968501
O3_36;100.0;0.610426;25.51581
O3_36;100.0;0.122085;27.225003
O3_36;100.0;0.122085;30.277133
O3_36;100.0;-0.488341;19.289464
O3_36;100.0;-0.854596;22.219509
O3_36;100.0;-0.122085;44.439018
O3_36;100.0;1.220852;10.621414
O3_36;100.0;1.831278;40.776461
O3_36;100.0;-0.24417;37.358075
O3_36;100.0;0.24417;18.923208
O3_36;100.0;-0.854596;31.62007
O3_36;100.0;-0.366256;29.544622
O3_36;100.0;-1.465023;14.772311
O3_36;100.0;-0.488341;28.201684
O3_36;100.0;0.122085;22.585765
O3_36;100.0;0.488341;42.85191
O3_36;100.0;0.122085;36.747649
O3_36;100.0;0.732511;11.109754
O3_36;100.0;-0.854596;32.108411
O3_36;100.0;-1.220852;4.272982
O3_36;100.0;1.220852;26.248321
O3_36;100.0;-0.24417;14.161885
O3_36;100.0;0.366256;25.027469
O3_36;100.0;0.610426;7.935539
O3_36;100.0;1.098767;22.097424
O3_36;100.0;-1.342937;17.580271
O3_36;100.0;0.732511;30.765474
O3_36;100.0;0.24417;24.661213
O3_36;100.0;-0.122085;40.654376
O3_36;100.0;1.098767;31.742156
O3_36;100.0;0.24417;15.993163
O3_36;100.0;0.122085;37.968501
O3_36;100.0;-0.366256;13.063118
O3_36;100.0;0.732511;36.015138
O3_36;100.0;-0.122085;13.795629
O3_36;100.0;-0.366256;24.050787
O3_36;100.0;1.465023;36.503479
O3_36;100.0;0.0;35.526797
O3_36;100.0;-0.732511;32.474667
O3_36;100.0;0.0;14.161885
O3_36;100.0;-1.709193;26.492491
O3_36;100.0;-0.488341;9.522647
O3_36;100.0;0.122085;17.946526
O3_36;100.0;0.366256;11.353925
O3_36;100.0;0.366256;24.172872
O3_36;100.0;0.122085;23.074105
O3_36;100.0;-0.366256;24.783298
O3_36;100.0;1.220852;27.347088
O3_36;100.0;0.122085;36.503479
O3_36;100.0;0.24417;34.550115
O3_36;100.0;0.24417;35.404712
O3_36;100.0;0.366256;36.137223
O3_36;100.0;-0.610426;15.504822
O3_36;100.0;-0.366256;27.713344
O3_36;100.0;-0.732511;18.312782
O3_36;100.0;0.976682;29.544622
O3_36;100.0;0.24417;19.655719
O3_36;100.0;0.24417;44.683188
O3_36;100.0;0.366256;30.765474
O3_36;100.0;2.197534;35.648882
O3_36;100.0;-1.220852;33.451349
O3_36;100.0;0.366256;12.696862
O3_36;100.0;-0.24417;25.393724
O3_36;100.0;1.831278;18.434867
O3_36;100.0;-1.342937;32.718837
O3_36;100.0;0.854596;33.329263
O3_36;100.0;-0.732511;47.369063
O3_36;100.0;0.24417;28.690025
O3_36;100.0;-0.732511;43.09608
O3_36;100.0;-0.24417;31.864241
O3_36;100.0;-0.854596;36.503479
O3_36;100.0;1.709193;39.189354
O3_36;100.0;-1.342937;19.045293
O3_36;100.0;0.610426;24.417043
O3_36;100.0;0.976682;10.865584
O3_36;100.0;-1.587108;30.155048
O3_36;100.0;0.0;11.47601
O3_36;100.0;0.732511;25.027469
O3_36;100.0;2.685875;8.179709
O3_36;100.0;0.24417;24.417043
O3_36;100.0;-0.732511;13.307288
O3_36;100.0;0.122085;26.980832
O3_36;100.0;0.0;8.790135
O3_36;100.0;0.24417;35.770968
O3_36;100.0;-0.610426;23.196191
O3_36;100.0;0.0;20.998657
O3_36;100.0;-0.976682;20.388231
O3_36;100.0;-0.488341;35.038456
O3_36;100.0;0.610426;26.492491
O3_36;100.0;-0.732511;32.230496
O3_36;100.0;-0.24417;27.102917
O3_36;100.0;-0.122085;36.747649
O3_36;100.0;0.24417;25.027469
O3_36;100.0;-0.610426;35.526797
O3_36;100.0;0.122085;23.196191
O3_36;100.0;0.24417;38.456842
O3_36;100.0;-0.24417;32.474667
O3_36;100.0;0.610426;31.497985
O3_36;100.0;-0.610426;33.695519
O3_36;100.0;1.098767;28.690025
O3_36;100.0;-0.854596;31.864241
O3_36;100.0;-0.122085;28.81211
O3_36;100.0;-0.24417;33.085093
O3_36;100.0;0.122085;41.631058
O3_36;100.0;-1.342937;36.015138
O3_36;100.0;0.122085;15.016481
O3_36;100.0;1.465023;24.417043
O3_36;100.0;0.732511;12.208521
O3_36;100.0;-0.122085;35.526797
O3_36;100.0;-0.24417;25.027469
O3_36;100.0;2.563789;32.108411
O3_36;100.0;-0.24417;31.742156
O3_36;100.0;-1.220852;36.381394
O3_36;100.0;0.366256;29.300451
O3_36;100.0;0.0;29.544622
O3_36;100.0;-0.976682;38.334757
O3_36;100.0;-1.098767;18.556952
O3_36;100.0;-0.976682;32.108411
O3_36;100.0;-0.732511;25.027469
O3_36;100.0;0.488341;34.916371
O3_36;100.0;0.854596;18.190697
O3_36;100.0;0.366256;30.032963
O3_36;100.0;0.854596;18.434867
O3_36;100.0;0.122085;35.648882
O3_36;100.0;0.122085;15.871078
O3_36;100.0;0.0;26.492491
O3_36;100.0;0.366256;11.964351
O3_36;100.0;-0.976682;28.079599
O3_36;100.0;1.098767;24.783298
O3_36;100.0;0.854596;30.521303
O3_36;100.0;1.587108;8.057624
O3_36;100.0;1.098767;25.149554
O3_36;100.0;0.122085;14.894396
O3_36;100.0;0.488341;27.713344
O3_36;100.0;-0.122085;16.237333
O3_36;100.0;-0.488341;26.126236
O3_36;100.0;-2.319619;15.016481
O3_36;100.0;-0.366256;24.539128
O3_36;100.0;0.122085;22.829935
O3_36;100.0;1.587108;23.318276
O3_36;100.0;-1.342937;12.696862
O3_36;100.0;0.24417;21.242827
O3_36;100.0;1.342937;11.842266
O3_36;100.0;0.366256;28.690025
O3_36;100.0;1.098767;20.632401
O3_36;100.0;0.732511;39.677694
O3_36;100.0;0.976682;21.853253
O3_36;100.0;-0.122085;33.329263
O3_36;100.0;1.465023;24.905384
O3_36;100.0;-1.342937;44.072762
O3_36;100.0;0.976682;28.32377
O3_36;100.0;-0.732511;31.742156
O3_36;100.0;1.098767;29.544622
O3_36;100.0;0.24417;9.888902
O3_36;100.0;0.732511;27.225003
O3_36;100.0;-0.610426;20.266145
O3_36;100.0;0.610426;31.253815
O3_36;100.0;-1.098767;26.492491
O3_36;100.0;0.488341;36.625564
O3_36;100.0;-1.220852;25.51581
O3_36;100.0;-0.122085;35.404712
O3_36;100.0;0.488341;25.75998
O3_36;100.0;0.0;38.945183
O3_36;100.0;-0.732511;31.986326
O3_36;100.0;1.465023;40.288121
O3_36;100.0;-1.098767;23.928702
O3_36;100.0;1.587108;35.038456
O3_36;100.0;0.488341;25.271639
O3_36;100.0;1.465023;36.747649
O3_36;100.0;1.220852;20.998657
O3_36;100.0;0.854596;24.539128
O3_36;100.0;1.098767;28.079599
O3_36;100.0;0.366256;20.021975
O3_36;100.0;-0.24417;21.853253
O3_36;100.0;0.0;12.330607
O3_36;100.0;-1.465023;26.370406
O3_36;100.0;0.488341;14.772311
O3_36;100.0;1.953363;29.300451
O3_36;100.0;0.854596;23.196191
O3_36;100.0;0.0;28.445855
O3_36;100.0;-0.122085;15.504822
O3_36;100.0;1.831278;26.370406
O3_36;100.0;-0.976682;18.679038
O3_36;100.0;-0.976682;33.939689
O3_36;100.0;-0.854596;27.713344
O3_36;100.0;2.563789;38.945183
O3_36;100.0;-0.122085;25.75998
O3_36;100.0;-1.465023;37.480161
O3_36;100.0;-1.098767;33.085093
O3_36;100.0;-0.854596;13.917714
O3_36;100.0;0.610426;30.521303
O3_36;100.0;-0.24417;7.325113
O3_36;100.0;-1.587108;24.417043
O3_36;100.0;-0.976682;11.720181
O3_36;100.0;-1.953363;30.521303
O3_36;100.0;0.0;8.42388
O3_36;100.0;-0.488341;27.957514
O3_36;100.0;-0.122085;31.131729
O3_36;100.0;1.709193;29.666707
O3_36;100.0;-1.342937;40.532291
O3_36;100.0;-1.587108;8.057624
O3_36;100.0;1.709193;26.370406
O3_36;100.0;0.732511;16.115248
O3_36;100.0;-0.732511;23.074105
O3_36;100.0;-0.122085;20.510316
O3_36;100.0;0.488341;31.864241
O3_36;100.0;1.098767;20.998657
O3_36;100.0;-0.122085;38.456842
O3_36;100.0;-1.709193;20.754486
O3_36;100.0;-0.732511;36.747649
O3_36;100.0;1.220852;19.167379
O3_36;100.0;-0.610426;25.882065
O3_36;100.0;-0.732511;18.679038
O3_36;100.0;-0.24417;29.788792
O3_36;100.0;0.854596;24.294958
O3_36;100.0;-0.854596;28.81211
O3_36;100.0;0.0;28.56794
O3_36;100.0;0.24417;34.672201
O3_36;100.0;0.122085;29.300451
