Sample;Frequency (GHz);LG (mV);HG (mV)
A2_13;100.0;0.0;36.625564
A2_13;100.0;-0.488341;17.214015
A2_13;100.0;0.0;35.160542
A2_13;100.0;1.587108;32.840922
A2_13;100.0;2.075449;46.636552
A2_13;100.0;0.732511;32.840922
A2_13;100.0;0.0;37.968501
A2_13;100.0;0.610426;37.23599
A2_13;100.0;0.24417;40.288121
A2_13;100.0;1.098767;35.770968
A2_13;100.0;0.610426;33.817604
A2_13;100.0;0.122085;40.898547
A2_13;100.0;-0.366256;19.533634
A2_13;100.0;0.24417;34.550115
A2_13;100.0;-1.953363;16.237333
A2_13;100.0;1.098767;35.526797
A2_13;100.0;-0.854596;21.364912
A2_13;100.0;0.366256;30.032963
A2_13;100.0;0.976682;13.795629
A2_13;100.0;0.488341;23.928702
A2_13;100.0;0.976682;25.271639
A2_13;100.0;0.976682;33.817604
A2_13;100.0;-1.098767;24.172872
A2_13;100.0;0.488341;29.544622
A2_13;100.0;-1.465023;25.027469
A2_13;100.0;3.05213;39.189354
A2_13;100.0;0.488341;25.149554
A2_13;100.0;1.220852;28.201684
A2_13;100.0;0.24417;36.381394
A2_13;100.0;-0.732511;22.341594
A2_13;100.0;0.976682;33.207178
A2_13;100.0;0.732511;23.196191
A2_13;100.0;-0.976682;28.934196
A2_13;100.0;0.610426;10.499328
A2_13;100.0;0.122085;30.399218
A2_13;100.0;0.488341;25.149554
A2_13;100.0;-0.854596;28.079599
A2_13;100.0;-0.366256;30.643389
A2_13;100.0;1.953363;40.776461
A2_13;100.0;0.24417;28.079599
A2_13;100.0;0.610426;41.875228
A2_13;100.0;-1.342937;24.417043
A2_13;100.0;-1.953363;39.433524
A2_13;100.0;-0.610426;37.480161
A2_13;100.0;1.220852;37.113905
A2_13;100.0;-0.610426;34.42803
A2_13;100.0;1.465023;36.747649
A2_13;100.0;0.24417;29.910877
A2_13;100.0;0.366256;19.289464
A2_13;100.0;-1.709193;27.347088
A2_13;100.0;-0.976682;12.696862
A2_13;100.0;0.976682;30.765474
A2_13;100.0;0.976682;18.190697
A2_13;100.0;-1.831278;29.666707
A2_13;100.0;0.0;22.097424
A2_13;100.0;1.587108;29.788792
A2_13;100.0;1.220852;23.928702
A2_13;100.0;-1.098767;35.770968
A2_13;100.0;1.465023;29.056281
A2_13;100.0;0.732511;26.004151
A2_13;100.0;1.709193;26.370406
A2_13;100.0;0.976682;41.020632
A2_13;100.0;2.075449;19.533634
A2_13;100.0;0.366256;37.358075
A2_13;100.0;-0.24417;31.131729
A2_13;100.0;-1.709193;47.979489
A2_13;100.0;-0.366256;29.788792
A2_13;100.0;0.976682;33.939689
A2_13;100.0;1.465023;33.451349
A2_13;100.0;0.976682;30.399218
A2_13;100.0;-0.854596;35.526797
A2_13;100.0;-0.122085;22.341594
A2_13;100.0;-0.488341;31.253815
A2_13;100.0;1.220852;24.905384
A2_13;100.0;2.441704;24.783298
A2_13;100.0;-0.122085;24.905384
A2_13;100.0;0.610426;42.85191
A2_13;100.0;-0.854596;29.056281
A2_13;100.0;-0.610426;47.369063
A2_13;100.0;0.24417;24.539128
A2_13;100.0;-0.24417;34.305945
A2_13;100.0;1.342937;30.032963
A2_13;100.0;-0.732511;34.42803
