Sample;Frequency (GHz);LG (mV);HG (mV)
F5_60;100.0;-0.732511;39.189354
F5_60;100.0;1.220852;40.532291
F5_60;100.0;0.488341;25.51581
F5_60;100.0;-1.831278;35.893053
F5_60;100.0;-0.610426;25.393724
F5_60;100.0;-0.366256;42.60774
F5_60;100.0;0.24417;24.539128
F5_60;100.0;1.098767;39.677694
F5_60;100.0;-0.610426;34.794286
F5_60;100.0;1.465023;47.124892
F5_60;100.0;0.610426;30.887559
F5_60;100.0;-0.24417;42.60774
F5_60;100.0;0.366256;36.137223
F5_60;100.0;-1.831278;17.824441
F5_60;100.0;-0.732511;33.573434
F5_60;100.0;-0.122085;15.016481
F5_60;100.0;0.488341;26.248321
F5_60;100.0;0.24417;13.429374
F5_60;100.0;-0.488341;34.42803
F5_60;100.0;0.854596;17.580271
F5_60;100.0;-1.220852;26.614577
F5_60;100.0;-1.098767;19.89989
F5_60;100.0;-0.122085;26.126236
F5_60;100.0;-0.732511;14.52814
F5_60;100.0;-0.976682;29.788792
F5_60;100.0;-1.709193;19.777805
F5_60;100.0;0.0;28.690025
F5_60;100.0;0.366256;15.748993
F5_60;100.0;-0.732511;27.102917
F5_60;100.0;0.732511;30.155048
F5_60;100.0;0.488341;35.282627
F5_60;100.0;0.610426;22.463679
F5_60;100.0;-1.709193;38.334757
F5_60;100.0;0.732511;25.637895
F5_60;100.0;0.732511;47.857404
F5_60;100.0;1.831278;21.731168
F5_60;100.0;0.732511;38.945183
F5_60;100.0;0.610426;33.085093
F5_60;100.0;-0.854596;28.32377
F5_60;100.0;-1.709193;43.584421
F5_60;100.0;0.0;20.14406
F5_60;100.0;-0.122085;38.945183
F5_60;100.0;-0.366256;21.120742
F5_60;100.0;0.732511;38.456842
F5_60;100.0;1.098767;14.772311
F5_60;100.0;0.610426;28.690025
F5_60;100.0;-0.610426;18.556952
F5_60;100.0;0.122085;32.718837
F5_60;100.0;0.0;23.440361
F5_60;100.0;1.220852;42.60774
F5_60;100.0;0.854596;40.654376
F5_60;100.0;-1.220852;25.637895
F5_60;100.0;1.098767;29.788792
F5_60;100.0;-0.24417;14.772311
F5_60;100.0;0.610426;27.591258
F5_60;100.0;0.854596;15.260652
F5_60;100.0;-0.854596;31.742156
F5_60;100.0;-1.220852;13.795629
F5_60;100.0;0.24417;39.921865
