Sample;Frequency (GHz);LG (mV);HG (mV)
G5_49;100.0;-1.220852;16.115248
G5_49;100.0;0.0;29.544622
G5_49;100.0;1.587108;20.510316
G5_49;100.0;1.587108;5.249664
G5_49;100.0;-0.488341;21.609083
G5_49;100.0;-1.465023;9.400561
G5_49;100.0;1.098767;23.684531
G5_49;100.0;-0.24417;14.894396
G5_49;100.0;-1.465023;20.754486
G5_49;100.0;0.488341;16.115248
G5_49;100.0;0.366256;31.3759
G5_49;100.0;0.24417;21.120742
G5_49;100.0;0.732511;10.499328
G5_49;100.0;-0.122085;19.655719
G5_49;100.0;-0.732511;11.720181
G5_49;100.0;0.122085;26.492491
G5_49;100.0;1.587108;28.079599
G5_49;100.0;0.610426;21.731168
G5_49;100.0;-1.220852;20.388231
G5_49;100.0;0.854596;6.226346
G5_49;100.0;0.0;24.417043
G5_49;100.0;0.366256;13.795629
G5_49;100.0;-1.587108;20.632401
G5_49;100.0;0.976682;27.469173
G5_49;100.0;1.831278;28.81211
G5_49;100.0;0.366256;22.829935
G5_49;100.0;0.24417;10.133073
G5_49;100.0;-0.976682;29.666707
G5_49;100.0;0.122085;-0.854596
G5_49;100.0;0.122085;20.266145
G5_49;100.0;-0.732511;5.005494
G5_49;100.0;-0.122085;17.824441
G5_49;100.0;0.0;8.057624
G5_49;100.0;-1.342937;26.614577
G5_49;100.0;-0.488341;22.341594
G5_49;100.0;0.0;15.871078
G5_49;100.0;0.366256;20.632401
G5_49;100.0;-1.709193;1.220852
G5_49;100.0;-0.854596;19.777805
G5_49;100.0;0.488341;2.197534
G5_49;100.0;0.24417;15.504822
G5_49;100.0;0.0;13.917714
G5_49;100.0;-1.831278;16.969845
G5_49;100.0;-0.24417;20.632401
G5_49;100.0;-2.930045;24.294958
G5_49;100.0;-0.24417;20.998657
G5_49;100.0;-2.319619;1.953363
G5_49;100.0;0.854596;17.458186
G5_49;100.0;-0.732511;2.563789
G5_49;100.0;0.610426;10.010988
G5_49;100.0;-1.587108;4.150897
G5_49;100.0;0.976682;18.801123
G5_49;100.0;0.488341;14.52814
G5_49;100.0;-1.220852;26.614577
G5_49;100.0;-0.854596;22.463679
G5_49;100.0;0.854596;22.95202
G5_49;100.0;1.587108;18.312782
G5_49;100.0;-0.366256;0.976682
G5_49;100.0;-0.854596;11.47601
G5_49;100.0;0.732511;4.883409
G5_49;100.0;0.366256;25.271639
G5_49;100.0;-2.319619;20.754486
G5_49;100.0;1.465023;8.790135
G5_49;100.0;1.587108;18.190697
G5_49;100.0;0.488341;10.743499
G5_49;100.0;1.220852;6.836772
G5_49;100.0;-0.366256;8.790135
G5_49;100.0;0.488341;12.818947
G5_49;100.0;-0.488341;22.341594
G5_49;100.0;-0.488341;29.910877
G5_49;100.0;2.685875;24.294958
G5_49;100.0;-0.366256;17.214015
G5_49;100.0;0.488341;20.14406
G5_49;100.0;0.854596;-0.732511
G5_49;100.0;0.366256;15.626907
G5_49;100.0;0.854596;-3.296301
G5_49;100.0;1.220852;15.626907
