Sample;Frequency (GHz);LG (mV);HG (mV)
I5_51;100.0;0.24417;11.842266
I5_51;100.0;-1.098767;25.75998
I5_51;100.0;0.366256;20.876572
I5_51;100.0;0.610426;30.277133
I5_51;100.0;0.854596;8.790135
I5_51;100.0;-0.488341;26.736662
I5_51;100.0;-1.220852;14.28397
I5_51;100.0;-1.342937;22.70785
I5_51;100.0;-0.122085;12.574777
I5_51;100.0;-0.24417;29.300451
I5_51;100.0;2.319619;9.034306
I5_51;100.0;0.24417;26.370406
I5_51;100.0;-0.732511;15.871078
I5_51;100.0;-1.465023;26.492491
I5_51;100.0;0.122085;14.894396
I5_51;100.0;0.122085;31.131729
I5_51;100.0;0.976682;19.777805
I5_51;100.0;-1.342937;29.422536
I5_51;100.0;0.24417;19.167379
I5_51;100.0;-1.098767;25.75998
I5_51;100.0;2.075449;11.842266
I5_51;100.0;1.220852;33.573434
I5_51;100.0;-0.488341;14.0398
I5_51;100.0;-0.976682;37.724331
I5_51;100.0;0.732511;25.882065
I5_51;100.0;0.488341;38.456842
I5_51;100.0;0.0;35.160542
I5_51;100.0;0.24417;26.980832
I5_51;100.0;0.854596;41.020632
I5_51;100.0;-0.366256;24.172872
I5_51;100.0;0.24417;33.085093
I5_51;100.0;1.098767;15.138566
I5_51;100.0;0.366256;34.916371
I5_51;100.0;-0.610426;18.190697
I5_51;100.0;-0.488341;35.770968
I5_51;100.0;-0.122085;18.556952
I5_51;100.0;0.854596;26.980832
I5_51;100.0;-0.366256;25.882065
I5_51;100.0;-0.610426;38.578928
I5_51;100.0;0.0;26.126236
I5_51;100.0;0.488341;43.706506
I5_51;100.0;0.610426;34.18386
I5_51;100.0;-1.587108;39.433524
I5_51;100.0;0.854596;29.178366
I5_51;100.0;-0.732511;43.950677
I5_51;100.0;-0.488341;37.113905
I5_51;100.0;0.732511;41.264802
I5_51;100.0;1.709193;28.690025
I5_51;100.0;0.610426;40.532291
I5_51;100.0;0.0;39.79978
I5_51;100.0;-0.24417;37.724331
I5_51;100.0;-1.953363;30.887559
I5_51;100.0;-1.220852;33.451349
I5_51;100.0;-0.732511;31.986326
I5_51;100.0;0.122085;30.399218
I5_51;100.0;0.732511;22.463679
I5_51;100.0;0.610426;23.928702
I5_51;100.0;-0.122085;37.602246
I5_51;100.0;-2.197534;20.021975
