Sample;Frequency (GHz);LG (mV);HG (mV)
J5_52;100.0;-0.24417;9.278476
J5_52;100.0;-0.488341;28.81211
J5_52;100.0;-0.976682;11.964351
J5_52;100.0;-0.24417;21.364912
J5_52;100.0;0.122085;13.673544
J5_52;100.0;0.0;30.277133
J5_52;100.0;-1.220852;12.452692
J5_52;100.0;-0.854596;20.510316
J5_52;100.0;-2.197534;11.842266
J5_52;100.0;1.098767;22.219509
J5_52;100.0;0.24417;10.499328
J5_52;100.0;-1.098767;18.556952
J5_52;100.0;0.0;18.679038
J5_52;100.0;-0.854596;30.887559
J5_52;100.0;-0.610426;11.23184
J5_52;100.0;0.122085;23.318276
J5_52;100.0;-0.366256;2.685875
J5_52;100.0;0.366256;22.95202
J5_52;100.0;-0.24417;15.138566
J5_52;100.0;-0.24417;20.14406
J5_52;100.0;-1.098767;16.847759
J5_52;100.0;-0.976682;27.102917
J5_52;100.0;0.488341;26.736662
J5_52;100.0;0.0;32.596752
J5_52;100.0;-0.24417;31.131729
J5_52;100.0;-0.24417;36.503479
J5_52;100.0;-0.366256;22.463679
J5_52;100.0;-0.366256;42.85191
J5_52;100.0;-2.197534;29.300451
J5_52;100.0;-0.24417;40.532291
J5_52;100.0;-1.709193;20.14406
J5_52;100.0;-1.465023;41.264802
J5_52;100.0;-0.976682;29.910877
J5_52;100.0;1.709193;37.480161
J5_52;100.0;0.122085;22.463679
J5_52;100.0;-0.24417;27.225003
J5_52;100.0;0.366256;14.772311
J5_52;100.0;-1.953363;33.451349
J5_52;100.0;0.610426;16.603589
J5_52;100.0;0.24417;41.386887
J5_52;100.0;0.610426;27.469173
J5_52;100.0;-0.488341;39.555609
J5_52;100.0;0.488341;27.713344
J5_52;100.0;-0.366256;35.404712
J5_52;100.0;1.098767;31.62007
J5_52;100.0;-0.24417;28.56794
J5_52;100.0;-0.366256;25.75998
J5_52;100.0;-0.732511;42.973995
J5_52;100.0;-0.366256;25.882065
J5_52;100.0;-0.854596;20.14406
J5_52;100.0;1.465023;28.690025
J5_52;100.0;0.366256;9.156391
J5_52;100.0;0.0;28.56794
J5_52;100.0;-0.366256;19.411549
J5_52;100.0;-0.488341;29.666707
J5_52;100.0;1.831278;14.406055
J5_52;100.0;-0.976682;28.445855
J5_52;100.0;-0.732511;18.068612
J5_52;100.0;-0.488341;36.137223
J5_52;100.0;0.976682;26.980832
J5_52;100.0;0.366256;35.160542
J5_52;100.0;-0.610426;24.783298
J5_52;100.0;0.854596;32.108411
J5_52;100.0;-0.366256;20.998657
J5_52;100.0;-0.24417;34.794286
J5_52;100.0;0.976682;25.882065
J5_52;100.0;1.587108;40.410206
J5_52;100.0;-1.098767;28.934196
J5_52;100.0;0.976682;10.010988
J5_52;100.0;-0.732511;31.986326
J5_52;100.0;-1.342937;4.761323
J5_52;100.0;-0.732511;30.277133
J5_52;100.0;0.122085;17.458186
J5_52;100.0;1.953363;24.417043
J5_52;100.0;-0.854596;18.434867
J5_52;100.0;1.098767;22.585765
J5_52;100.0;0.488341;10.743499
J5_52;100.0;-0.732511;27.713344
J5_52;100.0;-1.587108;19.655719
J5_52;100.0;-2.563789;31.131729
J5_52;100.0;0.488341;15.993163
J5_52;100.0;0.122085;25.51581
J5_52;100.0;-0.732511;19.777805
J5_52;100.0;-1.342937;23.684531
J5_52;100.0;-0.24417;24.783298
J5_52;100.0;0.732511;33.573434
J5_52;100.0;-0.24417;20.510316
J5_52;100.0;1.831278;30.032963
J5_52;100.0;1.098767;18.312782
J5_52;100.0;-1.465023;35.648882
J5_52;100.0;1.098767;27.591258
J5_52;100.0;0.610426;38.334757
J5_52;100.0;-0.366256;23.562446
J5_52;100.0;0.366256;29.422536
J5_52;100.0;0.0;34.18386
J5_52;100.0;-0.24417;40.166035
J5_52;100.0;-0.24417;29.666707
J5_52;100.0;-0.854596;44.072762
J5_52;100.0;-0.976682;32.230496
J5_52;100.0;-1.465023;31.864241
J5_52;100.0;-0.732511;29.544622
J5_52;100.0;0.854596;31.742156
J5_52;100.0;0.122085;26.736662
J5_52;100.0;-0.24417;36.99182
J5_52;100.0;0.122085;24.661213
J5_52;100.0;0.0;37.358075
J5_52;100.0;0.24417;19.89989
J5_52;100.0;2.197534;40.04395
J5_52;100.0;0.732511;33.207178
J5_52;100.0;1.953363;40.532291
J5_52;100.0;0.24417;31.131729
J5_52;100.0;-0.732511;31.3759
J5_52;100.0;1.220852;35.404712
J5_52;100.0;-0.976682;40.04395
J5_52;100.0;0.366256;34.061775
J5_52;100.0;0.24417;31.131729
J5_52;100.0;1.220852;29.666707
J5_52;100.0;0.610426;16.237333
J5_52;100.0;1.831278;26.980832
J5_52;100.0;1.220852;15.138566
J5_52;100.0;0.24417;27.713344
J5_52;100.0;-1.220852;19.89989
J5_52;100.0;-0.24417;36.015138
J5_52;100.0;-1.098767;24.661213
J5_52;100.0;0.610426;23.562446
J5_52;100.0;-0.488341;28.079599
J5_52;100.0;0.366256;32.718837
J5_52;100.0;0.366256;35.404712
J5_52;100.0;-0.854596;15.260652
J5_52;100.0;-0.854596;31.009644
J5_52;100.0;0.0;33.085093
J5_52;100.0;0.488341;32.474667
J5_52;100.0;0.976682;32.352582
J5_52;100.0;0.366256;24.539128
J5_52;100.0;0.854596;32.108411
J5_52;100.0;0.610426;34.916371
J5_52;100.0;0.366256;11.598095
J5_52;100.0;1.342937;31.986326
J5_52;100.0;-0.854596;14.161885
J5_52;100.0;0.732511;32.718837
J5_52;100.0;0.0;19.289464
J5_52;100.0;-0.122085;32.718837
J5_52;100.0;0.122085;26.004151
J5_52;100.0;1.587108;35.893053
J5_52;100.0;0.0;20.876572
J5_52;100.0;0.488341;32.108411
J5_52;100.0;0.0;27.713344
J5_52;100.0;0.0;29.300451
J5_52;100.0;0.122085;24.294958
J5_52;100.0;0.0;38.334757
J5_52;100.0;0.854596;32.840922
J5_52;100.0;0.122085;37.968501
J5_52;100.0;-0.24417;29.666707
