Sample;Frequency (GHz);LG (mV);HG (mV)
L5_53;100.0;0.488341;3.174216
L5_53;100.0;0.24417;10.743499
L5_53;100.0;0.0;-7.569283
L5_53;100.0;-0.366256;10.987669
L5_53;100.0;-0.24417;-8.545965
L5_53;100.0;-0.732511;-0.122085
L5_53;100.0;0.854596;-3.174216
L5_53;100.0;1.220852;12.330607
L5_53;100.0;0.610426;-0.854596
L5_53;100.0;-0.610426;8.057624
L5_53;100.0;0.854596;-5.005494
L5_53;100.0;0.122085;9.766817
L5_53;100.0;-0.122085;9.156391
L5_53;100.0;-0.366256;11.964351
L5_53;100.0;0.0;8.545965
L5_53;100.0;-1.342937;17.3361
L5_53;100.0;-1.098767;11.47601
L5_53;100.0;-1.098767;21.120742
L5_53;100.0;0.122085;4.028812
L5_53;100.0;0.488341;-0.488341
L5_53;100.0;-2.197534;2.075449
L5_53;100.0;0.24417;8.66805
L5_53;100.0;0.488341;-1.953363
L5_53;100.0;-1.953363;12.452692
L5_53;100.0;-0.976682;9.156391
L5_53;100.0;-0.24417;19.655719
L5_53;100.0;-0.366256;5.86009
L5_53;100.0;1.220852;11.353925
L5_53;100.0;-1.098767;7.935539
L5_53;100.0;-0.610426;13.673544
L5_53;100.0;1.953363;-2.563789
L5_53;100.0;-0.122085;3.05213
L5_53;100.0;0.854596;-1.342937
L5_53;100.0;0.122085;16.725674
L5_53;100.0;0.732511;0.488341
L5_53;100.0;-0.366256;16.115248
L5_53;100.0;0.0;16.725674
L5_53;100.0;0.24417;5.982175
L5_53;100.0;0.0;19.89989
L5_53;100.0;-0.122085;0.610426
L5_53;100.0;0.0;15.748993
L5_53;100.0;1.098767;3.174216
L5_53;100.0;-0.24417;16.725674
L5_53;100.0;0.366256;1.342937
L5_53;100.0;0.488341;23.196191
L5_53;100.0;0.24417;-2.441704
L5_53;100.0;-2.80796;19.167379
L5_53;100.0;0.24417;8.057624
L5_53;100.0;-0.610426;12.452692
L5_53;100.0;0.24417;6.714687
L5_53;100.0;0.488341;9.644732
L5_53;100.0;0.488341;7.325113
L5_53;100.0;-0.732511;19.89989
L5_53;100.0;-0.122085;5.982175
L5_53;100.0;-0.366256;10.377243
L5_53;100.0;-0.610426;-4.883409
L5_53;100.0;0.366256;12.086436
L5_53;100.0;0.610426;-5.127579
L5_53;100.0;-0.24417;11.598095
L5_53;100.0;0.488341;0.488341
L5_53;100.0;-2.685875;11.720181
L5_53;100.0;-0.854596;-9.034306
L5_53;100.0;1.220852;2.80796
L5_53;100.0;-1.220852;-3.540471
