Sample;Frequency (GHz);LG (mV);HG (mV)
O5_54;100.0;1.709193;31.009644
O5_54;100.0;-0.488341;41.875228
O5_54;100.0;-1.220852;37.724331
O5_54;100.0;0.0;37.968501
O5_54;100.0;1.587108;34.305945
O5_54;100.0;-0.366256;20.14406
O5_54;100.0;0.24417;32.352582
O5_54;100.0;-1.342937;12.086436
O5_54;100.0;-0.366256;28.32377
O5_54;100.0;-0.488341;10.621414
O5_54;100.0;-0.976682;33.329263
O5_54;100.0;1.098767;38.334757
O5_54;100.0;0.366256;31.62007
O5_54;100.0;-1.098767;31.864241
O5_54;100.0;-0.366256;38.945183
O5_54;100.0;0.976682;34.18386
O5_54;100.0;0.732511;30.765474
O5_54;100.0;0.610426;38.334757
O5_54;100.0;-0.488341;12.452692
O5_54;100.0;0.610426;36.503479
O5_54;100.0;-0.366256;6.592602
O5_54;100.0;-0.732511;34.061775
O5_54;100.0;-0.732511;18.801123
O5_54;100.0;0.122085;36.015138
O5_54;100.0;0.24417;23.196191
O5_54;100.0;0.976682;37.724331
O5_54;100.0;1.098767;30.765474
O5_54;100.0;-0.24417;48.345745
O5_54;100.0;-0.854596;33.085093
O5_54;100.0;0.854596;33.085093
O5_54;100.0;0.488341;32.108411
O5_54;100.0;0.122085;33.817604
O5_54;100.0;0.488341;41.753143
O5_54;100.0;-1.587108;34.916371
O5_54;100.0;-0.854596;35.160542
O5_54;100.0;-0.24417;13.185203
O5_54;100.0;0.366256;35.038456
O5_54;100.0;-0.976682;14.772311
O5_54;100.0;-0.854596;25.027469
O5_54;100.0;-0.854596;27.225003
O5_54;100.0;1.709193;38.334757
O5_54;100.0;0.976682;26.248321
O5_54;100.0;0.24417;38.456842
O5_54;100.0;1.587108;39.433524
O5_54;100.0;0.122085;21.120742
O5_54;100.0;-0.488341;27.225003
O5_54;100.0;0.0;26.492491
O5_54;100.0;0.976682;39.067268
O5_54;100.0;-1.587108;32.230496
O5_54;100.0;1.831278;15.382737
O5_54;100.0;-0.732511;23.684531
O5_54;100.0;-0.732511;30.155048
O5_54;100.0;-0.366256;46.270296
O5_54;100.0;1.831278;37.480161
O5_54;100.0;0.24417;31.864241
O5_54;100.0;1.587108;31.62007
O5_54;100.0;-1.587108;21.242827
O5_54;100.0;-0.732511;48.46783
O5_54;100.0;-0.24417;39.555609
O5_54;100.0;0.366256;11.964351
O5_54;100.0;0.0;38.456842
O5_54;100.0;0.732511;27.102917
O5_54;100.0;0.732511;32.474667
O5_54;100.0;-0.610426;38.823098
O5_54;100.0;0.24417;41.631058
O5_54;100.0;-1.220852;28.934196
O5_54;100.0;0.610426;34.550115
O5_54;100.0;-0.488341;31.253815
O5_54;100.0;-0.488341;27.835429
O5_54;100.0;0.0;32.108411
O5_54;100.0;-0.122085;32.230496
O5_54;100.0;-0.366256;31.131729
O5_54;100.0;0.366256;16.237333
O5_54;100.0;0.0;35.404712
O5_54;100.0;-0.976682;14.772311
O5_54;100.0;0.854596;40.288121
O5_54;100.0;-0.24417;18.434867
O5_54;100.0;0.854596;30.887559
O5_54;100.0;0.610426;36.503479
O5_54;100.0;0.122085;39.189354
O5_54;100.0;1.098767;33.451349
O5_54;100.0;-0.854596;20.388231
O5_54;100.0;0.24417;37.968501
O5_54;100.0;1.098767;14.772311
O5_54;100.0;-1.953363;45.537785
O5_54;100.0;-0.122085;35.038456
O5_54;100.0;0.0;15.016481
O5_54;100.0;-0.976682;44.805273
O5_54;100.0;0.366256;28.56794
O5_54;100.0;-1.220852;38.334757
O5_54;100.0;0.24417;35.526797
O5_54;100.0;0.488341;15.993163
O5_54;100.0;-1.098767;27.835429
O5_54;100.0;-0.24417;38.090587
O5_54;100.0;-1.465023;9.766817
O5_54;100.0;0.366256;44.439018
O5_54;100.0;0.732511;37.602246
O5_54;100.0;0.610426;8.66805
O5_54;100.0;0.122085;40.776461
O5_54;100.0;-0.122085;31.742156
O5_54;100.0;-1.342937;35.770968
O5_54;100.0;-0.122085;44.683188
O5_54;100.0;1.465023;11.598095
O5_54;100.0;-0.732511;30.765474
O5_54;100.0;-0.854596;30.765474
O5_54;100.0;0.122085;22.341594
O5_54;100.0;0.488341;38.456842
O5_54;100.0;-1.587108;34.916371
O5_54;100.0;0.854596;13.551459
O5_54;100.0;-0.122085;14.772311
O5_54;100.0;0.24417;18.190697
O5_54;100.0;1.220852;40.654376
O5_54;100.0;-0.366256;27.591258
O5_54;100.0;-0.854596;52.008301
O5_54;100.0;0.0;40.654376
O5_54;100.0;-0.24417;29.178366
O5_54;100.0;-1.465023;28.81211
O5_54;100.0;-0.24417;31.131729
O5_54;100.0;-0.610426;48.345745
O5_54;100.0;-0.122085;31.3759
O5_54;100.0;1.465023;19.655719
O5_54;100.0;0.0;31.497985
O5_54;100.0;-1.587108;38.701013
O5_54;100.0;-0.854596;27.835429
O5_54;100.0;0.122085;27.225003
O5_54;100.0;-0.122085;41.264802
O5_54;100.0;1.098767;11.353925
O5_54;100.0;0.366256;29.300451
O5_54;100.0;-0.732511;13.551459
O5_54;100.0;-1.465023;31.253815
O5_54;100.0;-0.488341;30.032963
O5_54;100.0;0.366256;43.218166
O5_54;100.0;-0.24417;37.602246
O5_54;100.0;-0.366256;21.486998
O5_54;100.0;0.24417;30.521303
O5_54;100.0;0.122085;12.574777
O5_54;100.0;0.976682;32.108411
O5_54;100.0;-1.220852;12.208521
O5_54;100.0;0.0;29.910877
O5_54;100.0;-1.465023;21.242827
O5_54;100.0;-1.587108;32.352582
O5_54;100.0;0.122085;28.32377
O5_54;100.0;0.122085;34.18386
O5_54;100.0;0.122085;24.783298
O5_54;100.0;0.0;42.119399
O5_54;100.0;0.122085;28.201684
O5_54;100.0;-0.488341;44.316933
O5_54;100.0;-1.220852;34.305945
O5_54;100.0;0.0;32.108411
O5_54;100.0;-1.220852;39.433524
O5_54;100.0;-2.197534;2.80796
O5_54;100.0;-1.587108;26.736662
O5_54;100.0;-0.732511;24.172872
O5_54;100.0;0.366256;30.399218
O5_54;100.0;1.831278;18.923208
O5_54;100.0;1.465023;36.137223
O5_54;100.0;-0.610426;26.980832
O5_54;100.0;-0.122085;20.266145
O5_54;100.0;0.366256;23.806617
O5_54;100.0;-1.220852;34.550115
O5_54;100.0;1.709193;24.172872
O5_54;100.0;-0.488341;35.404712
O5_54;100.0;0.0;37.480161
O5_54;100.0;-0.366256;38.090587
O5_54;100.0;0.732511;30.887559
O5_54;100.0;0.488341;37.113905
O5_54;100.0;-0.610426;35.038456
O5_54;100.0;0.610426;35.038456
O5_54;100.0;-1.098767;39.921865
