Test;Algorithm;Accuracy;Precision;Recall;F1-Score;Num_Features;Num Frequencies;Frequencies
1;RF;1.0;1.0;1.0;1.0;100;25;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
1;NB;1.0;1.0;1.0;1.0;100;25;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
1;LR;1.0;1.0;1.0;1.0;100;25;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
2;RF;1.0;1.0;1.0;1.0;80;20;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 450, 460, 470, 480, 490
2;NB;1.0;1.0;1.0;1.0;80;20;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 450, 460, 470, 480, 490
2;LR;1.0;1.0;1.0;1.0;80;20;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 450, 460, 470, 480, 490
3;RF;1.0;1.0;1.0;1.0;80;20;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 500, 510, 520, 530, 540
3;NB;1.0;1.0;1.0;1.0;80;20;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 500, 510, 520, 530, 540
3;LR;1.0;1.0;1.0;1.0;80;20;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 500, 510, 520, 530, 540
4;RF;1.0;1.0;1.0;1.0;80;20;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
4;NB;1.0;1.0;1.0;1.0;80;20;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
4;LR;1.0;1.0;1.0;1.0;80;20;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
5;RF;1.0;1.0;1.0;1.0;80;20;250, 300, 320, 330, 340, 400, 410, 420, 430, 440, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
5;NB;1.0;1.0;1.0;1.0;80;20;250, 300, 320, 330, 340, 400, 410, 420, 430, 440, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
5;LR;1.0;1.0;1.0;1.0;80;20;250, 300, 320, 330, 340, 400, 410, 420, 430, 440, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
6;RF;1.0;1.0;1.0;1.0;80;20;350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
6;NB;1.0;1.0;1.0;1.0;80;20;350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
6;LR;1.0;1.0;1.0;1.0;80;20;350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
7;RF;1.0;1.0;1.0;1.0;60;15;400, 410, 420, 430, 440, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
7;NB;1.0;1.0;1.0;1.0;60;15;400, 410, 420, 430, 440, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
7;LR;1.0;1.0;1.0;1.0;60;15;400, 410, 420, 430, 440, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
8;RF;1.0;1.0;1.0;1.0;60;15;250, 300, 320, 330, 340, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
8;NB;1.0;1.0;1.0;1.0;60;15;250, 300, 320, 330, 340, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
8;LR;1.0;1.0;1.0;1.0;60;15;250, 300, 320, 330, 340, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540
9;RF;1.0;1.0;1.0;1.0;60;15;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 500, 510, 520, 530, 540
9;NB;1.0;1.0;1.0;1.0;60;15;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 500, 510, 520, 530, 540
9;LR;1.0;1.0;1.0;1.0;60;15;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 500, 510, 520, 530, 540
10;RF;1.0;1.0;1.0;1.0;60;15;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440
10;NB;1.0;1.0;1.0;1.0;60;15;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440
10;LR;1.0;1.0;1.0;1.0;60;15;250, 300, 320, 330, 340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440
11;RF;0.9975;0.9975;0.9975;0.9975;40;10;450, 460, 470, 480, 490, 500, 510, 520, 530, 540
11;NB;1.0;1.0;1.0;1.0;40;10;450, 460, 470, 480, 490, 500, 510, 520, 530, 540
11;LR;1.0;1.0;1.0;1.0;40;10;450, 460, 470, 480, 490, 500, 510, 520, 530, 540
12;RF;1.0;1.0;1.0;1.0;40;10;250, 300, 320, 330, 340, 500, 510, 520, 530, 540
12;NB;1.0;1.0;1.0;1.0;40;10;250, 300, 320, 330, 340, 500, 510, 520, 530, 540
12;LR;1.0;1.0;1.0;1.0;40;10;250, 300, 320, 330, 340, 500, 510, 520, 530, 540
13;RF;1.0;1.0;1.0;1.0;40;10;250, 300, 320, 330, 340, 350, 360, 370, 380, 390
13;NB;1.0;1.0;1.0;1.0;40;10;250, 300, 320, 330, 340, 350, 360, 370, 380, 390
13;LR;1.0;1.0;1.0;1.0;40;10;250, 300, 320, 330, 340, 350, 360, 370, 380, 390
14;RF;0.9847;0.9848;0.9847;0.9847;20;5;500, 510, 520, 530, 540
14;NB;0.9975;0.9975;0.9975;0.9975;20;5;500, 510, 520, 530, 540
14;LR;1.0;1.0;1.0;1.0;20;5;500, 510, 520, 530, 540
15;RF;0.9975;0.9975;0.9975;0.9975;20;5;450, 460, 470, 480, 490
15;NB;1.0;1.0;1.0;1.0;20;5;450, 460, 470, 480, 490
15;LR;0.9949;0.995;0.9949;0.9949;20;5;450, 460, 470, 480, 490
16;RF;1.0;1.0;1.0;1.0;20;5;400, 410, 420, 430, 440
16;NB;1.0;1.0;1.0;1.0;20;5;400, 410, 420, 430, 440
16;LR;1.0;1.0;1.0;1.0;20;5;400, 410, 420, 430, 440
17;RF;1.0;1.0;1.0;1.0;20;5;350, 360, 370, 380, 390
17;NB;1.0;1.0;1.0;1.0;20;5;350, 360, 370, 380, 390
17;LR;1.0;1.0;1.0;1.0;20;5;350, 360, 370, 380, 390
18;RF;1.0;1.0;1.0;1.0;20;5;250, 300, 320, 330, 340
18;NB;1.0;1.0;1.0;1.0;20;5;250, 300, 320, 330, 340
18;LR;1.0;1.0;1.0;1.0;20;5;250, 300, 320, 330, 340
19;RF;0.9288;0.9317;0.9288;0.929;12;3;520, 530, 540
19;NB;0.9567;0.957;0.9567;0.9567;12;3;520, 530, 540
19;LR;0.9491;0.9492;0.9491;0.9491;12;3;520, 530, 540
20;RF;0.9695;0.9695;0.9695;0.9695;12;3;490, 500, 510
20;NB;0.9924;0.9924;0.9924;0.9924;12;3;490, 500, 510
20;LR;0.9898;0.9898;0.9898;0.9898;12;3;490, 500, 510
21;RF;0.972;0.9726;0.972;0.972;12;3;460, 470, 480
21;NB;0.9975;0.9975;0.9975;0.9975;12;3;460, 470, 480
21;LR;0.9975;0.9975;0.9975;0.9975;12;3;460, 470, 480
22;RF;0.9084;0.9079;0.9084;0.908;12;3;430, 440, 450
22;NB;0.9338;0.9352;0.9338;0.9338;12;3;430, 440, 450
22;LR;0.9389;0.9397;0.9389;0.9389;12;3;430, 440, 450
23;RF;1.0;1.0;1.0;1.0;12;3;400, 410, 420
23;NB;1.0;1.0;1.0;1.0;12;3;400, 410, 420
23;LR;0.9975;0.9975;0.9975;0.9975;12;3;400, 410, 420
24;RF;1.0;1.0;1.0;1.0;12;3;400, 410, 420
24;NB;1.0;1.0;1.0;1.0;12;3;400, 410, 420
24;LR;0.9975;0.9975;0.9975;0.9975;12;3;400, 410, 420
25;RF;0.9975;0.9975;0.9975;0.9975;12;3;370, 380, 390
25;NB;0.9975;0.9975;0.9975;0.9975;12;3;370, 380, 390
25;LR;0.9949;0.9949;0.9949;0.9949;12;3;370, 380, 390
26;RF;0.9924;0.9926;0.9924;0.9924;12;3;340, 350, 360
26;NB;1.0;1.0;1.0;1.0;12;3;340, 350, 360
26;LR;1.0;1.0;1.0;1.0;12;3;340, 350, 360
27;RF;1.0;1.0;1.0;1.0;12;3;300, 320, 330
27;NB;1.0;1.0;1.0;1.0;12;3;300, 320, 330
27;LR;1.0;1.0;1.0;1.0;12;3;300, 320, 330
28;RF;0.9949;0.995;0.9949;0.9949;12;3;250, 300, 320
28;NB;1.0;1.0;1.0;1.0;12;3;250, 300, 320
28;LR;1.0;1.0;1.0;1.0;12;3;250, 300, 320
29;RF;0.7888;0.8005;0.7888;0.7837;4;1;540
29;NB;0.7964;0.7977;0.7964;0.7943;4;1;540
29;LR;0.7252;0.7082;0.7252;0.6889;4;1;540
30;RF;0.7455;0.7831;0.7455;0.7472;4;1;530
30;NB;0.7735;0.7991;0.7735;0.7751;4;1;530
30;LR;0.7226;0.7231;0.7226;0.7219;4;1;530
31;RF;0.855;0.8698;0.855;0.8513;4;1;520
31;NB;0.8193;0.8237;0.8193;0.8184;4;1;520
31;LR;0.8473;0.8495;0.8473;0.8463;4;1;520
32;RF;0.944;0.9514;0.944;0.9439;4;1;510
32;NB;0.9771;0.9778;0.9771;0.9772;4;1;510
32;LR;0.9771;0.9775;0.9771;0.9772;4;1;510
33;RF;0.7583;0.7698;0.7583;0.757;4;1;500
33;NB;0.8066;0.8022;0.8066;0.802;4;1;500
33;LR;0.8041;0.8011;0.8041;0.8015;4;1;500
34;RF;0.8244;0.8511;0.8244;0.8255;4;1;490
34;NB;0.8321;0.847;0.8321;0.8329;4;1;490
34;LR;0.7761;0.7847;0.7761;0.7741;4;1;490
35;RF;0.8168;0.8172;0.8168;0.8167;4;1;480
35;NB;0.8448;0.8448;0.8448;0.8448;4;1;480
